reg_id,full_name,name,category,address
330000079,"Рекреационный пляж ООО ""Санаторий ""Парус""","Пляж ООО ""Санаторий ""Парус""",желтый флаг (3 категория),"353456, г.Анапа, пр.Пионерский, 249 ""а"""
330000080,"Пляж общества с ограниченной ответственностью курортного отеля ""Олимп""","Пляж ООО КО ""Олимп""",зеленый флаг (2 категория),"Краснодарский край, г. Анапа, Пионерский проспект, 88"
330000081,Пляж общества с ограниченной ответственностью «Одиссея»,Пляж ООО «Одиссея»,желтый флаг (3 категория),"353440, Краснодарский край, г. Анапа, Пионерский проспект, 267"
330000082,Пляж «Специализированный лечебный пляж санатория «Солнечный берег» ВОС»,"Специализированный лечебный пляж санатория ""Солнечный берег""  ВОС",синий флаг (1 категория),"353465, Краснодарский край, г. Геленджик, ул. Луначарского, 129"
330000083,"Центральный пляж ""Новомихайловский""","Центральный пляж ""Новомихайловский""",синий флаг (1 категория),"352855,Туапсинский р-н, поселок городского типа Новомихайловский, центральный пляж"
330000084,"Пляж пансионата отдыха ""Энергетик"" Индивидуального предпринимателя Дряхлова Дмитрия Владимировича","Пляж пансионата отдыха ""Энргетик""",желтый флаг (3 категория),"г.Геленджик, с.Дивноморское, ул.Пионерская,4 "
330000085,"Пляж акционерного общества ""Санаторий ""Аврора""","Пляж АО ""Санаторий ""Аврора""",желтый флаг (3 категория),"г.Сочи, ул.Авроры,6"
330000086,Рекреационный пляж Анапской пересыпи Б-1-2-3 ООО «Лазурный берег»,Рекреационный пляж Анапской пересыпи Б-1-2-3 ООО «Лазурный берег»,зеленый флаг (2 категория),"353440, Краснодарский край, г. Анапа, Пионерский пр., 234"
330000074,Пляж «Знание» Общества с ограниченной ответственностью «Санаторно-курортный комплекс «Знание»,Пляж «Знание» ООО «СКК «Знание»,зеленый флаг (2 категория),"354364, Краснодарский край, г. Сочи, ул. Просвещения, 139"
330000075,Пляж Общества с ограниченной ответственностью «Национальный центр параолимпийской и дефлимпийской подготовки и реабилитации инвалидов»,Пляж «Центр спорта «Эволюция»,синий флаг (1 категория),"297493, Республика Крым, г. Евпатория, пгт. Заозерное,  ул. Аллея Дружбы, 1"
330000066,"Пляж детского санаторно-оздоровительного лагеря «Уральские самоцветы» ООО ""Уральские самоцветы""",Пляж ДСОЛ «Уральские самоцветы» ООО «Уральские самоцветы»,желтый флаг (3 категория),"353440, Краснодарский край, г. Анапа, Пионерский проспект,107"
330000067,Рекреационный пляж Анапской пересыпи Д-1-4-8 общества с ограниченной ответственностью Санаторий «Рябинушка»,Рекреационный пляж Анапской пересыпи Д-1-4-8,зеленый флаг (2 категория),"353456, Краснодарский край, г. Анапа, Пионерский проспект, 76"
330000068,Пляж Санаторно-оздоровительного комплекса «Спутник» - Филиала ФГБУК «Государственный академический Большой театр России»,Пляж СОК «Спутник» - Филиала ФГБУК «ГАБТ России»,желтый флаг (3 категория),"353444, Краснодарский край, г. Анапа, Пионерский проспект, д. 2"
330000069,Пляж детского оздоровительного комплекса «Сигнал»,Пляж ДОЛ «Сигнал»,желтый флаг (3 категория),"353480, Краснодарский край, г. Геленджик, с. Кабардинка, ул. Революционная, 91"
330000070,"ФГКУ «Санаторий «Звездочка» ФСБ РФ, пляж санатория «Звездочка»",Пляж санатория «Звездочка»,желтый флаг (3 категория),"353460, Краснодарский край, г. Геленджик, ул. Халтурина, 26 "
330000071,Пляж общества с ограниченной ответственностью «Золотой пляж»,Пляж ООО «Золотой пляж»,желтый флаг (3 категория),"353522, Краснодарский край, Темрюкский район, п. Пересыпь, ул. Калабадка, д. 58"
330000072,Муниципальный пляж «Джубга»,Муниципальный пляж «Джубга»,синий флаг (1 категория),"352844, Краснодарский край,  Туапсинский район, пгт. Джубга, пляж Джубга"
330000073,Пляж лечебный пансионата «Эдем»,Пляж лечебный пансионата «Эдем»,синий флаг (1 категория),"354002, г. Сочи, ул. Черноморская, 14"
330000064,"Лечебный пляж санатория ""Голубая даль""","Лечебный пляж санатория ""Голубая даль""",желтый флаг (3 категория),"353490, Краснодарский край, г. Геленджик, с. Дивноморское, ул. Голубодальская, 2"
330000065,Пляж пансионата «Кабардинка»,Пляж пансионата «Кабардинка»,желтый флаг (3 категория),"353480, Краснодарский край, г. Геленджик, с. Кабардинка, ул. Революционная, 105"
330000056,Пляж санатория «Лермонтово» Открытого акционерного общества «Сургутнефтегаз» оздоровительный трест «Сургут»,Пляж санатория «Лермонтово» ОАО «Сургутнефтегаз» ОТ «Сургут»,синий флаг (1 категория),"352848, Краснодарский край, Туапсинский район, с. Лермонтово, ул. Ленина, 19б"
330000057,Пляж санатория «Нефтяник Сибири» Открытого акционерного общества «Сургутнефтегаз» оздоровительный трест «Сургут»,Пляж санатория «Нефтяник Сибири» ОАО «Сургутнефтегаз» ОТ «Сургут»,синий флаг (1 категория),"352848, Краснодарский край, Туапсинский район, поселок Тюменский, № 25"
330000058,Пляж детского санатория «Юный нефтяник» Открытого акционерного общества «Сургутнефтегаз» оздоровительный трест «Сургут»,Пляж детского санатория «Юный нефтяник» ОАО «Сургутнефтегаз» ОТ «Сургут»,желтый флаг (3 категория),"352848, Краснодарский край, Туапсинский район, с. Пляхо, микрорайон Широкая щель, № 36"
330000059,Лечебно-оздоровительный комплекс «Звездочка – Юг» акционерного общества «Центр судоремонта «Звездочка»,Пляж Филиала ЛОК «Звездочка - Юг» АО «ЦС «Звездочка»,желтый флаг (3 категория),"353460, Краснодарский край, г. Анапа, Пионерский проспект, 18"
330000060,Пляж Санаторно-оздоровительного комплекса «Анапа-Нептун»,Пляж СОК «Анапа-Нептун»,желтый флаг (3 категория),"353440, г. Анапа, Пионерский проспект, 106"
330000061,Пляж санатория «Зорька» закрытого акционерного общества «Санаторий «Зорька»,Пляж санатория «Зорька» ЗАО «Санаторий «Зорька»,желтый флаг (3 категория),"352831, Краснодарский край, Туапсинский район, п. Небуг-1, санаторий ""Зорька"""
330000062,Детский пляж пансионата отдыха санаторного типа круглогодичного действия «Шахтинский текстильщик»,Детский пляж П/О СТКД «Шахтинский текстильщик»,зеленый флаг (2 категория),"352840, Краснодарский край, Туапсинский район, с. Ольгинка"
330000063,Пляж Курортного комплекса Надежда SPA&Морской Рай,Пляж Курортного комплекса Надежда SPA&Морской Рай,синий флаг (1 категория),"г. Геленджик, с. Кабардинка,  ул. Мира, д. 3"
330000046,Пляж «Массандровский» Общества с ограниченной ответственностью  «ИЛВИА»,«Массандровский пляж» ООО «ИЛВИА»,синий флаг (1 категория),"298600, Россия, Республика Крым, город Ялта, ул. Дражинского, дом 31г"
330000047,Пляж «СПА-Отель «Приморский парк» Общества с ограниченной ответственностью «Центринвест»,Пляж «СПА-Отель «Приморский парк» ООО «Центринвест»,синий флаг (1 категория),"298609, Республика Крым, г. Ялта, набережная им. Ленина, д.14Д"
330000048, Пляж ООО «Виктория», Пляж ООО «Виктория»,синий флаг (1 категория),"353450, Краснодарский край, г. Анапа, Пионерский проспект, д.14"
330000049,Пляж ООО «Пансионат «Урожай»,Пляж ООО «Пансионат «Урожай»,синий флаг (1 категория),"353456, Краснодарский край, г. Анапа, Пионерский проспект, д.28"
330000050,"Пляж гостиницы ""Курортный комплекс и конгресс-центр Рэдиссон Блу, Сочи"" (Radisson Blu Resort & Congress Centre, Sochi)","Пляж гостиницы ""Курортный комплекс и конгресс-центр Рэдиссон Блу, Сочи""",синий флаг (1 категория),"Краснодарский край, г. Сочи, адлерский район, ул. Голубая, д. 18/3"
330000051,"Пляж ООО ""Акватехноспорт""","Пляж ООО ""Акватехноспорт""",зеленый флаг (2 категория),"298000, Республика Крым, г. Алушта, Профессорский уголок, между вторым пляжем ОАО «Пансионат «Море» и пляжем Алуштинской ассоциации судовладельцев"
330000052,"Пляж отеля ""Санмаринн"" ЗАО «Пансионат «Анапчанка»","Пляж отеля ""Санмаринн""",зеленый флаг (2 категория),"город-курорт Анапа, Пионерский проспект, проезд «Голубые дали»"
330000053,Пляж санатория им. М.В. Ломоносова,Пляж санатория им. М.В. Ломоносова,зеленый флаг (2 категория),"353460, Краснодарский край, г. Геленджик, Лермонтовский бульвар"
330000054,"Пляж санатория ""Анапа"" АО «Санаторий «Анапа»","Пляж санатория ""Анапа"" АО «Санаторий «Анапа»",синий флаг (1 категория),"353444, Краснодарский край, г. Анапа, ул. Гребенская, район Центрального пляжа"
330000055,Пляж «Песочная бухта»,Пляж «Песочная бухта»,синий флаг (1 категория),"299028, г. Севастополь, ул. Ефремова, д. 38"
330000032,Пляж Мрия Резорт & Спа,Пляж Мрия Резорт & Спа,синий флаг (1 категория),"298685, Российская Федерация, республика Крым, г. Ялта, с. Оползневое, ул. Генерала Острякова, д. 9"
330000033,«Лечебный пляж «Золотая бухта» Общества с ограниченной ответственностью «Золотая бухта»,«Лечебный пляж «Золотая бухта» ООО «Золотая бухта»,синий флаг (1 категория),"353448, Краснодарский край, г. Анапа, пер. Кордонный, 1 «А»"
330000037,Пляж детского санаторно-оздоровительного лагеря «Мечта» общества с ограниченной ответственностью детский санаторно-оздоровительный лагерь «Мечта»,Пляж ДСОЛ «Мечта»  Наименование собственника: общество с ограниченной ответственностью детский санаторно-оздоровительный лагерь «Мечта»,желтый флаг (3 категория),"352844, Краснодарский край, Туапсинский район, п. Джубга, ул. Новороссийская, 10 ""Г"""
330000038,Центральный пляж села Дивноморское муниципального унитарного предприятия муниципального образования город-курорт Геленджик «Паритет»,Центральный пляж села Дивноморское,желтый флаг (3 категория),"353490, Краснодарский край, г. Геленджик, с. Дивноморское"
330000039,Пляж пансионата Южный» общества с ограниченной ответственностью «Пансионат Южный»,Пляж ООО «Пансионат Южный»,желтый флаг (3 категория),"352813, Краснодарский край, Туапсинский район, п. Южный"
330000040,Пляж санатория «Заполярье» общества с ограниченной ответственностью «Санаторий «Заполярье»,Пляж санатория «Заполярье»,синий флаг (1 категория),"354008, Краснодарский край, г. Сочи, ул. Пирогова, 10"
330000041,"Пляж лечебно-оздоровительного комплекса ""Витязь"" общества с ограниченной ответственностью ""Лечебно-оздоровительный комплекс ""Витязь""","Пляж ""ЛОК ""Витязь"" ООО ""ЛОК ""Витязь""",синий флаг (1 категория),"353417, Краснодарский край, г. Анапа, с. Витязево, проспект Южный, д.20"
330000042,"Пляж государственного учреждения ""Санаторий ""Беларусь"" Управления делами Президента Республики Беларусь","Пляж санатория ""Беларусь""",синий флаг (1 категория),"Краснодарский край, город Сочи, Центральный район, улица Политехническая, д.62"
330000043,Пляж Крымский бриз,Пляж Крымский бриз,синий флаг (1 категория),"298683, Республика Крым, г. Ялта, пгт. Парковое, Парковое шоссе, 39"
330000045,Пляж эко-отеля «Левант» Общества с ограниченной ответственностью  «Управляющая компания «Красотель»,Пляж эко-отеля «Левант» ООО  «УК «Красотель»,синий флаг (1 категория),"298635, Россия, Республика Крым, город Ялта, Приморский парк, 3а"
330000020,"Муниципальное унитарное предприятие благоустройства и хозяйственного обеспечения муниципального образования город-курорт Геленджик, Городской пляж","Городской пляж МУП ""БХО""",желтый флаг (3 категория),"353460, Краснодарский край, г. Геленджик, ул.Революционная, район ул. Херсонской"
330000021,"Пляж ""Санатория ""Эллада"" ФНС России"" Федерального бюджетнго лечебно-профилактическго учреждения ""Санаторий ""Эллада"" ФНС России"" ","Пляж ""Санатория ""Эллада"" ФНС России""",синий флаг (1 категория),"353456, Краснодарский край, г.Анапа, пр. Пионерский, район ДОЛ ""Эллада"""
330000022,"Пляж ""Весна"" Закрытого акционерного общества СПА-отель ""Весна""","Пляж ""Весна""  ЗАО СПА-отель ""Весна""",синий флаг (1 категория),"354364, Краснодарский край, г. Сочи, ул. Ленина, 219а"
330000023,Пляж санатория «Ивушка» - филлиала АО «РЖД-ЗДОРОВЬЕ»,Пляж санатория «Ивушка»,синий флаг (1 категория),"354206, Краснодарский край, г. Сочи, ул. Лучезарная, д.14"
330000025,"Пляж Оздоровительного объединения ""Южный"" Южного главного управления Центрального банка Российской Федерации",Пляж оздоровительного объединения «Южный»,синий флаг (1 категория),"354364, Краснодарский край, г. Сочи, Адлерский район, ул. Ленина, дом 300, 231"
330000026,"Детский оздоровительный лагерь ""Дом отдыха ""Колос""","ДОЛ ""Дом отдыха Колос""",желтый флаг (3 категория),"город Сочи, улица Сочинское шоссе, дом 6а"
330000028,Пляж Оздоровительного центра «Бриз» Оздоровительного объединения «Золотые пески» Южного главного управления Центрального банка Российской Федерации (Банк России),Пляж Оздоровительного центра «Бриз»,синий флаг (1 категория),"353522, Краснодарский край, Темрюкский район,  п. Пересыпь, ул. Бондаревой, 26к."
330000029,Пляж оздоровительного объединения «Золотые пески» Южного главного управления Центрального банка Российской Федерации (Банк России),Пляж оздоровительного объединения «Золотые пески» ,синий флаг (1 категория),"353456, Краснодарский край, г. Анапа, Пионерский проспект, 32"
330000030,"Закрытое акционерное общество ""Санаторий ""Морская звезда""","ЗАО ""Санаторий ""Морская звезда""",желтый флаг (3 категория),"город Сочи, улица Победы, дом 153"
330000031,Пляж санатория «Авангард» -  филиала Федерального государственного бюджетного учреждения «Детский медицинский центр» Управления делами Президента Российской Федерации,Пляж санатория «Авангард» -  филиала ФГБУ «Детский медицинский центр» Управления делами Президента РФ,синий флаг (1 категория),"354002, Краснодарский край,  г. Сочи,  Курортный проспект, 83"
330000007,"Пляж федерального государственного бюджетного образовательного учреждения дополнительного образования детей ""Федеральный детский оздоровительно-образовательный центр ""Смена""","ФГБОУ ДОД ФДЦ ""Смена""",синий флаг (1 категория),"353408, Краснодарский край, г. Анапа, с/о Супсехский, с. Сукко"
330000008,"Пляж ОАО Санатория ""Красная Талка""","Пляж ОАО Санатория ""Красная Талка""",синий флаг (1 категория),"353460, Краснодарский край, г. Геленджик, Лермонтовский бульвар, 19"
330000011,Пляж Оздоровительного комплекса «Прометей»,Пляж ОК «Прометей»,синий флаг (1 категория),"352831, Краснодарский край, Туапсинский район, п. Небуг, ОК «Прометей»"
330000016,Пляжный комплекс «Спутник» АО «Сочинский Оздоровительный Комплекс «Спутник»,Пляжный комплекс «Спутник» АО «СОК «Спутник»,синий флаг (1 категория),"354024, Краснодарский край, г. Сочи, ул. Новороссийское шоссе, 17/1"
330000017,"Пляж ЗАО ЛОК ""Солнечная"" Закрытого акционерного общества лечебно-оздоровительного комплекса ""Солнечная""","Пляж ЗАО ЛОК ""Солнечная"" ЗАО ЛОК ""Солнечная""",зеленый флаг (2 категория),"353465, Краснодарский край, г. Геленджик, ул. Туристическая, 19"
330000018,"Муниципальное унитарное предприятие благоустройства и хозяйственного обеспечения муниципального образования город-курорт Геленджик, Городской пляж","Городской пляж МУП ""БХО""",зеленый флаг (2 категория),"353465, Краснодарский край, г. Геленджик, ул. Революционная, район аквапарка ""Дельфин"""
330000019,"Муниципальное унитарное предприятие благоустройства и хозяйственного обеспечения муниципального образования город-курорт Геленджик, Городской пляж","Городской пляж МУП ""БХО""",зеленый флаг (2 категория),"353465, Краснодарский край, г. Геленджик, ул.Революционная, район кафе ""Лакомка"""
