SeriousDlqin2yrs;age;NumberOfTime30-59DaysPastDueNotWorse;DebtRatio;NumberOfTimes90DaysLate;NumberOfTime60-89DaysPastDueNotWorse;MonthlyIncome;NumberOfDependents
0;64;0;0.368246;0;1;4811.000000;0.000000
1;47;1;0.504299;3;0;5000.000000;2.000000
1;58;1;0.195150;1;0;7916.000000;1.000000
0;78;0;0.006672;0;0;2397.000000;0.000000
1;51;2;0.004500;0;0;36000.000000;0.000000
1;66;0;0.417904;0;1;4780.000000;0.000000
0;31;0;0.136907;0;0;2928.000000;0.000000
0;78;0;0.008555;0;0;2220.000000;0.000000
0;23;98;0.000000;98;98;;
0;56;0;126.000000;1;0;;0.000000
0;83;0;0.146319;0;0;4250.000000;0.000000
1;41;2;0.163562;0;0;9500.000000;2.000000
0;52;0;0.001852;0;0;8100.000000;0.000000
0;57;0;0.823987;0;0;1800.000000;0.000000
0;25;0;0.182396;0;0;3146.000000;2.000000
1;48;8;3082.000000;1;2;;0.000000
1;53;1;0.381117;0;0;13016.000000;4.000000
1;67;3;1.410140;4;1;4200.000000;0.000000
0;39;0;0.468056;0;0;10846.000000;1.000000
1;56;0;2132.000000;0;0;;0.000000
0;45;0;0.432022;0;0;5920.000000;4.000000
0;39;0;0.545593;0;0;4583.000000;0.000000
0;68;0;0.255769;0;0;10833.000000;0.000000
0;59;0;0.350526;0;0;11593.000000;1.000000
0;54;0;953.000000;0;0;;0.000000
0;63;1;0.134183;0;0;6900.000000;0.000000
0;39;0;1.664668;0;0;2000.000000;0.000000
0;59;1;0.835846;1;0;596.000000;0.000000
1;54;2;1762.000000;0;0;;1.000000
0;37;0;0.315640;0;0;12000.000000;2.000000
1;28;0;68.000000;0;0;;
0;40;0;0.090870;0;0;4643.000000;2.000000
1;54;1;0.268913;0;1;3026.000000;1.000000
1;41;0;0.190270;2;6;3000.000000;1.000000
0;60;0;40.000000;0;0;;0.000000
0;31;0;0.134179;0;0;2600.000000;0.000000
0;51;0;1.117850;0;0;1450.000000;1.000000
0;60;0;0.426719;0;0;4550.000000;0.000000
0;51;0;0.316130;0;0;18833.000000;0.000000
0;69;0;1248.000000;0;0;0.000000;1.000000
0;58;0;54.000000;0;0;;0.000000
0;66;0;0.264484;0;0;3175.000000;0.000000
1;65;0;1.403465;1;0;2423.000000;0.000000
0;86;0;18.000000;0;0;;0.000000
1;40;1;0.405833;1;0;4868.000000;2.000000
1;51;0;0.287639;1;1;3785.000000;0.000000
0;33;0;0.067374;0;0;6500.000000;2.000000
0;45;1;0.611056;0;0;7000.000000;1.000000
0;45;1;0.635668;0;0;6666.000000;2.000000
1;32;1;0.507437;0;0;4033.000000;0.000000
0;58;0;0.953420;0;0;4400.000000;1.000000
0;61;0;0.646335;0;0;1950.000000;0.000000
0;47;0;0.498124;0;0;5329.000000;3.000000
0;82;0;175.000000;0;0;;0.000000
1;74;1;1.157397;0;0;2750.000000;0.000000
0;62;0;0.400313;0;0;3199.000000;0.000000
0;51;0;2.210114;0;0;1660.000000;0.000000
0;37;0;0.575943;0;0;3923.000000;1.000000
0;69;0;1.091272;0;0;1500.000000;0.000000
1;35;0;0.304462;0;0;2666.000000;2.000000
0;34;0;0.008734;1;0;2747.000000;4.000000
1;44;4;0.388193;1;1;13500.000000;2.000000
0;36;1;0.438104;0;0;10250.000000;2.000000
1;58;0;0.744167;0;0;5014.000000;0.000000
1;44;0;2591.000000;0;1;;0.000000
0;52;0;0.072386;0;0;5000.000000;3.000000
0;79;0;0.005852;0;0;3075.000000;0.000000
0;71;0;0.101469;0;0;5853.000000;0.000000
0;47;0;0.786434;0;0;6250.000000;0.000000
0;39;0;0.751500;0;0;3500.000000;3.000000
0;40;3;0.524707;0;0;5200.000000;1.000000
1;60;2;521.000000;0;0;;
0;45;0;0.170883;0;0;10000.000000;1.000000
0;70;0;0.054449;0;0;1505.000000;0.000000
1;54;0;0.527795;0;0;1600.000000;1.000000
0;49;0;0.465804;0;0;5950.000000;2.000000
0;48;1;0.344596;0;0;4024.000000;1.000000
0;52;0;0.006642;0;0;121200.000000;0.000000
1;47;2;0.453641;1;4;7333.000000;0.000000
1;25;0;0.101093;0;0;1463.000000;1.000000
0;38;1;0.435871;0;0;7632.000000;2.000000
1;53;0;2829.000000;0;0;;0.000000
0;36;0;0.053220;0;0;9300.000000;4.000000
0;62;1;0.375348;1;2;6100.000000;0.000000
1;28;0;0.000000;0;0;2925.000000;0.000000
0;44;1;0.555111;0;1;4000.000000;0.000000
0;63;0;183.000000;0;0;;0.000000
0;36;0;0.496638;1;4;3420.000000;2.000000
0;53;0;0.192629;0;0;14000.000000;1.000000
1;42;0;5152.000000;0;0;;0.000000
0;49;1;0.383238;0;0;5750.000000;0.000000
0;63;2;0.191649;0;0;6250.000000;1.000000
0;66;0;0.088333;0;0;4833.000000;0.000000
0;60;0;2102.000000;0;0;;0.000000
0;54;0;0.562410;0;1;7666.000000;0.000000
0;43;0;0.257282;0;0;6968.000000;0.000000
1;33;0;0.286417;1;0;5079.000000;0.000000
0;46;0;0.188362;0;0;3333.000000;0.000000
1;31;0;0.000000;2;0;1600.000000;0.000000
0;64;0;7335.000000;0;0;;0.000000
0;84;0;0.266361;0;0;4583.000000;0.000000
1;43;4;0.553965;3;0;4400.000000;2.000000
0;68;1;0.543491;0;0;5000.000000;0.000000
1;36;0;0.000000;2;0;;0.000000
1;28;1;541.000000;0;2;;0.000000
1;29;0;0.219772;0;1;2720.000000;2.000000
0;64;0;1715.000000;0;0;;0.000000
0;27;0;0.149328;0;0;3200.000000;0.000000
0;68;0;123.000000;0;0;;0.000000
1;50;98;0.000000;98;98;1350.000000;0.000000
0;63;0;0.445764;0;0;1852.000000;0.000000
0;74;0;0.478595;0;0;7147.000000;0.000000
0;42;0;0.423238;0;0;7900.000000;1.000000
0;49;0;0.250680;0;0;6250.000000;0.000000
0;21;98;0.000000;98;98;;
1;24;0;0.048207;0;0;1700.000000;0.000000
1;44;0;0.790549;0;0;4549.000000;1.000000
1;49;2;0.305137;1;1;7163.000000;3.000000
1;48;5;0.158286;0;1;6999.000000;3.000000
0;69;0;0.010181;0;0;11000.000000;1.000000
0;32;0;0.101890;0;0;10000.000000;0.000000
0;44;1;0.149424;0;0;7200.000000;3.000000
0;38;1;0.243279;0;0;4500.000000;3.000000
1;27;0;0.000000;0;0;2400.000000;1.000000
0;66;0;911.000000;0;0;;0.000000
0;69;0;0.024198;0;0;1900.000000;0.000000
0;75;0;659.000000;0;0;;0.000000
0;61;0;0.440384;0;0;4377.000000;0.000000
0;55;1;0.509176;0;0;2560.000000;0.000000
0;49;1;0.002399;0;0;2500.000000;0.000000
0;25;0;0.123251;0;0;1500.000000;0.000000
1;34;4;2684.000000;0;0;;0.000000
0;53;0;0.360451;0;0;4166.000000;0.000000
0;26;98;0.000000;98;98;2000.000000;0.000000
0;77;0;0.001824;0;0;10416.000000;0.000000
1;66;0;4562.000000;0;0;;0.000000
0;33;0;0.308527;0;0;7000.000000;1.000000
1;60;1;0.238381;0;0;12500.000000;0.000000
0;34;0;0.000225;0;0;8888.000000;1.000000
1;49;1;0.473607;0;1;6800.000000;2.000000
0;41;0;306.500000;0;0;1.000000;4.000000
0;55;0;0.563525;0;0;7374.000000;1.000000
0;61;0;0.350370;0;0;23400.000000;1.000000
0;82;0;0.376161;0;0;3120.000000;0.000000
1;26;1;0.354411;1;5;4000.000000;0.000000
1;57;1;2222.000000;1;0;;0.000000
0;54;0;0.182733;0;0;7250.000000;1.000000
0;87;0;0.528610;0;0;1100.000000;0.000000
0;27;0;0.291491;0;0;4500.000000;1.000000
0;56;0;0.224964;0;0;6200.000000;1.000000
0;50;1;0.316222;0;0;8999.000000;2.000000
0;36;0;0.006663;0;0;1800.000000;1.000000
0;31;1;0.106322;0;0;15800.000000;1.000000
0;54;0;0.839161;0;0;1000.000000;0.000000
1;66;0;0.001196;0;1;9200.000000;0.000000
0;62;1;0.550064;0;0;7000.000000;0.000000
1;39;4;453.000000;4;0;;0.000000
0;34;0;3.391073;0;0;1500.000000;0.000000
1;55;1;2776.000000;0;0;;0.000000
0;32;0;0.953140;0;0;3200.000000;1.000000
0;48;2;514.000000;0;0;;1.000000
0;57;0;0.143970;0;0;11036.000000;0.000000
0;34;0;0.127145;0;0;6000.000000;3.000000
0;60;1;0.469081;1;1;4915.000000;1.000000
0;23;0;2.000000;0;0;;
0;29;1;0.221656;0;0;3333.000000;0.000000
0;70;0;1470.000000;0;0;1.000000;1.000000
0;50;1;0.357898;0;0;3785.000000;1.000000
1;42;1;0.716269;7;0;1800.000000;0.000000
0;35;0;0.309972;0;0;11000.000000;1.000000
1;47;2;0.135660;4;0;5100.000000;2.000000
0;53;0;0.661533;0;0;2726.000000;3.000000
1;50;6;0.772234;3;2;10962.000000;4.000000
0;29;0;0.171254;0;0;4250.000000;0.000000
1;54;0;0.012332;0;1;2756.000000;0.000000
1;35;1;1.533713;0;0;2105.000000;2.000000
0;43;0;0.102297;0;0;4134.000000;4.000000
0;66;0;2180.000000;0;0;;
1;71;0;0.785251;0;0;7701.000000;1.000000
0;58;0;0.485874;0;0;8600.000000;0.000000
0;41;0;2006.000000;0;0;;
0;54;0;0.044866;0;0;45000.000000;0.000000
1;33;1;0.242217;1;0;3500.000000;0.000000
0;42;0;0.065848;0;0;7000.000000;0.000000
0;35;0;0.160199;0;0;3813.000000;3.000000
0;63;0;0.063249;0;0;5343.000000;0.000000
1;60;0;0.275266;3;0;2255.000000;0.000000
0;51;0;0.363818;0;0;2000.000000;0.000000
1;36;2;0.277455;3;1;3960.000000;2.000000
0;55;0;0.326070;0;0;3900.000000;0.000000
1;27;0;0.153156;0;0;3120.000000;0.000000
0;71;0;0.213993;0;0;5116.000000;0.000000
1;43;2;0.634815;0;0;5870.000000;4.000000
0;63;0;0.290697;0;0;12500.000000;0.000000
1;45;4;1.929208;1;1;2019.000000;0.000000
0;40;0;510.000000;0;0;;0.000000
1;49;1;0.594605;1;0;5300.000000;3.000000
0;38;0;0.274496;0;0;5500.000000;0.000000
0;41;0;0.024673;0;0;2066.000000;0.000000
1;57;0;0.971566;0;0;5415.000000;0.000000
0;60;0;655.000000;0;0;;0.000000
0;63;0;0.832056;0;0;3000.000000;0.000000
0;42;0;77.000000;0;0;;0.000000
0;75;0;20.000000;0;0;;0.000000
0;42;0;0.777623;0;0;5040.000000;2.000000
0;34;1;0.402940;1;1;4625.000000;0.000000
0;55;1;0.339282;0;0;13000.000000;2.000000
1;49;4;0.386367;0;0;7862.000000;2.000000
0;76;0;0.013994;0;0;2500.000000;0.000000
1;40;0;0.309660;0;0;45000.000000;1.000000
0;56;1;0.054732;0;0;8166.000000;0.000000
0;76;0;0.439122;0;0;500.000000;0.000000
1;38;0;0.000000;0;0;1000.000000;1.000000
0;68;1;0.289893;0;0;7350.000000;0.000000
0;62;0;0.350810;0;0;7838.000000;0.000000
0;53;0;0.719910;0;0;5333.000000;1.000000
0;42;0;0.797626;0;0;1600.000000;0.000000
0;53;0;4177.000000;0;0;;
0;57;0;0.157574;0;0;4600.000000;1.000000
0;27;0;12.500000;0;0;7.000000;0.000000
0;33;0;0.063587;0;0;5000.000000;0.000000
0;57;0;0.593360;0;0;2800.000000;0.000000
1;61;2;0.354113;3;0;6175.000000;0.000000
0;59;0;0.903209;1;0;1900.000000;0.000000
0;51;0;0.929395;0;0;4333.000000;2.000000
1;33;0;0.237012;0;0;4176.000000;0.000000
1;42;2;0.603777;0;0;5400.000000;2.000000
0;46;0;0.330977;0;0;9900.000000;2.000000
1;60;1;2.646128;1;2;1200.000000;2.000000
0;32;0;0.104661;0;0;4633.000000;1.000000
0;47;2;0.728263;0;0;4772.000000;2.000000
1;37;0;0.215627;0;0;22000.000000;2.000000
0;69;0;0.148885;0;0;10000.000000;0.000000
1;40;1;0.310950;0;0;4958.000000;1.000000
0;39;0;6003.000000;0;0;;0.000000
1;51;2;1.068515;0;1;3750.000000;0.000000
1;38;0;0.975806;0;0;2975.000000;0.000000
1;43;0;0.969556;0;0;4072.000000;0.000000
1;26;0;1.923920;0;0;1550.000000;0.000000
0;32;0;0.229787;0;0;2584.000000;4.000000
0;64;0;0.207159;0;0;5000.000000;0.000000
0;64;0;0.307615;0;0;6000.000000;3.000000
1;43;0;0.417264;0;0;6000.000000;0.000000
1;55;1;0.563908;0;0;3950.000000;0.000000
1;60;0;0.417733;0;0;8830.000000;0.000000
0;47;0;3221.000000;0;0;;0.000000
0;38;0;0.186241;0;0;6700.000000;0.000000
1;38;1;0.023324;0;0;2400.000000;2.000000
1;63;1;4206.000000;0;1;;0.000000
0;32;0;0.600966;2;1;6006.000000;1.000000
0;29;0;0.164292;0;0;3438.000000;1.000000
1;35;2;0.793259;1;2;2877.000000;0.000000
0;46;0;0.278322;0;0;9700.000000;1.000000
1;28;2;0.270332;1;0;2200.000000;0.000000
0;78;0;2.000000;0;0;;0.000000
0;76;0;3548.000000;0;0;;0.000000
0;66;0;64.000000;0;0;;0.000000
0;51;1;0.496417;0;0;6000.000000;3.000000
1;45;0;0.138312;0;0;8046.000000;2.000000
0;54;0;0.409892;0;0;3800.000000;2.000000
0;72;0;0.387594;0;0;2401.000000;0.000000
0;53;1;3381.000000;0;0;;0.000000
0;74;0;0.208185;0;0;5326.000000;1.000000
1;35;1;0.426429;0;0;6666.000000;2.000000
1;23;98;0.000000;98;98;;0.000000
0;53;1;0.879524;0;0;4365.000000;2.000000
0;33;0;0.345219;0;0;6954.000000;2.000000
1;60;1;0.104137;1;0;4253.000000;0.000000
1;54;0;0.402727;0;0;4620.000000;2.000000
0;52;0;0.396259;0;1;5720.000000;0.000000
0;57;0;0.123084;0;0;13632.000000;0.000000
0;73;0;536.000000;0;0;0.000000;1.000000
0;57;0;2543.000000;0;0;;1.000000
0;27;0;0.078051;0;0;4432.000000;0.000000
1;33;0;0.269940;0;0;4500.000000;3.000000
1;32;6;0.919081;0;1;1000.000000;0.000000
0;76;0;0.009198;0;0;5435.000000;0.000000
0;59;0;0.179210;0;0;5088.000000;0.000000
0;54;0;0.783522;0;0;5473.000000;3.000000
0;27;0;0.052393;0;0;7500.000000;0.000000
1;25;1;0.270758;0;2;3600.000000;1.000000
0;54;0;0.243839;0;0;9616.000000;1.000000
1;42;1;0.083564;1;0;3254.000000;4.000000
1;44;1;0.356858;0;0;750.000000;0.000000
0;44;0;0.837454;0;0;4933.000000;0.000000
0;26;0;0.132747;0;0;2500.000000;0.000000
1;41;0;0.233278;3;1;4200.000000;2.000000
0;59;0;0.505888;0;0;4500.000000;1.000000
1;53;0;1513.000000;0;0;;1.000000
0;40;0;973.000000;0;0;;2.000000
1;44;0;0.350548;0;0;3833.000000;0.000000
1;30;0;0.153670;2;1;3500.000000;0.000000
0;30;0;0.253045;0;0;5417.000000;2.000000
1;31;1;0.275977;0;2;3300.000000;2.000000
1;59;2;0.000769;1;0;2600.000000;0.000000
1;50;0;990.000000;1;1;;0.000000
1;61;3;0.656664;0;2;4831.000000;0.000000
0;47;0;0.689211;0;0;3104.000000;0.000000
0;76;0;0.003120;0;0;4166.000000;0.000000
1;38;0;0.284777;1;0;7166.000000;0.000000
0;51;0;0.258196;0;0;7350.000000;2.000000
1;49;0;0.649902;0;0;21533.000000;0.000000
0;28;0;0.121581;0;0;6250.000000;0.000000
0;39;0;0.265340;0;0;5377.000000;1.000000
1;59;0;0.400037;0;0;5416.000000;0.000000
0;58;0;1559.000000;0;0;;0.000000
1;31;3;0.735934;4;0;2665.000000;0.000000
0;51;0;0.136402;0;0;10600.000000;2.000000
0;60;0;7868.000000;0;0;;0.000000
1;59;0;0.453567;1;0;5200.000000;0.000000
1;45;1;0.423548;2;2;5800.000000;0.000000
1;59;1;0.223787;1;1;5893.000000;1.000000
0;50;0;0.418763;0;0;2941.000000;0.000000
0;59;0;0.000000;0;0;5416.000000;0.000000
1;42;0;0.145175;0;0;2279.000000;3.000000
0;42;0;0.654550;0;0;4208.000000;0.000000
0;78;1;3775.000000;1;0;;
0;49;0;0.147971;0;0;3770.000000;0.000000
1;50;0;0.795703;0;0;10890.000000;0.000000
0;67;0;1525.000000;0;0;;0.000000
0;62;0;0.545270;0;0;12833.000000;0.000000
0;64;0;0.351130;0;0;5000.000000;0.000000
0;25;0;0.000000;0;0;850.000000;0.000000
0;42;0;0.416226;0;0;7000.000000;1.000000
1;56;1;0.879530;0;1;4166.000000;2.000000
0;43;0;2.153559;0;0;3750.000000;2.000000
0;55;0;0.246135;0;0;9766.000000;1.000000
0;41;0;0.174960;0;0;10750.000000;3.000000
0;55;0;0.452110;0;0;5000.000000;0.000000
0;67;2;0.759262;0;0;7800.000000;2.000000
0;55;0;1.023302;0;0;4505.000000;0.000000
0;75;1;0.505867;0;0;2300.000000;0.000000
1;62;1;0.056441;2;1;3135.000000;0.000000
0;32;0;0.412867;1;1;1600.000000;4.000000
0;78;0;0.014397;0;0;5000.000000;0.000000
0;57;0;0.491146;0;0;8583.000000;0.000000
0;82;0;2.000000;0;0;;
1;57;2;0.509574;1;1;4595.000000;1.000000
0;47;1;650.000000;0;0;;0.000000
1;49;1;0.071451;4;1;3162.000000;0.000000
0;67;0;2715.000000;0;0;;0.000000
0;38;0;0.554270;0;0;7259.000000;1.000000
0;55;0;0.701323;0;0;5443.000000;0.000000
0;31;0;0.588401;0;0;8500.000000;0.000000
0;27;2;0.070807;0;0;4250.000000;1.000000
0;82;0;0.000000;0;0;;
0;37;0;0.374126;0;0;4861.000000;2.000000
0;51;0;0.356153;0;0;7361.000000;2.000000
1;60;6;0.682264;0;0;5000.000000;0.000000
1;54;2;1.196498;0;0;7480.000000;2.000000
0;45;0;1815.000000;0;0;;0.000000
0;21;0;0.000000;0;0;1.000000;0.000000
0;49;0;0.133397;0;1;8335.000000;1.000000
0;43;0;0.230635;0;0;13800.000000;2.000000
1;40;0;2.688124;0;0;900.000000;3.000000
0;64;0;0.137954;0;0;3000.000000;0.000000
0;57;0;0.299089;0;0;6034.000000;1.000000
0;42;0;0.683063;0;0;5000.000000;2.000000
1;41;6;0.506275;0;0;7250.000000;3.000000
0;56;0;0.006817;0;0;2786.000000;0.000000
0;64;0;99.000000;0;0;;0.000000
0;50;0;0.297461;0;0;10750.000000;2.000000
0;54;0;1343.000000;0;0;;0.000000
1;23;0;111.000000;2;1;;0.000000
1;58;0;0.410528;0;0;6800.000000;0.000000
0;33;0;0.030296;0;0;8515.000000;0.000000
0;42;0;5671.000000;0;0;;0.000000
0;55;0;0.374363;0;0;10000.000000;1.000000
1;67;1;1.523252;0;0;3160.000000;0.000000
0;38;1;0.362213;1;1;3000.000000;0.000000
1;47;0;0.313666;2;1;3270.000000;2.000000
0;51;0;0.334490;0;0;6914.000000;2.000000
1;35;2;0.364641;0;0;3800.000000;0.000000
1;61;0;1.732326;0;0;2050.000000;0.000000
1;62;0;0.153019;0;0;7900.000000;0.000000
1;59;0;1.168944;0;0;3000.000000;1.000000
1;37;0;0.268284;0;0;8900.000000;3.000000
1;42;1;1.131103;0;0;2600.000000;2.000000
1;42;0;0.393144;1;0;7350.000000;1.000000
0;49;0;0.413862;0;0;12450.000000;2.000000
1;42;0;0.714066;0;0;1300.000000;2.000000
1;50;3;0.191404;0;0;2000.000000;3.000000
1;36;2;0.394921;0;1;5000.000000;2.000000
1;32;2;0.638593;0;0;3383.000000;1.000000
0;60;0;0.198522;2;0;10416.000000;2.000000
0;66;0;185.000000;0;0;;0.000000
0;73;0;0.006498;0;0;4000.000000;0.000000
0;60;0;0.267183;0;0;18200.000000;0.000000
1;31;0;0.145906;0;0;2857.000000;0.000000
1;49;1;0.253484;0;0;5380.000000;2.000000
0;61;0;0.002500;0;0;10000.000000;1.000000
1;58;0;0.414729;0;0;6666.000000;0.000000
0;49;2;0.026403;0;0;3900.000000;0.000000
0;78;0;0.262785;0;0;4516.000000;0.000000
0;41;0;0.321686;0;0;9300.000000;0.000000
1;26;0;0.120400;0;0;2200.000000;0.000000
1;60;0;0.148305;0;0;5427.000000;1.000000
1;63;1;0.106072;2;0;5467.000000;0.000000
1;47;0;0.221206;2;0;5573.000000;2.000000
1;42;2;0.581884;0;0;5000.000000;0.000000
0;37;0;0.513795;0;0;9314.000000;0.000000
0;54;0;0.260895;0;0;12000.000000;2.000000
0;59;0;0.423551;0;1;3243.000000;0.000000
0;74;0;0.279016;0;0;1300.000000;0.000000
0;88;1;664.000000;0;0;;0.000000
0;31;0;0.309669;0;0;10000.000000;0.000000
0;53;0;0.572932;1;0;5984.000000;1.000000
1;35;2;2323.000000;3;1;;0.000000
1;54;0;0.375436;0;0;4583.000000;1.000000
0;48;0;0.446548;0;0;3750.000000;0.000000
0;69;0;0.008855;0;0;3500.000000;0.000000
0;25;0;291.000000;0;0;;
1;55;0;0.151988;1;0;13000.000000;1.000000
0;50;0;0.251479;0;0;12000.000000;1.000000
1;50;1;0.162361;1;0;10334.000000;3.000000
0;49;0;0.256432;0;0;4741.000000;1.000000
0;52;0;0.014993;0;0;2000.000000;0.000000
0;34;0;0.248242;0;0;6400.000000;0.000000
1;47;1;1.813375;0;1;4500.000000;3.000000
0;46;0;0.292123;0;0;7667.000000;2.000000
1;34;0;0.959020;0;0;2000.000000;0.000000
1;37;0;0.005691;0;0;6500.000000;0.000000
0;31;0;0.004197;1;0;2620.000000;2.000000
1;23;0;0.021140;1;1;1560.000000;0.000000
0;35;1;0.202949;0;0;4000.000000;0.000000
0;64;0;0.004832;0;0;5587.000000;0.000000
0;90;0;0.000000;0;0;;0.000000
1;46;1;0.768675;2;1;3600.000000;3.000000
0;84;0;0.114952;0;0;2400.000000;0.000000
1;50;2;1896.000000;0;0;;0.000000
1;43;1;0.696328;0;0;5663.000000;0.000000
1;42;0;0.000000;0;0;;2.000000
0;39;0;911.000000;0;0;;0.000000
1;68;1;0.342754;0;0;7500.000000;0.000000
0;39;0;0.203597;0;0;9228.000000;0.000000
0;77;0;90.000000;0;0;;0.000000
1;74;0;0.680480;0;0;5501.000000;0.000000
1;42;1;2449.000000;4;3;;0.000000
1;71;0;2.022939;0;0;2571.000000;0.000000
1;31;1;994.000000;0;0;;0.000000
1;22;1;0.174377;1;1;280.000000;0.000000
1;49;0;0.000174;0;0;11482.000000;0.000000
1;44;0;54.000000;2;0;;0.000000
0;50;0;0.412147;0;0;4000.000000;0.000000
1;60;0;0.014440;0;0;3600.000000;0.000000
0;48;0;0.302169;0;0;16000.000000;6.000000
0;62;0;0.755401;0;0;6340.000000;0.000000
0;64;0;1962.000000;0;1;;0.000000
0;36;0;0.390630;0;0;20000.000000;1.000000
1;70;0;0.542768;0;0;4500.000000;0.000000
1;48;2;0.488993;0;0;11083.000000;1.000000
0;63;0;0.535137;0;0;3770.000000;0.000000
0;44;0;0.603306;0;0;3750.000000;1.000000
0;40;0;0.306837;0;0;8000.000000;2.000000
0;40;1;0.365017;0;1;5333.000000;0.000000
0;69;0;0.099525;0;0;8208.000000;1.000000
0;66;0;48.000000;0;0;;0.000000
0;58;1;0.648035;0;0;10000.000000;2.000000
0;84;0;0.000000;0;0;0.000000;0.000000
0;72;0;0.000000;0;0;2500.000000;0.000000
0;31;0;0.024993;1;1;3600.000000;3.000000
0;57;0;0.275041;0;0;11710.000000;0.000000
0;75;0;0.067854;0;0;2077.000000;0.000000
0;44;0;0.468529;0;0;2970.000000;0.000000
1;46;1;0.831764;4;2;2335.000000;3.000000
0;55;0;1768.000000;0;0;;0.000000
0;63;1;0.268207;0;1;7139.000000;1.000000
1;50;3;0.141472;0;2;3300.000000;3.000000
1;41;0;0.167653;0;0;1520.000000;0.000000
0;62;0;0.192841;0;0;5698.000000;0.000000
0;64;0;0.106271;0;0;10491.000000;0.000000
0;33;0;0.376808;0;0;8916.000000;1.000000
1;85;0;0.141183;0;0;5800.000000;0.000000
1;39;1;0.191606;0;0;5646.000000;3.000000
0;55;0;0.413673;0;0;11774.000000;0.000000
1;59;1;0.360049;0;0;10667.000000;0.000000
0;64;0;1307.000000;0;0;;
0;39;0;0.131313;0;0;7820.000000;3.000000
1;39;2;0.124300;1;0;1785.000000;8.000000
0;48;0;0.033405;0;0;45800.000000;0.000000
1;51;0;0.170409;0;0;4230.000000;0.000000
0;66;0;0.052989;0;0;5000.000000;0.000000
1;47;0;0.220946;0;0;18275.000000;0.000000
0;28;1;0.109761;0;0;2550.000000;0.000000
0;71;0;0.002063;0;0;12600.000000;0.000000
1;38;1;940.000000;0;0;;0.000000
0;49;0;0.287802;0;0;6500.000000;2.000000
0;79;0;0.456469;0;0;4915.000000;0.000000
0;63;0;0.175215;0;0;11288.000000;3.000000
0;29;0;0.644395;0;0;8500.000000;1.000000
0;68;0;0.216757;0;1;5000.000000;0.000000
0;44;0;0.509322;0;0;12604.000000;2.000000
0;38;0;0.274227;0;0;3332.000000;3.000000
0;58;0;0.021663;0;0;5400.000000;0.000000
0;88;0;0.022481;0;0;1200.000000;0.000000
1;41;1;0.860609;0;0;15000.000000;3.000000
1;50;0;0.230292;0;0;5644.000000;0.000000
0;33;1;0.143104;0;0;8678.000000;0.000000
0;51;0;0.180993;0;0;12121.000000;5.000000
1;52;4;1.821306;1;1;3200.000000;0.000000
0;51;0;0.003671;0;0;5720.000000;0.000000
