Month,Year,Bust,Waist,Hips,Height,Weight
November,1972,86,66,91,168,50
December,1972,91,58,91,163,52
January,1973,97,56,91,163,49
February,1973,86,56,86,165,47
March,1973,91,58,91,166,51
April,1973,89,61,89,173,57
May,1973,89,58,89,163,48
June,1973,89,58,89,157,47
July,1973,91,58,89,168,50
August,1973,89,58,89,170,54
September,1973,97,61,91,173,57
October,1973,94,61,91,170,57
November,1973,94,62,91,159,49
December,1973,97,58,93,173,57
January,1974,89,58,89,173,54
February,1974,91,61,86,165,50
March,1974,91,61,91,160,51
April,1974,91,64,91,174,57
May,1974,99,61,91,170,59
June,1974,89,61,86,168,52
July,1974,94,56,89,168,52
September,1974,86,58,89,166,51
October,1974,91,61,91,171,56
November,1974,88,61,89,177,54
December,1974,97,66,95,178,65
January,1975,94,56,89,170,54
February,1975,94,61,91,165,50
March,1975,91,61,91,169,53
April,1975,91,58,89,168,52
May,1975,89,58,86,168,48
June,1975,91,58,93,168,54
July,1975,91,57,89,160,49
August,1975,91,61,89,173,57
September,1975,89,61,86,164,50
October,1975,86,58,86,170,47
November,1975,99,61,91,168,57
December,1975,91,61,89,168,50
January,1976,91,64,91,170,58
February,1976,89,64,94,165,54
March,1976,86,64,89,166,50
April,1976,91,64,91,166,54
May,1976,86,61,94,173,57
June,1976,91,61,86,168,54
July,1976,86,56,88,164,46
August,1976,89,61,89,168,45
September,1976,89,58,86,160,48
October,1976,93,64,91,173,54
November,1976,89,58,89,165,52
December,1976,89,58,89,173,54
January,1977,94,61,94,173,61
March,1977,85,58,89,165,51
April,1977,89,61,89,173,54
May,1977,97,64,91,173,59
June,1977,91,56,81,159,48
July,1977,86,61,89,168,50
August,1977,91,58,81,168,51
September,1977,89,61,91,163,52
October,1977,86,62,86,168,54
November,1977,91,58,91,178,57
December,1977,91,61,89,173,54
January,1978,91,61,89,173,54
February,1978,86,61,89,163,50
March,1978,86,61,89,168,50
April,1978,89,61,89,165,52
May,1978,86,58,86,170,50
June,1978,86,56,86,155,47
July,1978,81,56,81,168,43
August,1978,91,61,91,170,53
September,1978,91,58,86,157,46
October,1978,89,58,89,173,53
November,1978,91,66,91,170,53
December,1978,91,61,91,171,54
January,1979,94,61,86,170,50
February,1979,89,58,89,163,49
March,1979,94,61,84,160,47
April,1979,86,56,81,163,43
May,1979,86,61,86,165,49
June,1979,89,58,86,164,50
July,1979,90,62,86,170,54
August,1979,91,61,91,175,56
September,1979,85,56,86,170,48
October,1979,84,58,84,168,47
November,1979,86,58,86,170,50
December,1979,89,58,86,170,50
January,1980,97,61,91,173,52
February,1980,90,64,90,166,54
March,1980,89,64,91,174,57
April,1980,88,61,85,165,50
May,1980,94,61,89,175,59
June,1980,86,66,89,157,48
July,1980,89,56,86,170,47
August,1980,91,64,89,173,54
September,1980,86,56,86,170,52
October,1980,86,61,89,168,48
November,1980,86,58,84,170,48
December,1980,91,61,91,175,54
January,1981,97,66,94,165,56
February,1981,91,58,86,173,54
March,1981,91,61,91,173,56
April,1981,89,56,86,160,47
May,1981,91,61,91,165,48
June,1981,97,66,94,173,58
July,1981,91,61,86,171,54
August,1981,95,58,86,163,49
September,1981,91,61,91,173,54
October,1981,91,61,91,170,54
November,1981,91,64,91,178,58
December,1981,91,64,91,160,52
January,1982,94,56,86,160,46
February,1982,81,58,86,173,51
March,1982,89,58,84,168,48
April,1982,86,58,86,154,44
May,1982,91,51,86,165,48
June,1982,86,56,84,160,46
July,1982,91,56,91,168,52
August,1982,86,56,86,163,46
September,1982,86,56,89,170,52
October,1982,86,53,81,173,48
November,1982,86,61,86,175,57
December,1982,86,58,86,175,53
January,1983,91,56,89,170,54
February,1983,89,58,86,163,46
March,1983,86,56,81,157,47
April,1983,86,56,84,163,48
May,1983,86,58,86,165,49
June,1983,94,61,94,173,57
July,1983,89,56,86,165,49
August,1983,86,61,86,160,45
September,1983,89,58,86,165,48
October,1983,89,61,89,173,54
November,1983,86,56,86,173,51
December,1983,89,58,84,168,45
January,1984,89,56,86,173,52
February,1984,91,64,89,175,54
March,1984,94,61,89,170,54
April,1984,86,56,81,165,49
May,1984,91,58,81,165,49
June,1984,91,56,86,170,50
July,1984,89,58,86,170,53
August,1984,91,61,91,174,52
September,1984,91,64,89,160,48
October,1984,89,53,86,165,46
November,1984,102,64,91,173,57
December,1984,94,58,89,170,54
January,1985,91,61,89,173,54
February,1985,86,58,86,175,53
March,1985,94,61,89,170,48
April,1985,86,58,86,170,52
May,1985,89,61,89,175,55
June,1985,86,56,86,170,50
July,1985,91,56,81,170,51
August,1985,95,61,89,170,56
September,1985,86,61,86,165,48
October,1985,91,64,91,174,57
December,1985,89,60,89,170,54
January,1986,91,56,86,165,47
February,1986,91,61,89,170,52
March,1986,89,58,89,168,54
April,1986,86,53,86,170,49
May,1986,86,61,86,168,49
June,1986,86,61,86,165,48
July,1986,89,61,89,169,50
August,1986,91,61,86,170,52
September,1986,86,58,81,170,50
October,1986,89,58,86,168,49
November,1986,91,58,89,178,58
December,1986,86,53,84,170,47
January,1987,89,58,86,165,48
February,1987,97,61,91,173,59
April,1987,81,58,86,155,44
May,1987,86,61,89,173,54
June,1987,89,53,84,170,49
July,1987,89,58,89,170,52
August,1987,81,56,86,157,45
September,1987,91,61,91,170,54
October,1987,91,61,89,165,48
November,1987,86,58,85,165,48
December,1987,89,61,86,180,58
January,1988,91,61,91,175,55
February,1988,86,56,84,165,46
March,1988,89,64,89,173,53
April,1988,91,64,89,173,57
May,1988,91,61,89,170,54
June,1988,89,61,89,170,50
July,1988,91,56,81,169,49
September,1988,91,62,86,160,48
October,1988,91,53,81,160,43
November,1988,89,61,89,174,56
December,1988,89,61,89,168,52
January,1989,89,61,89,178,55
February,1989,94,61,89,166,53
March,1989,94,62,91,178,57
April,1989,97,61,86,170,53
May,1989,91,58,89,170,52
June,1989,91,61,86,175,54
July,1989,86,61,81,165,49
August,1989,97,61,86,170,50
September,1989,89,58,86,164,47
October,1989,91,53,81,163,48
November,1989,91,58,81,168,51
December,1989,94,61,89,173,54
January,1990,91,58,89,170,52
February,1990,91,56,86,170,48
March,1990,86,58,86,168,50
April,1990,94,61,91,175,54
May,1990,86,61,91,173,57
June,1990,89,61,89,174,58
July,1990,91,61,86,163,51
August,1990,86,61,89,168,51
September,1990,91,56,84,166,50
October,1990,91,61,86,168,54
November,1990,86,61,81,168,51
December,1990,97,61,86,180,57
January,1991,91,58,89,170,52
February,1991,91,58,66,168,50
March,1991,86,56,81,165,50
April,1991,86,58,86,173,49
May,1991,91,61,86,173,54
June,1991,97,69,97,175,59
July,1991,86,58,89,168,51
August,1991,86,56,86,160,48
September,1991,91,64,91,178,61
October,1991,86,56,89,168,50
November,1991,86,58,86,170,49
December,1991,89,61,91,178,54
January,1992,91,58,86,165,45
February,1992,91,64,89,174,56
March,1992,86,58,86,168,53
April,1992,91,61,91,170,54
May,1992,91,66,97,180,64
June,1992,91,66,89,168,52
July,1992,89,64,94,174,60
August,1992,86,61,86,174,56
September,1992,86,56,86,174,54
October,1992,91,64,91,168,54
November,1992,86,60,86,175,52
December,1992,91,61,89,168,54
January,1993,91,58,84,170,50
February,1993,86,61,89,178,54
March,1993,86,61,86,173,52
April,1993,91,58,86,168,49
May,1993,86,61,86,174,54
June,1993,91,64,91,173,57
July,1993,97,66,86,170,54
August,1993,81,56,81,163,45
September,1993,86,61,88,174,54
October,1993,97,61,86,170,54
November,1993,97,53,86,171,50
December,1993,86,66,91,180,59
January,1994,91,61,89,175,56
February,1994,86,61,89,180,57
March,1994,91,58,91,173,54
April,1994,91,61,91,178,59
May,1994,86,58,86,163,48
June,1994,86,61,89,175,56
July,1994,91,61,91,180,59
August,1994,81,58,84,157,43
September,1994,86,61,89,168,48
October,1994,91,58,86,175,54
November,1994,86,64,89,180,61
December,1994,86,56,86,168,49
January,1995,86,61,86,168,50
February,1995,86,53,85,157,47
March,1995,86,61,91,178,59
April,1995,86,61,89,178,56
May,1995,86,58,86,164,51
June,1995,86,61,84,170,48
July,1995,86,58,84,170,48
August,1995,88,61,89,170,56
September,1995,86,56,86,165,50
October,1995,86,58,86,173,50
November,1995,86,61,86,165,51
December,1995,86,61,86,175,53
January,1996,91,61,86,173,56
February,1996,86,61,86,163,49
March,1996,91,64,86,173,54
April,1996,86,61,84,168,52
May,1996,84,56,84,163,44
June,1996,86,60,86,175,56
July,1996,86,56,86,163,50
August,1996,86,61,86,165,47
September,1996,86,61,86,173,54
October,1996,86,56,86,168,46
November,1996,86,64,89,170,54
December,1996,89,64,94,178,63
January,1997,91,56,89,173,54
February,1997,91,61,91,177,57
March,1997,91,61,86,165,52
April,1997,86,55,80,160,43
May,1997,86,64,89,170,54
June,1997,86,61,86,168,52
July,1997,86,61,91,171,54
August,1997,91,61,81,170,57
September,1997,91,58,89,173,54
October,1997,91,61,91,177,55
November,1997,91,61,91,173,56
December,1997,86,61,86,173,57
January,1998,91,61,89,173,53
February,1998,86,64,91,175,57
March,1998,89,61,89,170,54
April,1998,86,58,86,171,57
May,1998,91,61,89,164,49
June,1998,86,61,86,173,57
July,1998,86,61,86,174,54
August,1998,86,58,85,159,43
September,1998,86,58,81,165,50
October,1998,86,58,86,165,51
November,1998,91,64,89,170,52
December,1998,86,89,86,173,52
January,1999,86,58,86,165,50
February,1999,86,61,89,175,54
March,1999,86,58,86,170,49
April,1999,86,57,88,180,58
May,1999,91,53,86,170,54
June,1999,91,61,86,168,53
July,1999,86,61,86,173,54
August,1999,97,71,97,173,64
September,1999,86,61,84,173,53
October,1999,81,58,88,165,51
November,1999,86,61,89,165,51
December,1999,86,61,89,171,54
January,2000,81,58,86,170,50
February,2000,89,58,84,163,48
March,2000,81,61,81,165,48
April,2000,89,61,86,170,53
May,2000,91,62,86,173,52
June,2000,86,61,91,168,51
July,2000,91,58,89,175,54
August,2000,86,58,84,179,57
September,2000,86,66,84,174,52
October,2000,91,61,91,165,52
November,2000,91,61,86,165,49
December,2000,86,66,91,188,61
January,2001,89,62,91,177,54
February,2001,86,53,84,168,45
March,2001,86,64,90,163,51
April,2001,81,56,81,163,47
May,2001,86,64,89,175,57
June,2001,91,56,81,168,50
July,2001,86,61,86,168,48
August,2001,81,56,81,160,48
September,2001,86,61,89,165,51
October,2001,86,64,86,160,50
November,2001,86,61,89,173,54
December,2001,86,61,86,173,53
January,2002,86,69,89,163,50
February,2002,86,58,89,178,57
March,2002,86,61,86,165,52
April,2002,86,56,76,163,44
May,2002,86,61,86,170,55
June,2002,81,58,84,160,47
July,2002,86,61,89,175,57
August,2002,86,61,84,165,49
September,2002,86,61,91,178,57
October,2002,86,66,84,168,53
November,2002,86,64,86,173,59
December,2002,91,64,89,170,57
January,2003,86,61,86,165,50
February,2003,86,61,86,173,54
March,2003,86,61,89,170,57
April,2003,86,61,69,173,54
May,2003,86,61,89,173,52
June,2003,86,61,86,163,50
July,2003,86,61,86,170,52
August,2003,86,64,91,170,57
September,2003,86,64,89,178,59
October,2003,86,61,86,173,52
November,2003,91,61,91,173,57
December,2003,91,64,91,173,56
January,2004,86,64,86,157,49
February,2004,86,61,89,170,54
March,2004,86,56,86,163,47
April,2004,86,64,89,177,58
May,2004,81,61,86,163,50
June,2004,86,57,86,163,49
July,2004,86,61,84,170,53
August,2004,86,64,86,166,50
September,2004,86,61,86,165,48
October,2004,86,58,84,165,46
November,2004,86,64,86,168,54
December,2004,86,58,89,168,52
January,2005,91,61,61,165,50
February,2005,91,71,91,168,58
March,2005,91,61,91,165,53
April,2005,86,61,86,160,48
May,2005,86,58,86,170,51
June,2005,86,61,86,168,50
July,2005,91,64,91,175,59
August,2005,86,61,86,173,52
September,2005,91,64,91,168,54
October,2005,86,61,84,173,53
November,2005,86,58,89,163,50
December,2005,86,61,86,165,52
January,2006,86,64,91,168,54
February,2006,81,61,86,165,50
March,2006,91,61,91,168,52
April,2006,86,64,86,173,52
May,2006,86,61,86,168,53
June,2006,86,58,86,163,48
July,2006,81,61,79,160,47
August,2006,81,58,84,165,49
September,2006,91,66,91,168,50
October,2006,86,61,86,175,59
November,2006,86,58,81,165,50
December,2006,86,61,86,175,54
January,2007,86,61,89,175,53
February,2007,86,61,86,160,52
March,2007,86,61,86,173,52
April,2007,84,64,89,168,52
May,2007,86,58,86,173,52
June,2007,86,61,89,170,51
July,2007,86,61,86,170,52
August,2007,84,61,86,168,49
September,2007,86,58,84,173,53
October,2007,81,69,91,163,50
November,2007,86,69,86,174,54
December,2007,86,58,89,178,56
January,2008,89,66,89,175,56
February,2008,81,61,89,170,52
March,2008,81,53,89,163,49
May,2008,81,61,89,170,51
June,2008,86,64,91,170,54
July,2008,86,61,86,165,53
August,2008,86,61,86,157,48
September,2008,86,64,91,170,52
October,2008,86,61,86,165,52
November,2008,86,53,81,168,49
December,2008,86,64,89,173,52
January,2009,86,60,91,170,55
