Time,Ads
2017-09-17T11:00:00,161110
2017-09-17T12:00:00,166335
2017-09-17T13:00:00,166780
2017-09-17T14:00:00,163140
2017-09-17T15:00:00,157305
2017-09-17T16:00:00,159055
2017-09-17T17:00:00,160020
2017-09-17T18:00:00,168345
2017-09-17T19:00:00,169900
2017-09-17T20:00:00,142710
2017-09-17T21:00:00,112955
2017-09-17T22:00:00,97345
2017-09-17T23:00:00,81675
2017-09-18T00:00:00,79510
2017-09-18T01:00:00,78350
2017-09-18T02:00:00,88045
2017-09-18T03:00:00,99790
2017-09-18T04:00:00,123780
2017-09-18T05:00:00,111325
2017-09-18T06:00:00,99440
2017-09-18T07:00:00,97655
2017-09-18T08:00:00,97655
2017-09-18T09:00:00,102565
2017-09-18T10:00:00,119930
2017-09-18T11:00:00,135755
2017-09-18T12:00:00,140120
2017-09-18T13:00:00,141730
2017-09-18T14:00:00,142220
2017-09-18T15:00:00,145360
2017-09-18T16:00:00,145335
2017-09-18T17:00:00,150410
2017-09-18T18:00:00,161520
2017-09-18T19:00:00,153415
2017-09-18T20:00:00,134720
2017-09-18T21:00:00,107065
2017-09-18T22:00:00,95045
2017-09-18T23:00:00,79515
2017-09-19T00:00:00,78335
2017-09-19T01:00:00,74670
2017-09-19T02:00:00,81990
2017-09-19T03:00:00,97950
2017-09-19T04:00:00,119345
2017-09-19T05:00:00,113115
2017-09-19T06:00:00,98880
2017-09-19T07:00:00,94000
2017-09-19T08:00:00,93660
2017-09-19T09:00:00,104185
2017-09-19T10:00:00,119750
2017-09-19T11:00:00,135990
2017-09-19T12:00:00,146455
2017-09-19T13:00:00,139165
2017-09-19T14:00:00,147225
2017-09-19T15:00:00,144935
2017-09-19T16:00:00,151370
2017-09-19T17:00:00,156080
2017-09-19T18:00:00,161385
2017-09-19T19:00:00,165010
2017-09-19T20:00:00,134090
2017-09-19T21:00:00,105585
2017-09-19T22:00:00,92855
2017-09-19T23:00:00,79270
2017-09-20T00:00:00,79980
2017-09-20T01:00:00,78110
2017-09-20T02:00:00,85785
2017-09-20T03:00:00,100010
2017-09-20T04:00:00,123880
2017-09-20T05:00:00,116335
2017-09-20T06:00:00,104290
2017-09-20T07:00:00,101440
2017-09-20T08:00:00,97635
2017-09-20T09:00:00,108265
2017-09-20T10:00:00,121250
2017-09-20T11:00:00,140850
2017-09-20T12:00:00,138555
2017-09-20T13:00:00,140990
2017-09-20T14:00:00,141525
2017-09-20T15:00:00,141590
2017-09-20T16:00:00,140610
2017-09-20T17:00:00,139515
2017-09-20T18:00:00,146215
2017-09-20T19:00:00,142425
2017-09-20T20:00:00,123945
2017-09-20T21:00:00,101360
2017-09-20T22:00:00,88170
2017-09-20T23:00:00,76050
2017-09-21T00:00:00,70335
2017-09-21T01:00:00,72150
2017-09-21T02:00:00,80195
2017-09-21T03:00:00,94945
2017-09-21T04:00:00,121910
2017-09-21T05:00:00,113950
2017-09-21T06:00:00,106495
2017-09-21T07:00:00,97290
2017-09-21T08:00:00,98860
2017-09-21T09:00:00,105635
2017-09-21T10:00:00,114380
2017-09-21T11:00:00,132335
2017-09-21T12:00:00,146630
2017-09-21T13:00:00,141995
2017-09-21T14:00:00,142815
2017-09-21T15:00:00,146020
2017-09-21T16:00:00,152120
2017-09-21T17:00:00,151790
2017-09-21T18:00:00,155665
2017-09-21T19:00:00,155890
2017-09-21T20:00:00,123395
2017-09-21T21:00:00,103080
2017-09-21T22:00:00,95155
2017-09-21T23:00:00,80285
