Дата рождения;Пол;Дата приема;Дата увольнения;Должность;Подразделение;Дата активации;Дата начала обучения;Дата последнего посещения;Баллы;1;Название курса
29.12.1979 0:00;m;31.08.2011 0:00;01.01.2001 0:00;Директор обособленного структурного подразделения;Администрация;08.12.2015 20:00;08.12.2015 20:04;14.12.2015 20:01;4,00;В процессе;Основы управления временем
16.06.1987 0:00;m;01.09.2010 0:00;01.01.2001 0:00;Старший менеджер;Группа оперативной работы с клиентами;08.12.2015 20:10;08.12.2015 20:10;01.12.2016 13:53;0,00;Завершен;Основы управления временем
28.06.1987 0:00;w;12.01.2015 0:00;01.01.2001 0:00;Менеджер по обучению;Группа обучения LTL;08.12.2015 20:56;11.12.2015 19:32;11.12.2015 20:49;19,00;В процессе;Эффективное управление конфликтами
26.07.1987 0:00;w;19.11.2014 0:00;01.01.2001 0:00;Оператор информационной базы;Группа оперативной работы с клиентами;08.12.2015 22:18;08.12.2015 22:18;08.12.2015 23:13;0,00;В процессе;Формирование и развитие команды
16.09.1987 0:00;m;19.11.2010 0:00;01.01.2001 0:00;Бригадир смены;Складской комплекс;09.12.2015 4:59;;;0,00;Назначен;Формирование и развитие команды
22.02.1977 0:00;m;02.10.2013 0:00;01.01.2001 0:00;Специалист по подготовке водителей;Группа подготовки водителей;09.12.2015 6:55;09.12.2015 6:56;11.05.2016 11:00;37,00;В процессе;Оценочный тест Microsoft PowerPoint 2010
06.08.1976 0:00;w;21.12.2012 0:00;01.01.2001 0:00;Руководитель отдела по региону;Отдел продаж LTL;09.12.2015 10:18;09.12.2015 10:19;14.02.2018 11:24;0,00;В процессе;Формирование и развитие команды
10.08.1985 0:00;m;01.10.2013 0:00;01.01.2001 0:00;Начальник склада;Складской комплекс;09.12.2015 10:55;09.12.2015 10:55;09.12.2015 11:13;0,00;В процессе;Формирование и развитие команды
23.03.1991 0:00;m;27.03.2012 0:00;01.01.2001 0:00;Менеджер по работе с клиентами;Группа сервисного обслуживания;09.12.2015 11:52;09.12.2015 11:53;10.12.2015 14:37;39,00;Завершен;Основы управления временем
23.02.1989 0:00;m;15.10.2013 0:00;01.01.2001 0:00;Менеджер по обучению;Группа обучения LTL;09.12.2015 12:11;;;0,00;Назначен;Формирование и развитие команды
25.10.1985 0:00;m;08.10.2012 0:00;01.01.2001 0:00;Менеджер по работе с претензиями;Претензионный отдел ОСП;09.12.2015 12:58;09.12.2015 12:58;09.12.2015 13:22;28,00;В процессе;Эффективное управление конфликтами
25.09.1989 0:00;w;29.09.2015 0:00;01.01.2001 0:00;Менеджер по продажам;Отдел продаж LTL;09.12.2015 13:14;09.12.2015 13:14;09.12.2015 13:31;6,00;В процессе;Формирование и развитие команды
19.10.1989 0:00;m;01.04.2014 0:00;01.01.2001 0:00;Менеджер по продажам;Отдел продаж LTL;09.12.2015 16:17;09.12.2015 16:17;09.12.2015 16:41;0,00;В процессе;Основы управления временем
18.09.1984 0:00;w;10.01.2008 0:00;01.01.2001 0:00;Оператор информационной базы;Отдел сопровождения перевозок LTL;09.12.2015 16:25;09.12.2015 16:25;09.12.2015 16:32;0,00;В процессе;Эффективное управление конфликтами
27.03.1990 0:00;w;21.01.2013 0:00;01.01.2001 0:00;Помощник юрисконсульта;Договорной отдел;09.12.2015 16:34;09.12.2015 16:34;09.12.2015 16:34;0,00;В процессе;Оценочный тест Microsoft PowerPoint 2010
09.09.1985 0:00;w;23.10.2014 0:00;01.01.2001 0:00;Старший оператор информационной базы;Отдел сопровождения перевозок LTL;09.12.2015 17:05;09.12.2015 17:05;08.12.2017 11:49;18,00;Завершен;Формирование и развитие команды
24.07.1984 0:00;m;24.03.2014 0:00;01.01.2001 0:00;Специалист по аналитике рынка услуг;Отдел операционного маркетинга FTL;09.12.2015 18:11;09.12.2015 18:12;09.12.2015 18:44;12,00;В процессе;Основы управления временем
08.06.1984 0:00;w;01.11.2010 0:00;01.01.2001 0:00;Специалист по аналитике рынка услуг;Отдел операционного маркетинга FTL;09.12.2015 18:29;;;0,00;Назначен;Эффективное управление конфликтами
22.07.1989 0:00;m;11.04.2012 0:00;01.01.2001 0:00;Региональный менеджер по логистике;Группа логистов АТП;09.12.2015 18:43;09.12.2015 18:44;09.12.2015 19:06;0,00;В процессе;Формирование и развитие команды
08.09.1975 0:00;m;23.05.2008 0:00;01.01.2001 0:00;Бригадир смены;Складской комплекс;09.12.2015 18:48;09.12.2015 18:49;21.08.2017 16:32;0,00;В процессе;Формирование и развитие команды
04.01.1981 0:00;w;01.10.2014 0:00;01.01.2001 0:00;Оператор информационной базы;Отдел сопровождения перевозок LTL;09.12.2015 19:11;;;0,00;Назначен;Формирование и развитие команды
09.02.1989 0:00;w;10.10.2011 0:00;01.01.2001 0:00;Старший менеджер;Отдел сопровождения банк-клиента;09.12.2015 19:41;09.12.2015 19:42;05.12.2016 20:29;0,00;В процессе;Формирование и развитие команды
21.05.1986 0:00;m;01.08.2005 0:00;01.01.2001 0:00;Директор по региональному развитию;Администрация;09.12.2015 19:51;20.02.2016 20:13;20.02.2016 21:18;12,00;В процессе;Формирование и развитие команды
21.05.1986 0:00;m;01.08.2005 0:00;01.01.2001 0:00;Директор по региональному развитию;Администрация;09.12.2015 19:52;09.12.2015 19:52;09.12.2015 20:55;0,00;В процессе;Обучающий курс Microsoft PowerPoint 2010
26.08.1988 0:00;w;01.09.2009 0:00;01.01.2001 0:00;Ведущий менеджер по работе с регионами;Группа регионального развития;09.12.2015 20:53;09.02.2017 20:01;09.02.2017 20:25;0,00;В процессе;Формирование и развитие команды
28.11.1988 0:00;w;06.04.2011 0:00;01.01.2001 0:00;Менеджер по работе с регионами;Группа регионального развития;09.12.2015 21:09;09.12.2015 21:09;10.12.2015 16:20;0,00;В процессе;Основы управления временем
30.05.1979 0:00;w;03.02.2010 0:00;01.01.2001 0:00;Директор службы;Служба документационного обеспечения;09.12.2015 22:24;09.12.2015 22:25;09.12.2015 22:32;0,00;В процессе;Основы управления временем
15.06.1988 0:00;w;25.02.2014 0:00;01.01.2001 0:00;Старший оператор информационной базы;Отдел сопровождения перевозок LTL;10.12.2015 10:29;10.12.2015 10:30;10.12.2015 10:46;0,00;В процессе;Эффективное управление конфликтами
15.06.1988 0:00;w;25.02.2014 0:00;01.01.2001 0:00;Старший оператор информационной базы;Отдел сопровождения перевозок LTL;10.12.2015 10:47;;;0,00;Назначен;Оценочный тест Microsoft PowerPoint 2010
07.01.1987 0:00;w;14.05.2014 0:00;01.01.2001 0:00;Руководитель отдела по округу;Отдел сопровождения перевозок LTL;10.12.2015 11:19;10.12.2015 11:20;17.01.2017 17:34;0,00;В процессе;Формирование и развитие команды
02.04.1985 0:00;m;26.11.2012 0:00;01.01.2001 0:00;Региональный инженер;Отдел технических систем безопасности;10.12.2015 12:50;10.12.2015 12:50;10.12.2015 13:45;17,00;В процессе;Основы управления временем
06.06.1990 0:00;m;20.05.2013 0:00;01.01.2001 0:00;Старший менеджер;Группа оперативной работы с клиентами;10.12.2015 12:51;10.12.2015 12:51;10.12.2015 14:33;21,00;В процессе;Эффективное делегирование полномочий
28.05.1990 0:00;w;16.06.2015 0:00;01.01.2001 0:00;Оператор информационной базы;Группа оперативной работы с клиентами;10.12.2015 13:14;10.12.2015 13:14;10.12.2015 13:38;0,00;В процессе;Формирование и развитие команды
02.09.1986 0:00;w;16.03.2011 0:00;01.01.2001 0:00;Специалист по сервисному обслуживанию;Группа сервисного обслуживания;10.12.2015 13:15;10.12.2015 13:15;17.01.2018 13:46;0,00;В процессе;Формирование и развитие команды
13.12.1981 0:00;m;01.12.2014 0:00;01.01.2001 0:00;Специалист по технологии и архитектуре;Отдел производительности систем;10.12.2015 13:41;10.12.2015 13:41;10.12.2015 13:50;4,00;В процессе;Основы управления временем
11.04.1976 0:00;m;02.02.2015 0:00;01.01.2001 0:00;Начальник отдела;Отдел юзабилити и дизайна;10.12.2015 13:44;10.12.2015 13:44;10.12.2015 13:45;0,00;В процессе;Формирование и развитие команды
11.05.1992 0:00;w;10.11.2015 0:00;01.01.2001 0:00;Менеджер по оценке персонала;Отдел оценки и развития;10.12.2015 13:57;10.12.2015 13:58;;0,00;Назначен;Курс ЦУП
13.12.1981 0:00;m;01.12.2014 0:00;01.01.2001 0:00;Специалист по технологии и архитектуре;Отдел производительности систем;10.12.2015 14:01;;;0,00;Назначен;Эффективное управление конфликтами
12.11.1979 0:00;w;11.07.2012 0:00;01.01.2001 0:00;Менеджер по работе с клиентами;Отдел по работе с клиентами LTL;10.12.2015 15:20;10.12.2015 15:20;10.12.2015 16:43;4,00;В процессе;Основы управления временем
26.08.1990 0:00;w;19.10.2015 0:00;01.01.2001 0:00;Менеджер по работе с клиентами;Отдел по работе с клиентами LTL;10.12.2015 18:29;10.12.2015 18:29;;0,00;Назначен;"Вводный курс. Группа компаний ""Деловые Линии"""
08.07.1977 0:00;w;14.10.2015 0:00;01.01.2001 0:00;Оператор информационной базы сменный;Группа оперативной работы с водителями;10.12.2015 18:29;10.12.2015 18:29;;0,00;Назначен;"Вводный курс. Группа компаний ""Деловые Линии"""
24.04.1988 0:00;w;13.10.2015 0:00;01.01.2001 0:00;Оператор информационной базы;Отдел сопровождения перевозок LTL;10.12.2015 18:29;10.12.2015 18:29;;0,00;Назначен;"Вводный курс. Группа компаний ""Деловые Линии"""
28.04.1987 0:00;w;20.11.2015 0:00;;Оператор информационной базы;Группа оперативной работы с клиентами;10.12.2015 18:30;10.12.2015 18:29;;0,00;Назначен;"Вводный курс. Группа компаний ""Деловые Линии"""
11.12.1986 0:00;w;19.11.2015 0:00;01.01.2001 0:00;Специалист по справочно-информационному обслуживанию;Группа обработки входящих вызовов;10.12.2015 18:43;;;0,00;Назначен;"Вводный курс. Группа компаний ""Деловые Линии"""
12.04.1981 0:00;m;22.06.2005 0:00;01.01.2001 0:00;Директор департамента;Департамент автодоставки;10.12.2015 18:52;10.12.2015 18:52;10.12.2015 18:55;0,00;В процессе;Эффективное делегирование полномочий
01.02.1979 0:00;m;27.04.2010 0:00;01.01.2001 0:00;Начальник отдела технической эксплуатации транспорта;Отдел технической эксплуатации транспорта;10.12.2015 22:59;10.12.2015 23:00;11.12.2015 12:37;0,00;В процессе;Формирование и развитие команды
24.12.1990 0:00;w;14.02.2012 0:00;01.01.2001 0:00;Старший менеджер по работе с клиентами;Отдел по работе с клиентами LTL;11.12.2015 8:54;11.12.2015 8:55;16.12.2015 15:09;18,00;Завершен;Формирование и развитие команды
19.10.1989 0:00;w;26.10.2015 0:00;01.01.2001 0:00;Менеджер по работе с претензиями;Претензионный отдел ОСП;11.12.2015 11:53;11.12.2015 11:53;11.12.2015 18:18;23,00;В процессе;Основы управления временем
14.09.1974 0:00;m;11.01.2007 0:00;01.01.2001 0:00;Руководитель складской логистики по округу;Служба складской логистики;11.12.2015 12:54;11.12.2015 12:54;15.12.2015 20:01;0,00;В процессе;Формирование и развитие команды
19.06.1977 0:00;w;10.04.2013 0:00;01.01.2001 0:00;Директор обособленного структурного подразделения;Администрация;11.12.2015 14:00;11.12.2015 17:45;11.12.2015 18:14;0,00;В процессе;Формирование и развитие команды
02.09.1993 0:00;w;24.03.2015 0:00;01.01.2001 0:00;Оператор информационной базы;Отдел сопровождения перевозок LTL;11.12.2015 14:57;11.12.2015 15:09;11.12.2015 15:14;0,00;В процессе;Формирование и развитие команды
24.10.1992 0:00;w;22.10.2015 0:00;01.01.2001 0:00;Оператор информационной базы;Отдел сопровождения перевозок LTL;11.12.2015 15:10;11.12.2015 15:10;11.12.2015 15:47;0,00;В процессе;Формирование и развитие команды
21.04.1988 0:00;m;11.08.2011 0:00;01.01.2001 0:00;Менеджер по работе с регионами;Группа регионального развития;11.12.2015 16:44;15.12.2015 14:18;15.12.2015 14:53;0,00;В процессе;Формирование и развитие команды
27.02.1985 0:00;w;25.09.2009 0:00;01.01.2001 0:00;Старший оператор информационной базы;Группа оперативной работы с клиентами;11.12.2015 16:56;11.12.2015 16:56;11.12.2015 18:16;13,00;Завершен;Формирование и развитие команды
13.07.1977 0:00;m;09.12.2015 0:00;01.01.2001 0:00;Старший группы сопровождения проектов;Группа сопровождения проектов;11.12.2015 17:22;;;0,00;Назначен;Формирование и развитие команды
13.07.1977 0:00;m;09.12.2015 0:00;01.01.2001 0:00;Старший группы сопровождения проектов;Группа сопровождения проектов;11.12.2015 17:23;11.12.2015 17:23;25.03.2016 12:31;38,00;Завершен;Основы управления временем
09.04.1985 0:00;w;10.12.2012 0:00;01.01.2001 0:00;Руководитель группы;Группа обучения FTL;11.12.2015 17:46;11.12.2015 17:46;17.12.2015 12:57;6,00;В процессе;"Вводный курс. Группа компаний ""Деловые Линии"""
29.10.1982 0:00;w;01.09.2015 0:00;01.01.2001 0:00;Менеджер по недвижимости;Служба управления недвижимостью;11.12.2015 23:23;11.12.2015 23:24;12.12.2015 0:09;0,00;В процессе;Формирование и развитие команды
26.09.1991 0:00;w;09.09.2011 0:00;01.01.2001 0:00;Старший оператор информационной базы;Отдел сопровождения перевозок LTL;14.12.2015 13:39;14.12.2015 13:39;14.12.2015 13:39;0,00;В процессе;Формирование и развитие команды
05.08.1990 0:00;w;03.09.2014 0:00;01.01.2001 0:00;Оператор информационной базы;Отдел сопровождения перевозок LTL;14.12.2015 15:34;14.12.2015 15:34;14.12.2015 16:52;10,00;В процессе;Эффективное управление конфликтами
23.02.1987 0:00;w;01.02.2013 0:00;01.01.2001 0:00;Старший оператор информационной базы;Отдел сопровождения перевозок LTL;14.12.2015 16:06;14.12.2015 16:11;16.10.2017 14:43;15,00;Завершен;Формирование и развитие команды
08.01.1983 0:00;m;19.09.2011 0:00;01.01.2001 0:00;Менеджер по логистике;Группа терминальной логистики;14.12.2015 20:13;;;0,00;Назначен;Обучающий курс Microsoft PowerPoint 2010
05.04.1986 0:00;m;02.10.2012 0:00;01.01.2001 0:00;Менеджер по работе с претензиями;Претензионный отдел ОСП;14.12.2015 20:20;02.02.2016 16:05;18.02.2016 16:01;4,00;В процессе;Основы управления временем
15.09.1989 0:00;m;31.03.2015 0:00;01.01.2001 0:00;Инженер по гарантии;Служба по работе со станциями технического обслуживания;15.12.2015 9:16;15.12.2015 9:16;15.12.2015 14:25;0,00;В процессе;Формирование и развитие команды
26.01.1991 0:00;m;12.08.2013 0:00;01.01.2001 0:00;Старший оператор видеонаблюдения;Складская группа;15.12.2015 16:08;15.12.2015 16:08;15.12.2015 16:08;0,00;В процессе;Эффективное управление конфликтами
30.04.1984 0:00;w;02.05.2015 0:00;01.01.2001 0:00;Аналитик;"Группа разработки и сопровождения ""Грузоперевозки"" и ""Контакт-центр""";15.12.2015 16:46;15.12.2015 16:46;15.12.2015 16:46;0,00;В процессе;Основы управления временем
13.05.1985 0:00;w;02.08.2012 0:00;01.01.2001 0:00;Старший менеджер по работе с клиентами;Отдел по работе с клиентами LTL;15.12.2015 17:45;15.12.2015 17:47;15.12.2015 17:55;0,00;В процессе;Формирование и развитие команды
21.12.1969 0:00;m;17.02.2014 0:00;01.01.2001 0:00;Специалист по подготовке водителей;Группа подготовки водителей;15.12.2015 18:19;15.12.2015 18:20;15.12.2015 18:41;3,00;В процессе;Основы управления временем
26.06.1986 0:00;m;22.03.2010 0:00;01.01.2001 0:00;Бригадир смены;Складской комплекс;15.12.2015 20:43;15.12.2015 20:44;15.12.2015 20:46;0,00;В процессе;Формирование и развитие команды
06.04.1976 0:00;m;01.12.2015 0:00;01.01.2001 0:00;Инженер по гарантии;Служба по работе со станциями технического обслуживания;15.12.2015 20:53;15.12.2015 20:53;15.12.2015 21:14;10,00;Завершен;Формирование и развитие команды
01.12.1983 0:00;m;27.08.2012 0:00;01.01.2001 0:00;Менеджер по работе с претензиями;Претензионный отдел ОСП;16.12.2015 15:55;16.12.2015 15:55;12.02.2018 16:32;8,00;В процессе;Эффективное управление конфликтами
11.07.1989 0:00;m;11.06.2013 0:00;01.01.2001 0:00;Старший оператор информационной базы;Отдел сопровождения перевозок LTL;16.12.2015 17:20;16.12.2015 17:20;16.12.2015 17:20;0,00;Назначен;Формирование и развитие команды
25.08.1981 0:00;w;18.11.2009 0:00;01.01.2001 0:00;Менеджер по логистике;Группа маршрутизации;16.12.2015 19:58;16.12.2015 19:59;16.12.2015 19:59;0,00;Назначен;Основы управления временем
29.04.1986 0:00;w;23.08.2010 0:00;01.01.2001 0:00;Старший менеджер по работе с клиентами;Отдел по работе с клиентами LTL;16.12.2015 20:46;16.12.2015 20:46;23.12.2015 12:39;15,00;В процессе;Основы управления временем
02.11.1985 0:00;w;05.08.2014 0:00;01.01.2001 0:00;Специалист по справочно-информационному обслуживанию;Группа обработки входящих вызовов;17.12.2015 12:25;17.12.2015 12:31;23.12.2015 18:19;25,00;В процессе;Эффективное управление конфликтами
23.03.1991 0:00;m;27.03.2012 0:00;01.01.2001 0:00;Менеджер по работе с клиентами;Группа сервисного обслуживания;17.12.2015 14:47;17.12.2015 15:09;17.12.2015 16:48;0,00;В процессе;Формирование и развитие команды
19.10.1989 0:00;w;26.10.2015 0:00;01.01.2001 0:00;Менеджер по работе с претензиями;Претензионный отдел ОСП;17.12.2015 14:51;17.12.2015 14:51;18.12.2015 16:37;30,00;В процессе;Эффективное управление конфликтами
03.07.1983 0:00;m;09.02.2007 0:00;01.01.2001 0:00;Начальник склада;Складской комплекс;17.12.2015 16:22;17.12.2015 16:22;21.03.2016 19:04;0,00;В процессе;Формирование и развитие команды
05.02.1987 0:00;m;11.03.2013 0:00;01.01.2001 0:00;Начальник склада;Складской комплекс;17.12.2015 19:23;17.12.2015 19:23;17.12.2015 21:06;16,00;Завершен;Формирование и развитие команды
19.06.1981 0:00;m;19.10.2015 0:00;01.01.2001 0:00;Менеджер программных продуктов;Группа разработки мобильных приложений;17.12.2015 22:38;;;0,00;Назначен;Основы управления временем
09.10.1987 0:00;m;25.05.2009 0:00;01.01.2001 0:00;Бригадир смены;Складской комплекс;17.12.2015 22:54;17.12.2015 22:54;17.12.2015 23:06;0,00;В процессе;Формирование и развитие команды
22.06.1984 0:00;m;13.06.2017 0:00;01.01.2001 0:00;Начальник склада;Складской комплекс;18.12.2015 10:40;18.12.2015 10:41;18.12.2015 10:55;0,00;В процессе;Основы управления временем
22.07.1991 0:00;w;11.10.2013 0:00;01.01.2001 0:00;Кассир-операционист;Отдел сопровождения перевозок LTL;19.12.2015 11:29;19.12.2015 11:29;19.12.2015 16:53;0,00;В процессе;Эффективное управление конфликтами
16.09.1987 0:00;m;19.11.2010 0:00;01.01.2001 0:00;Бригадир смены;Складской комплекс;19.12.2015 16:08;19.12.2015 16:08;14.02.2016 17:53;33,00;В процессе;Эффективное управление конфликтами
20.06.1980 0:00;w;21.12.2005 0:00;01.01.2001 0:00;Руководитель группы;Контрольно-ревизионная группа;20.12.2015 17:38;20.12.2015 17:38;20.12.2015 17:49;0,00;В процессе;Формирование и развитие команды
17.10.1991 0:00;w;21.03.2014 0:00;01.01.2001 0:00;Офис-менеджер;Служба информационного обслуживания;21.12.2015 14:19;21.12.2015 14:19;21.12.2015 20:43;28,00;Завершен;Основы управления временем
27.11.1984 0:00;w;02.07.2013 0:00;01.01.2001 0:00;Ведущий специалист по справочно-информационному обслуживанию;Группа оформления претензий;21.12.2015 19:05;21.12.2015 19:05;20.04.2017 18:49;15,00;В процессе;Формирование и развитие команды
06.11.1973 0:00;w;20.06.2012 0:00;01.01.2001 0:00;Специалист по справочно-информационному обслуживанию;Группа обработки входящих вызовов;22.12.2015 11:16;22.12.2015 11:16;02.02.2018 16:01;0,00;В процессе;Эффективное управление конфликтами
06.09.1988 0:00;m;12.11.2012 0:00;01.01.2001 0:00;Менеджер по развитию;Группа развития LTL;22.12.2015 13:12;22.12.2015 13:13;;0,00;Назначен;Обучающий курс Microsoft PowerPoint 2010
17.04.1977 0:00;w;24.11.2010 0:00;01.01.2001 0:00;Оператор информационной базы;Отдел сопровождения перевозок FTL;22.12.2015 18:06;22.12.2015 18:06;22.12.2015 18:07;0,00;В процессе;Формирование и развитие команды
17.04.1977 0:00;w;24.11.2010 0:00;01.01.2001 0:00;Оператор информационной базы;Отдел сопровождения перевозок FTL;22.12.2015 18:08;22.12.2015 18:08;;0,00;Назначен;Обучающий курс Microsoft PowerPoint 2010
07.04.1988 0:00;w;25.08.2010 0:00;01.01.2001 0:00;Ведущий специалист по справочно-информационному обслуживанию;Группа круглосуточного обслуживания;23.12.2015 12:23;23.12.2015 12:24;31.12.2015 14:16;0,00;В процессе;Формирование и развитие команды
29.05.1984 0:00;m;25.08.2014 0:00;01.01.2001 0:00;Юрисконсульт;Договорной отдел;24.12.2015 18:00;24.12.2015 18:01;18.01.2018 13:59;15,00;В процессе;Формирование и развитие команды
08.01.1988 0:00;m;18.09.2007 0:00;01.01.2001 0:00;Менеджер по работе с претензиями;Претензионный отдел ОСП;24.12.2015 18:40;15.01.2016 17:51;15.01.2016 18:06;0,00;В процессе;Обучающий курс Microsoft PowerPoint 2010
03.05.1988 0:00;w;23.09.2011 0:00;01.01.2001 0:00;Старший менеджер по информационной поддержке;Отдел информационной поддержки;24.12.2015 19:08;24.12.2015 19:08;;0,00;Назначен;"Вводный курс. Группа компаний ""Деловые Линии"""
07.07.1989 0:00;w;12.03.2012 0:00;01.01.2001 0:00;Менеджер по информационной поддержке;Отдел информационной поддержки;24.12.2015 19:08;24.12.2015 19:08;28.11.2016 18:00;0,00;В процессе;"Вводный курс. Группа компаний ""Деловые Линии"" (Архив)"
20.12.1990 0:00;m;13.10.2014 0:00;01.01.2001 0:00;Менеджер по качеству;Отдел менеджмента качества;24.12.2015 21:24;28.12.2015 3:00;;0,00;Назначен;Основы управления временем
28.12.1993 0:00;w;04.08.2015 0:00;01.01.2001 0:00;Оператор информационной базы;Отдел сопровождения перевозок LTL;25.12.2015 14:40;13.01.2016 12:31;13.01.2016 15:14;6,00;В процессе;Эффективное делегирование полномочий
08.10.1987 0:00;w;14.11.2011 0:00;01.01.2001 0:00;Оператор информационной базы;Отдел сопровождения перевозок LTL;30.12.2015 20:57;30.12.2015 20:57;12.01.2016 18:31;0,00;В процессе;Основы управления временем
27.06.1972 0:00;m;21.02.2012 0:00;01.01.2001 0:00;Ведущий инженер по эксплуатации транспорта;Группа технического контроля на СТО;31.12.2015 13:50;11.01.2016 3:00;21.01.2016 12:49;0,00;В процессе;Формирование и развитие команды
27.06.1972 0:00;m;21.02.2012 0:00;01.01.2001 0:00;Ведущий инженер по эксплуатации транспорта;Группа технического контроля на СТО;31.12.2015 13:50;11.01.2016 3:00;18.01.2016 22:01;46,00;Завершен;Эффективное делегирование полномочий
27.06.1972 0:00;m;21.02.2012 0:00;01.01.2001 0:00;Ведущий инженер по эксплуатации транспорта;Группа технического контроля на СТО;31.12.2015 13:50;11.01.2016 3:00;15.01.2016 13:05;31,00;Завершен;Основы управления временем
22.07.1978 0:00;m;19.04.2010 0:00;01.01.2001 0:00;Ведущий инженер по эксплуатации транспорта;Группа круглосуточной технической поддержки;31.12.2015 13:51;11.01.2016 3:00;;0,00;Назначен;Эффективное управление конфликтами
22.07.1978 0:00;m;19.04.2010 0:00;01.01.2001 0:00;Ведущий инженер по эксплуатации транспорта;Группа круглосуточной технической поддержки;31.12.2015 13:51;11.01.2016 3:00;;0,00;Назначен;Эффективное делегирование полномочий
06.04.1985 0:00;m;01.07.2015 0:00;01.01.2001 0:00;Инженер по гарантии;Отдел технической эксплуатации транспорта;31.12.2015 13:56;11.01.2016 3:00;;0,00;Назначен;Эффективное управление конфликтами
06.04.1985 0:00;m;01.07.2015 0:00;01.01.2001 0:00;Инженер по гарантии;Отдел технической эксплуатации транспорта;31.12.2015 13:56;11.01.2016 3:00;;0,00;Назначен;Основы управления временем
22.07.1978 0:00;m;19.04.2010 0:00;01.01.2001 0:00;Ведущий инженер по эксплуатации транспорта;Группа круглосуточной технической поддержки;31.12.2015 14:03;31.12.2015 14:03;31.12.2015 16:32;0,00;В процессе;Основы управления временем
27.01.1983 0:00;w;05.07.2013 0:00;01.01.2001 0:00;Специалист по справочно-информационному обслуживанию;Группа оформления заявок;13.01.2016 12:43;13.01.2016 12:43;13.01.2016 12:43;0,00;Назначен;Эффективное управление конфликтами
20.01.1988 0:00;w;03.09.2013 0:00;01.01.2001 0:00;Старший оператор информационной базы;Отдел сопровождения перевозок LTL;13.01.2016 13:02;27.01.2016 21:02;19.05.2016 13:52;15,00;Завершен;Формирование и развитие команды
21.06.1991 0:00;w;12.10.2015 0:00;01.01.2001 0:00;Оператор информационной базы;Отдел сопровождения перевозок LTL;26.01.2016 16:07;26.01.2016 16:08;27.01.2016 16:31;0,00;В процессе;Формирование и развитие команды
11.09.1990 0:00;w;23.03.2015 0:00;01.01.2001 0:00;Кассир-операционист;Отдел сопровождения перевозок LTL;27.01.2016 14:11;27.01.2016 14:11;27.01.2016 14:39;0,00;В процессе;Формирование и развитие команды
