city,year,weekofyear,total_cases
sj,1993,3,33
sj,1993,4,33
sj,1993,5,35
sj,1993,6,22
sj,1993,7,13
sj,1993,8,13
sj,1993,9,21
sj,1993,10,17
sj,1993,11,11
sj,1993,12,8
sj,1993,13,8
sj,1993,14,6
sj,1993,15,6
sj,1993,16,7
sj,1993,17,12
sj,1993,18,17
sj,1993,19,10
sj,1993,20,10
sj,1993,21,18
sj,1993,22,19
sj,1993,23,12
sj,1993,24,22
sj,1993,25,12
sj,1993,26,21
sj,1993,27,18
sj,1993,28,16
sj,1993,29,16
sj,1993,30,22
sj,1993,31,17
sj,1993,32,25
sj,1993,33,23
sj,1993,34,12
sj,1993,35,25
sj,1993,36,28
sj,1993,37,27
sj,1993,38,18
sj,1993,39,23
sj,1993,40,23
sj,1993,41,29
sj,1993,42,38
sj,1993,43,36
sj,1993,44,43
sj,1993,45,46
sj,1993,46,31
sj,1993,47,25
sj,1993,48,40
sj,1993,49,31
sj,1993,50,38
sj,1993,51,30
sj,1994,52,22
sj,1994,1,31
sj,1994,2,26
sj,1994,3,35
sj,1994,4,36
sj,1994,5,39
sj,1994,6,25
sj,1994,7,31
sj,1994,8,37
sj,1994,9,33
sj,1994,10,25
sj,1994,11,24
sj,1994,12,18
sj,1994,13,23
sj,1994,14,13
sj,1994,15,18
sj,1994,16,14
sj,1994,17,17
sj,1994,18,22
sj,1994,19,13
sj,1994,20,24
sj,1994,21,31
sj,1994,22,34
sj,1994,23,31
sj,1994,24,31
sj,1994,25,38
sj,1994,26,49
sj,1994,27,42
sj,1994,28,49
sj,1994,29,55
sj,1994,30,80
sj,1994,31,84
sj,1994,32,72
sj,1994,33,89
sj,1994,34,115
sj,1994,35,179
sj,1994,36,202
sj,1994,37,272
sj,1994,38,302
sj,1994,39,395
sj,1994,40,426
sj,1994,41,461
sj,1994,42,381
sj,1994,43,333
sj,1994,44,353
sj,1994,45,410
sj,1994,46,364
sj,1994,47,359
sj,1994,48,288
sj,1994,49,221
sj,1994,50,149
sj,1994,51,112
sj,1995,52,154
sj,1995,1,91
sj,1995,2,72
sj,1995,3,56
sj,1995,4,46
sj,1995,5,37
sj,1995,6,26
sj,1995,7,17
sj,1995,8,17
sj,1995,9,20
sj,1995,10,11
sj,1995,11,7
sj,1995,12,16
sj,1995,13,14
sj,1995,14,16
sj,1995,15,5
sj,1995,16,2
sj,1995,17,6
sj,1995,18,5
sj,1995,19,4
sj,1995,20,3
sj,1995,21,4
sj,1995,22,16
sj,1995,23,8
sj,1995,24,7
sj,1995,25,10
sj,1995,26,14
sj,1995,27,7
sj,1995,28,9
sj,1995,29,11
sj,1995,30,23
sj,1995,31,17
sj,1995,32,19
sj,1995,33,24
sj,1995,34,17
sj,1995,35,28
sj,1995,36,40
sj,1995,37,33
sj,1995,38,31
sj,1995,39,33
sj,1995,40,29
sj,1995,41,30
sj,1995,42,36
sj,1995,43,48
sj,1995,44,40
sj,1995,45,28
sj,1995,46,36
sj,1995,47,19
sj,1995,48,34
sj,1995,49,23
sj,1995,50,17
sj,1995,51,17
sj,1996,1,23
sj,1996,2,14
sj,1996,3,20
sj,1996,4,13
sj,1996,5,23
sj,1996,6,20
sj,1996,7,16
sj,1996,8,16
sj,1996,9,23
sj,1996,10,14
sj,1996,11,15
sj,1996,12,4
sj,1996,13,5
sj,1996,14,5
sj,1996,15,11
sj,1996,16,11
sj,1996,17,7
sj,1996,18,4
sj,1996,19,6
sj,1996,20,5
sj,1996,21,2
sj,1996,22,4
sj,1996,23,2
sj,1996,24,4
sj,1996,25,6
sj,1996,26,6
sj,1996,27,4
sj,1996,28,6
sj,1996,29,11
sj,1996,30,16
sj,1996,31,9
sj,1996,32,12
sj,1996,33,13
sj,1996,34,27
sj,1996,35,21
sj,1996,36,19
sj,1996,37,17
sj,1996,38,24
sj,1996,39,27
sj,1996,40,30
sj,1996,41,29
sj,1996,42,25
sj,1996,43,35
sj,1996,44,33
sj,1996,45,30
sj,1996,46,29
sj,1996,47,31
sj,1996,48,29
sj,1996,49,22
sj,1996,50,27
sj,1996,51,24
sj,1996,52,26
sj,1997,1,29
sj,1997,2,22
sj,1997,3,33
sj,1997,4,24
sj,1997,5,30
sj,1997,6,20
sj,1997,7,17
sj,1997,8,24
sj,1997,9,28
sj,1997,10,18
sj,1997,11,13
sj,1997,12,9
sj,1997,13,14
sj,1997,14,11
sj,1997,15,11
sj,1997,16,19
sj,1997,17,10
sj,1997,18,8
sj,1997,19,8
sj,1997,20,9
sj,1997,21,3
sj,1997,22,7
sj,1997,23,14
sj,1997,24,4
sj,1997,25,9
sj,1997,26,14
sj,1997,27,7
sj,1997,28,9
sj,1997,29,3
sj,1997,30,3
sj,1997,31,14
sj,1997,32,12
sj,1997,33,10
sj,1997,34,21
sj,1997,35,26
sj,1997,36,47
sj,1997,37,42
sj,1997,38,31
sj,1997,39,34
sj,1997,40,33
sj,1997,41,52
sj,1997,42,56
sj,1997,43,70
sj,1997,44,112
sj,1997,45,70
sj,1997,46,47
sj,1997,47,48
sj,1997,48,49
sj,1997,49,66
sj,1997,50,56
sj,1997,51,61
sj,1997,52,67
sj,1998,1,64
sj,1998,2,68
sj,1998,3,49
sj,1998,4,50
sj,1998,5,56
sj,1998,6,75
sj,1998,7,63
sj,1998,8,62
sj,1998,9,41
sj,1998,10,50
sj,1998,11,34
sj,1998,12,31
sj,1998,13,38
sj,1998,14,30
sj,1998,15,32
sj,1998,16,26
sj,1998,17,30
sj,1998,18,36
sj,1998,19,35
sj,1998,20,46
sj,1998,21,48
sj,1998,22,44
sj,1998,23,51
sj,1998,24,59
sj,1998,25,71
sj,1998,26,102
sj,1998,27,128
sj,1998,28,127
sj,1998,29,150
sj,1998,30,191
sj,1998,31,256
sj,1998,32,329
sj,1998,33,263
sj,1998,34,220
sj,1998,35,204
sj,1998,36,181
sj,1998,37,99
sj,1998,38,54
sj,1998,39,80
sj,1998,40,102
sj,1998,41,127
sj,1998,42,73
sj,1998,43,68
sj,1998,44,64
sj,1998,45,55
sj,1998,46,67
sj,1998,47,84
sj,1998,48,85
sj,1998,49,67
sj,1998,50,73
sj,1998,51,89
sj,1998,52,68
sj,1999,53,59
sj,1999,1,56
sj,1999,2,77
sj,1999,3,75
sj,1999,4,47
sj,1999,5,50
sj,1999,6,42
sj,1999,7,28
sj,1999,8,37
sj,1999,9,37
sj,1999,10,27
sj,1999,11,12
sj,1999,12,15
sj,1999,13,22
sj,1999,14,8
sj,1999,15,15
sj,1999,16,17
sj,1999,17,10
sj,1999,18,9
sj,1999,19,11
sj,1999,20,20
sj,1999,21,13
sj,1999,22,11
sj,1999,23,16
sj,1999,24,11
sj,1999,25,7
sj,1999,26,17
sj,1999,27,14
sj,1999,28,13
sj,1999,29,15
sj,1999,30,30
sj,1999,31,25
sj,1999,32,40
sj,1999,33,44
sj,1999,34,25
sj,1999,35,21
sj,1999,36,48
sj,1999,37,56
sj,1999,38,60
sj,1999,39,45
sj,1999,40,55
sj,1999,41,32
sj,1999,42,46
sj,1999,43,61
sj,1999,44,42
sj,1999,45,37
sj,1999,46,43
sj,1999,47,34
sj,1999,48,40
sj,1999,49,25
sj,1999,50,16
sj,1999,51,17
sj,2000,52,17
sj,2000,1,16
sj,2000,2,23
sj,2000,3,18
sj,2000,4,18
sj,2000,5,9
sj,2000,6,7
sj,2000,7,7
sj,2000,8,4
sj,2000,9,3
sj,2000,10,2
sj,2000,11,8
sj,2000,12,3
sj,2000,13,1
sj,2000,14,1
sj,2000,15,2
sj,2000,16,3
sj,2000,17,3
sj,2000,18,2
sj,2000,19,0
sj,2000,20,0
sj,2000,21,2
sj,2000,22,2
sj,2000,23,0
sj,2000,24,6
sj,2000,25,3
sj,2000,26,6
sj,2000,27,2
sj,2000,28,3
sj,2000,29,2
sj,2000,30,4
sj,2000,31,5
sj,2000,32,2
sj,2000,33,9
sj,2000,34,2
sj,2000,35,4
sj,2000,36,8
sj,2000,37,6
sj,2000,38,3
sj,2000,39,11
sj,2000,40,14
sj,2000,41,15
sj,2000,42,20
sj,2000,43,9
sj,2000,44,20
sj,2000,45,28
sj,2000,46,38
sj,2000,47,30
sj,2000,48,30
sj,2000,49,23
sj,2000,50,16
sj,2000,51,22
sj,2001,1,28
sj,2001,2,14
sj,2001,3,17
sj,2001,4,20
sj,2001,5,17
sj,2001,6,10
sj,2001,7,13
sj,2001,8,20
sj,2001,9,9
sj,2001,10,18
sj,2001,11,9
sj,2001,12,8
sj,2001,13,19
sj,2001,14,11
sj,2001,15,4
sj,2001,16,6
sj,2001,17,6
sj,2001,18,8
sj,2001,19,13
sj,2001,20,8
sj,2001,21,8
sj,2001,22,5
sj,2001,23,16
sj,2001,24,12
sj,2001,25,11
sj,2001,26,18
sj,2001,27,10
sj,2001,28,22
sj,2001,29,14
sj,2001,30,16
sj,2001,31,18
sj,2001,32,27
sj,2001,33,38
sj,2001,34,35
sj,2001,35,41
sj,2001,36,51
sj,2001,37,65
sj,2001,38,55
sj,2001,39,54
sj,2001,40,62
sj,2001,41,64
sj,2001,42,56
sj,2001,43,65
sj,2001,44,71
sj,2001,45,75
sj,2001,46,71
sj,2001,47,72
sj,2001,48,47
sj,2001,49,27
sj,2001,50,35
sj,2001,51,25
sj,2001,52,19
sj,2002,1,37
sj,2002,2,38
sj,2002,3,34
sj,2002,4,26
sj,2002,5,19
sj,2002,6,18
sj,2002,7,22
sj,2002,8,16
sj,2002,9,18
sj,2002,10,6
sj,2002,11,12
sj,2002,12,6
sj,2002,13,6
sj,2002,14,3
sj,2002,15,7
sj,2002,16,6
sj,2002,17,1
sj,2002,18,3
sj,2002,19,2
sj,2002,20,2
sj,2002,21,1
sj,2002,22,10
sj,2002,23,3
sj,2002,24,3
sj,2002,25,1
sj,2002,26,1
sj,2002,27,2
sj,2002,28,6
sj,2002,29,3
sj,2002,30,3
sj,2002,31,5
sj,2002,32,4
sj,2002,33,7
sj,2002,34,6
sj,2002,35,5
sj,2002,36,7
sj,2002,37,6
sj,2002,38,4
sj,2002,39,4
sj,2002,40,7
sj,2002,41,9
sj,2002,42,5
sj,2002,43,5
sj,2002,44,10
sj,2002,45,6
sj,2002,46,13
sj,2002,47,6
sj,2002,48,5
sj,2002,49,5
sj,2002,50,9
sj,2002,51,3
sj,2002,52,6
sj,2003,1,11
sj,2003,2,7
sj,2003,3,7
sj,2003,4,15
sj,2003,5,9
sj,2003,6,6
sj,2003,7,6
sj,2003,8,6
sj,2003,9,7
sj,2003,10,10
sj,2003,11,8
sj,2003,12,7
sj,2003,13,12
sj,2003,14,3
sj,2003,15,2
sj,2003,16,7
sj,2003,17,5
sj,2003,18,5
sj,2003,19,7
sj,2003,20,7
sj,2003,21,7
sj,2003,22,7
sj,2003,23,10
sj,2003,24,13
sj,2003,25,10
sj,2003,26,14
sj,2003,27,11
sj,2003,28,20
sj,2003,29,25
sj,2003,30,17
sj,2003,31,18
sj,2003,32,25
sj,2003,33,21
sj,2003,34,31
sj,2003,35,32
sj,2003,36,26
sj,2003,37,35
sj,2003,38,28
sj,2003,39,37
sj,2003,40,41
sj,2003,41,34
sj,2003,42,30
sj,2003,43,39
sj,2003,44,39
sj,2003,45,39
sj,2003,46,34
sj,2003,47,30
sj,2003,48,37
sj,2003,49,29
sj,2003,50,26
sj,2003,51,15
sj,2003,52,22
sj,2004,1,15
sj,2004,2,20
sj,2004,3,14
sj,2004,4,10
sj,2004,5,21
sj,2004,6,14
sj,2004,7,14
sj,2004,8,9
sj,2004,9,11
sj,2004,10,5
sj,2004,11,6
sj,2004,12,7
sj,2004,13,11
sj,2004,14,4
sj,2004,15,3
sj,2004,16,2
sj,2004,17,6
sj,2004,18,10
sj,2004,19,7
sj,2004,20,5
sj,2004,21,3
sj,2004,22,12
sj,2004,23,13
sj,2004,24,10
sj,2004,25,13
sj,2004,26,13
sj,2004,27,8
sj,2004,28,21
sj,2004,29,18
sj,2004,30,8
sj,2004,31,7
sj,2004,32,20
sj,2004,33,14
sj,2004,34,14
sj,2004,35,7
sj,2004,36,14
sj,2004,37,10
sj,2004,38,13
sj,2004,39,27
sj,2004,40,13
sj,2004,41,18
sj,2004,42,16
sj,2004,43,16
sj,2004,44,20
sj,2004,45,17
sj,2004,46,4
sj,2004,47,15
sj,2004,48,8
sj,2004,49,6
sj,2004,50,12
sj,2004,51,15
sj,2004,52,11
sj,2005,53,10
sj,2005,1,15
sj,2005,2,17
sj,2005,3,7
sj,2005,4,7
sj,2005,5,8
sj,2005,6,9
sj,2005,7,12
sj,2005,8,12
sj,2005,9,5
sj,2005,10,4
sj,2005,11,11
sj,2005,12,4
sj,2005,13,5
sj,2005,14,7
sj,2005,15,1
sj,2005,16,1
sj,2005,17,4
sj,2005,18,2
sj,2005,19,6
sj,2005,20,3
sj,2005,21,4
sj,2005,22,10
sj,2005,23,12
sj,2005,24,21
sj,2005,25,26
sj,2005,26,21
sj,2005,27,30
sj,2005,28,45
sj,2005,29,56
sj,2005,30,75
sj,2005,31,83
sj,2005,32,82
sj,2005,33,126
sj,2005,34,119
sj,2005,35,137
sj,2005,36,131
sj,2005,37,112
sj,2005,38,82
sj,2005,39,73
sj,2005,40,43
sj,2005,41,55
sj,2005,42,55
sj,2005,43,53
sj,2005,44,46
sj,2005,45,43
sj,2005,46,29
sj,2005,47,22
sj,2005,48,26
sj,2005,49,13
sj,2005,50,17
sj,2005,51,8
sj,2006,52,13
sj,2006,1,10
sj,2006,2,17
sj,2006,3,19
sj,2006,4,9
sj,2006,5,9
sj,2006,6,9
sj,2006,7,3
sj,2006,8,7
sj,2006,9,7
sj,2006,10,0
sj,2006,11,2
sj,2006,12,3
sj,2006,13,3
sj,2006,14,1
sj,2006,15,3
sj,2006,16,3
sj,2006,17,3
sj,2006,18,7
sj,2006,19,3
sj,2006,20,5
sj,2006,21,11
sj,2006,22,5
sj,2006,23,5
sj,2006,24,6
sj,2006,25,6
sj,2006,26,4
sj,2006,27,4
sj,2006,28,8
sj,2006,29,14
sj,2006,30,12
sj,2006,31,16
sj,2006,32,10
sj,2006,33,16
sj,2006,34,18
sj,2006,35,15
sj,2006,36,23
sj,2006,37,17
sj,2006,38,33
sj,2006,39,15
sj,2006,40,13
sj,2006,41,11
sj,2006,42,14
sj,2006,43,17
sj,2006,44,19
sj,2006,45,20
sj,2006,46,12
sj,2006,47,21
sj,2006,48,7
sj,2006,49,19
sj,2006,50,10
sj,2006,51,13
sj,2007,1,10
sj,2007,2,8
sj,2007,3,21
sj,2007,4,11
sj,2007,5,9
sj,2007,6,14
sj,2007,7,14
sj,2007,8,15
sj,2007,9,18
sj,2007,10,16
sj,2007,11,12
sj,2007,12,20
sj,2007,13,8
sj,2007,14,3
sj,2007,15,13
sj,2007,16,4
sj,2007,17,1
sj,2007,18,10
sj,2007,19,8
sj,2007,20,13
sj,2007,21,10
sj,2007,22,21
sj,2007,23,18
sj,2007,24,21
sj,2007,25,34
sj,2007,26,25
sj,2007,27,34
sj,2007,28,33
sj,2007,29,40
sj,2007,30,42
sj,2007,31,36
sj,2007,32,72
sj,2007,33,75
sj,2007,34,76
sj,2007,35,92
sj,2007,36,71
sj,2007,37,112
sj,2007,38,106
sj,2007,39,101
sj,2007,40,170
sj,2007,41,135
sj,2007,42,106
sj,2007,43,68
sj,2007,44,48
sj,2007,45,48
sj,2007,46,26
sj,2007,47,33
sj,2007,48,29
sj,2007,49,17
sj,2007,50,12
sj,2007,51,13
sj,2007,52,17
sj,2008,1,15
sj,2008,2,14
sj,2008,3,15
sj,2008,4,10
sj,2008,5,9
sj,2008,6,2
sj,2008,7,6
sj,2008,8,8
sj,2008,9,5
sj,2008,10,1
sj,2008,11,2
sj,2008,12,3
sj,2008,13,4
sj,2008,14,3
sj,2008,15,1
sj,2008,16,3
sj,2008,17,5
iq,2000,26,0
iq,2000,27,0
iq,2000,28,0
iq,2000,29,0
iq,2000,30,0
iq,2000,31,0
iq,2000,32,0
iq,2000,33,0
iq,2000,34,0
iq,2000,35,0
iq,2000,36,1
iq,2000,37,0
iq,2000,38,0
iq,2000,39,0
iq,2000,40,0
iq,2000,41,1
iq,2000,42,1
iq,2000,43,0
iq,2000,44,0
iq,2000,45,0
iq,2000,46,0
iq,2000,47,0
iq,2000,48,0
iq,2000,49,0
iq,2000,50,1
iq,2000,51,0
iq,2001,1,0
iq,2001,2,0
iq,2001,3,0
iq,2001,4,0
iq,2001,5,0
iq,2001,6,0
iq,2001,7,0
iq,2001,8,0
iq,2001,9,0
iq,2001,10,0
iq,2001,11,0
iq,2001,12,0
iq,2001,13,0
iq,2001,14,0
iq,2001,15,0
iq,2001,16,1
iq,2001,17,0
iq,2001,18,0
iq,2001,19,0
iq,2001,20,0
iq,2001,21,1
iq,2001,22,1
iq,2001,23,0
iq,2001,24,0
iq,2001,25,1
iq,2001,26,0
iq,2001,27,0
iq,2001,28,0
iq,2001,29,0
iq,2001,30,0
iq,2001,31,0
iq,2001,32,0
iq,2001,33,0
iq,2001,34,0
iq,2001,35,0
iq,2001,36,0
iq,2001,37,0
iq,2001,38,0
iq,2001,39,0
iq,2001,40,0
iq,2001,41,0
iq,2001,42,0
iq,2001,43,0
iq,2001,44,0
iq,2001,45,0
iq,2001,46,0
iq,2001,47,1
iq,2001,48,1
iq,2001,49,1
iq,2001,50,2
iq,2001,51,4
iq,2001,52,1
iq,2002,1,4
iq,2002,2,11
iq,2002,3,16
iq,2002,4,23
iq,2002,5,12
iq,2002,6,14
iq,2002,7,18
iq,2002,8,8
iq,2002,9,7
iq,2002,10,10
iq,2002,11,7
iq,2002,12,10
iq,2002,13,5
iq,2002,14,11
iq,2002,15,8
iq,2002,16,18
iq,2002,17,13
iq,2002,18,9
iq,2002,19,22
iq,2002,20,10
iq,2002,21,5
iq,2002,22,13
iq,2002,23,2
iq,2002,24,11
iq,2002,25,11
iq,2002,26,3
iq,2002,27,7
iq,2002,28,7
iq,2002,29,4
iq,2002,30,5
iq,2002,31,6
iq,2002,32,7
iq,2002,33,7
iq,2002,34,4
iq,2002,35,9
iq,2002,36,17
iq,2002,37,8
iq,2002,38,22
iq,2002,39,18
iq,2002,40,21
iq,2002,41,16
iq,2002,42,31
iq,2002,43,25
iq,2002,44,28
iq,2002,45,26
iq,2002,46,18
iq,2002,47,27
iq,2002,48,11
iq,2002,49,38
iq,2002,50,29
iq,2002,51,21
iq,2002,52,11
iq,2003,1,10
iq,2003,2,5
iq,2003,3,6
iq,2003,4,2
iq,2003,5,1
iq,2003,6,2
iq,2003,7,2
iq,2003,8,3
iq,2003,9,5
iq,2003,10,1
iq,2003,11,4
iq,2003,12,2
iq,2003,13,4
iq,2003,14,0
iq,2003,15,0
iq,2003,16,0
iq,2003,17,0
iq,2003,18,1
iq,2003,19,1
iq,2003,20,1
iq,2003,21,1
iq,2003,22,1
iq,2003,23,2
iq,2003,24,3
iq,2003,25,4
iq,2003,26,6
iq,2003,27,2
iq,2003,28,2
iq,2003,29,5
iq,2003,30,1
iq,2003,31,1
iq,2003,32,0
iq,2003,33,0
iq,2003,34,0
iq,2003,35,0
iq,2003,36,2
iq,2003,37,0
iq,2003,38,3
iq,2003,39,0
iq,2003,40,0
iq,2003,41,0
iq,2003,42,2
iq,2003,43,2
iq,2003,44,3
iq,2003,45,3
iq,2003,46,3
iq,2003,47,1
iq,2003,48,2
iq,2003,49,3
iq,2003,50,6
iq,2003,51,5
iq,2003,52,1
iq,2004,1,4
iq,2004,2,5
iq,2004,3,8
iq,2004,4,5
iq,2004,5,2
iq,2004,6,3
iq,2004,7,3
iq,2004,8,1
iq,2004,9,6
iq,2004,10,4
iq,2004,11,1
iq,2004,12,2
iq,2004,13,3
iq,2004,14,1
iq,2004,15,8
iq,2004,16,4
iq,2004,17,6
iq,2004,18,7
iq,2004,19,5
iq,2004,20,8
iq,2004,21,6
iq,2004,22,5
iq,2004,23,6
iq,2004,24,6
iq,2004,25,13
iq,2004,26,2
iq,2004,27,10
iq,2004,28,3
iq,2004,29,12
iq,2004,30,7
iq,2004,31,6
iq,2004,32,5
iq,2004,33,6
iq,2004,34,6
iq,2004,35,6
iq,2004,36,8
iq,2004,37,6
iq,2004,38,9
iq,2004,39,12
iq,2004,40,19
iq,2004,41,8
iq,2004,42,16
iq,2004,43,21
iq,2004,44,6
iq,2004,45,22
iq,2004,46,37
iq,2004,47,33
iq,2004,48,18
iq,2004,49,83
iq,2004,50,116
iq,2004,51,32
iq,2004,52,7
iq,2005,53,9
iq,2005,1,10
iq,2005,2,5
iq,2005,3,8
iq,2005,4,7
iq,2005,5,8
iq,2005,6,11
iq,2005,7,6
iq,2005,8,7
iq,2005,9,7
iq,2005,10,14
iq,2005,11,7
iq,2005,12,9
iq,2005,13,13
iq,2005,14,16
iq,2005,15,7
iq,2005,16,9
iq,2005,17,2
iq,2005,18,13
iq,2005,19,8
iq,2005,20,3
iq,2005,21,5
iq,2005,22,4
iq,2005,23,8
iq,2005,24,2
iq,2005,25,3
iq,2005,26,5
iq,2005,27,7
iq,2005,28,3
iq,2005,29,5
iq,2005,30,6
iq,2005,31,5
iq,2005,32,5
iq,2005,33,4
iq,2005,34,0
iq,2005,35,0
iq,2005,36,0
iq,2005,37,0
iq,2005,38,0
iq,2005,39,2
iq,2005,40,4
iq,2005,41,4
iq,2005,42,3
iq,2005,43,3
iq,2005,44,5
iq,2005,45,6
iq,2005,46,14
iq,2005,47,3
iq,2005,48,7
iq,2005,49,11
iq,2005,50,2
iq,2005,51,6
iq,2006,52,8
iq,2006,1,25
iq,2006,2,21
iq,2006,3,10
iq,2006,4,28
iq,2006,5,39
iq,2006,6,20
iq,2006,7,24
iq,2006,8,28
iq,2006,9,26
iq,2006,10,8
iq,2006,11,9
iq,2006,12,12
iq,2006,13,18
iq,2006,14,9
iq,2006,15,9
iq,2006,16,6
iq,2006,17,6
iq,2006,18,8
iq,2006,19,5
iq,2006,20,7
iq,2006,21,6
iq,2006,22,5
iq,2006,23,3
iq,2006,24,1
iq,2006,25,0
iq,2006,26,1
iq,2006,27,2
iq,2006,28,3
iq,2006,29,2
iq,2006,30,2
iq,2006,31,2
iq,2006,32,2
iq,2006,33,2
iq,2006,34,4
iq,2006,35,0
iq,2006,36,6
iq,2006,37,3
iq,2006,38,2
iq,2006,39,6
iq,2006,40,2
iq,2006,41,7
iq,2006,42,4
iq,2006,43,6
iq,2006,44,6
iq,2006,45,2
iq,2006,46,13
iq,2006,47,10
iq,2006,48,5
iq,2006,49,2
iq,2006,50,0
iq,2006,51,1
iq,2007,1,0
iq,2007,2,14
iq,2007,3,6
iq,2007,4,10
iq,2007,5,5
iq,2007,6,12
iq,2007,7,9
iq,2007,8,5
iq,2007,9,11
iq,2007,10,2
iq,2007,11,6
iq,2007,12,7
iq,2007,13,6
iq,2007,14,5
iq,2007,15,9
iq,2007,16,5
iq,2007,17,8
iq,2007,18,3
iq,2007,19,4
iq,2007,20,11
iq,2007,21,5
iq,2007,22,8
iq,2007,23,4
iq,2007,24,3
iq,2007,25,1
iq,2007,26,2
iq,2007,27,3
iq,2007,28,4
iq,2007,29,1
iq,2007,30,8
iq,2007,31,5
iq,2007,32,3
iq,2007,33,2
iq,2007,34,7
iq,2007,35,1
iq,2007,36,6
iq,2007,37,7
iq,2007,38,5
iq,2007,39,2
iq,2007,40,6
iq,2007,41,11
iq,2007,42,6
iq,2007,43,3
iq,2007,44,11
iq,2007,45,11
iq,2007,46,5
iq,2007,47,4
iq,2007,48,9
iq,2007,49,23
iq,2007,50,28
iq,2007,51,26
iq,2007,52,7
iq,2008,1,29
iq,2008,2,58
iq,2008,3,26
iq,2008,4,38
iq,2008,5,35
iq,2008,6,37
iq,2008,7,20
iq,2008,8,29
iq,2008,9,25
iq,2008,10,23
iq,2008,11,9
iq,2008,12,3
iq,2008,13,6
iq,2008,14,6
iq,2008,15,3
iq,2008,16,1
iq,2008,17,3
iq,2008,18,1
iq,2008,19,1
iq,2008,20,0
iq,2008,21,2
iq,2008,22,1
iq,2008,23,1
iq,2008,24,0
iq,2008,25,0
iq,2008,26,1
iq,2008,27,0
iq,2008,28,3
iq,2008,29,3
iq,2008,30,1
iq,2008,31,5
iq,2008,32,2
iq,2008,33,5
iq,2008,34,5
iq,2008,35,5
iq,2008,36,9
iq,2008,37,17
iq,2008,38,19
iq,2008,39,25
iq,2008,40,45
iq,2008,41,34
iq,2008,42,63
iq,2008,43,44
iq,2008,44,50
iq,2008,45,35
iq,2008,46,16
iq,2008,47,16
iq,2008,48,13
iq,2008,49,9
iq,2008,50,15
iq,2008,51,4
iq,2008,52,0
iq,2009,1,1
iq,2009,2,10
iq,2009,3,11
iq,2009,4,29
iq,2009,5,35
iq,2009,6,30
iq,2009,7,20
iq,2009,8,21
iq,2009,9,12
iq,2009,10,9
iq,2009,11,11
iq,2009,12,9
iq,2009,13,5
iq,2009,14,11
iq,2009,15,3
iq,2009,16,5
iq,2009,17,5
iq,2009,18,4
iq,2009,19,4
