DEPARTURE CITY,DEPARTURE STATE,DEPARTURE CARRIER,ARRIVAL CITY,ARRIVAL STATE,ARRIVAL CARRIER,RAIL SPEED SPEED,RAIL CAR TYPE TYPE,RAIL OWNERSHIP OWNERSHIP,RAIL CARLOAD LOAD,DEPEARTURE DATE,ARRIVAL DATE,CAR VALUE,DAMAGED,WEIGHT,FUEL USED,PROPER DESTINATION,MILES,# OF STOPS
Linwood,NC,NS,North Little Rock,AR,UP,Coal Unit,Box,Private,Coal,6/13/2013 0:00,6/25/2013 0:00,114021,2908.271897,0,32.69959218,No,2058,3
Galesburg,IL,BNSF,Jackson,MS,KCS,Manifest,Box,Private,Chemicals,1/23/2013 0:00,2/11/2013 0:00,142866,1474.505351,0,51.81918625,No,1141,5
Fond du Lac Yard,WI,CN,Lincoln,NE,BNSF,Coal Unit,Box,System,Intermodal,11/8/2013 0:00,11/19/2013 0:00,233429,10577.55691,0,42.74137392,No,1179,3
Hamlet,NC,CSX,Linwood,NC,NS,Coal Unit,Box,System,Nonmetallic Minerals and Products,8/13/2013 0:00,8/28/2013 0:00,146118,3213.970921,0,33.76645249,No,640,3
Conway,PA,NS,Toledo,OH,CSX,Grain Unit,Box,System,Intermodal,4/24/2013 0:00,5/7/2013 0:00,189898,4978.430773,0,22.70337204,No,1347,1
Memphis,TN,BNSF,Northtown,MN,BNSF,Multilevel,Box,System,Intermodal,2/4/2013 0:00,2/16/2013 0:00,147380,111995.2681,0,40.34570763,No,1471,2
Fort Worth,TX,BNSF,Hamlet,NC,CSX,Intermodal,Box,Private,Coal,3/23/2013 0:00,4/13/2013 0:00,94030,817.5340987,0,53.96743202,No,641,4
St. Paul,MN,CP,Columbus,OH,NS,Grain Unit,Box,System,"Farm and Food Products, Excluding Grain",5/1/2013 0:00,5/10/2013 0:00,159060,6034.552165,0,63.12906269,No,982,3
Houston,TX,BNSF,Nashville,TN,CSX,Coal Unit,Box,Private,"Farm and Food Products, Excluding Grain",5/19/2013 0:00,5/27/2013 0:00,232625,13561.08707,0,41.56240138,No,262,5
Decatur,IL,NS,Fort Worth,TX,BNSF,Manifest,Box,Private,Intermodal,8/29/2013 0:00,9/8/2013 0:00,202483,7962.545804,0,25.23287905,No,2022,5
Pine Bluff,AR,UP,Galesburg,IL,BNSF,Coal Unit,Box,Foreign,Nonmetallic Minerals and Products,5/13/2013 0:00,5/22/2013 0:00,155098,8406.817765,0,62.09473195,No,1448,3
West Colton,CA,UP,Monterrey,NL,KCS,Manifest,Box,Private,Nonmetallic Minerals and Products,5/7/2013 0:00,5/20/2013 0:00,205407,2052.074531,0,42.1804935,No,697,2
Livonia,LA,UP,Bellevue,OH,NS,Coal Unit,Box,System,Intermodal,5/19/2013 0:00,6/2/2013 0:00,239073,6826.768961,0,41.94058022,No,1614,1
Kansas City,MO,UP,Macon,GA,NS,Manifest,Box,Foreign,Metallic Ores and Metals,8/14/2013 0:00,8/24/2013 0:00,102991,3194.508332,0,21.1584124,No,1569,2
Linwood,NC,NS,Barstow,CA,BNSF,Grain Unit,Box,System,Coal,12/23/2013 0:00,1/9/2014 0:00,79821,3017.608578,0,27.03006209,No,500,1
Monterrey,NL,KCS,Monterrey,NL,KCS,Multilevel,Box,Private,Intermodal,5/17/2013 0:00,5/26/2013 0:00,132617,5296.786139,0,66.07576063,No,1072,1
Markham Yard,IL,CN,Toledo,OH,CSX,Grain Unit,Box,Foreign,Intermodal,2/6/2013 0:00,2/14/2013 0:00,202050,9852.57065,0,61.40219564,No,2081,4
Jackson Yard,MS,CN,Willard,OH,CSX,Grain Unit,Box,Foreign,Intermodal,4/16/2013 0:00,5/2/2013 0:00,151651,348.9146907,0,56.06253925,No,242,4
Roanoke,VA,NS,Jackson Yard,MS,CN,Manifest,Box,Foreign,Coal,8/24/2013 0:00,9/4/2013 0:00,172115,9.96724874,0,38.72911709,No,670,3
Indianapolis,IN,CSX,Decatur,IL,NS,Manifest,Box,System,Coal,3/6/2013 0:00,3/22/2013 0:00,173032,1990.507569,0,35.18276661,No,1958,1
Chicago,IL,CSX,Fort Worth,TX,UP,Multilevel,Box,System,Metallic Ores and Metals,5/18/2013 0:00,5/31/2013 0:00,102793,278.4844437,0,42.9992128,No,577,4
Houston(Settegast),TX,UP,Elkhart,IN,NS,Multilevel,Box,Private,Intermodal,4/8/2013 0:00,4/23/2013 0:00,236038,10403.12435,0,31.59990807,No,1305,2
Laredo,TX,KCS,Houston(Englewood),TX,UP,Multilevel,Box,Private,Intermodal,8/6/2013 0:00,8/14/2013 0:00,110969,39.85663336,0,33.60132307,No,217,4
North Platte East,NE,UP,Memphis,TN,BNSF,Grain Unit,Box,Foreign,Intermodal,9/18/2013 0:00,10/6/2013 0:00,193767,1137.089285,0,38.77832064,No,1784,5
St. Paul,MN,CP,Decatur,IL,NS,Multilevel,Box,System,Intermodal,6/4/2013 0:00,6/23/2013 0:00,119399,2222.907755,0,37.69364481,No,1090,2
Fond du Lac Yard,WI,CN,Lincoln,NE,BNSF,Coal Unit,Box,Private,Intermodal,1/4/2013 0:00,1/25/2013 0:00,248820,14792.65082,0,25.06563372,No,506,4
Fort Worth,TX,BNSF,New Orleans,LA,NS,Multilevel,Box,System,Coal,10/20/2013 0:00,10/28/2013 0:00,196629,5738.997814,0,42.34794962,No,251,3
Buffalo,NY,CSX,North Platte West,NE,UP,Coal Unit,Box,Foreign,Chemicals,6/3/2013 0:00,6/22/2013 0:00,193399,5148.940981,0,49.22575978,No,1890,5
Montgomery,AL,CSX,Laredo,TX,KCS,Multilevel,Box,Private,Coal,10/30/2013 0:00,11/17/2013 0:00,215238,10912.29024,0,38.56321149,Yes,787,5
Jackson Yard,MS,CN,Chicago,IL,CSX,Coal Unit,Box,Private,Intermodal,6/12/2013 0:00,7/3/2013 0:00,134087,648.245764,0,27.69330005,Yes,1646,0
Monterrey,NL,KCS,Barstow,CA,BNSF,Grain Unit,Box,System,Petroleum and Petroleum Products,8/10/2013 0:00,8/20/2013 0:00,178349,254.1097701,0,32.55162214,Yes,1143,4
Kansas City,MO,UP,Houston(Englewood),TX,UP,Multilevel,Box,Foreign,Intermodal,4/10/2013 0:00,4/28/2013 0:00,247029,10517.05977,0,45.52775394,No,394,3
Fort Worth,TX,UP,Linwood,NC,NS,Coal Unit,Box,System,Coal,6/8/2013 0:00,6/19/2013 0:00,233396,6674.329103,0,45.97245345,No,344,4
New Orleans,LA,NS,Houston,TX,BNSF,Manifest,Box,Foreign,Intermodal,8/29/2013 0:00,9/12/2013 0:00,135061,7727.345443,0,53.97815132,Yes,873,2
Selkirk,NY,CSX,Montreal,PQ,CP,Intermodal,Box,Foreign,Intermodal,8/20/2013 0:00,9/1/2013 0:00,122943,1264.807773,0,24.24055974,Yes,1023,4
Kansas City,MO,UP,Memphis,TN,BNSF,Multilevel,Box,System,Forest Products,10/27/2013 0:00,11/13/2013 0:00,144672,3768.030829,0,56.31320086,No,471,4
Denver,CO,BNSF,Northtown,MN,BNSF,Manifest,Box,Foreign,Motor Vehicles and Parts,4/9/2013 0:00,4/17/2013 0:00,175680,3774.352212,0,28.01992665,Yes,433,2
Harrison Yard (Memphis),TN,CN,Columbus,OH,NS,Intermodal,Box,Private,Nonmetallic Minerals and Products,4/18/2013 0:00,4/30/2013 0:00,245664,232455.2596,0,24.59776265,Yes,1265,2
North Platte West,NE,UP,Baltimore,MD,CSX,Grain Unit,Box,System,Coal,10/20/2013 0:00,11/5/2013 0:00,86444,3568.288138,0,28.13062611,No,735,4
Baltimore,MD,CSX,Houston(Englewood),TX,UP,Intermodal,Box,Foreign,Nonmetallic Minerals and Products,4/25/2013 0:00,5/14/2013 0:00,148022,4631.953663,0,24.95063842,Yes,923,4
Roseville,CA,UP,Denver,CO,BNSF,Multilevel,Box,Foreign,Intermodal,6/23/2013 0:00,7/7/2013 0:00,88053,3565.677288,0,44.05084618,No,376,3
Jackson,MS,KCS,Jackson,MS,KCS,Manifest,Box,Foreign,Chemicals,1/7/2013 0:00,1/15/2013 0:00,133701,124.2408438,0,27.73914149,Yes,881,5
Northtown,MN,BNSF,Galesburg,IL,BNSF,Intermodal,Box,Private,Nonmetallic Minerals and Products,2/3/2013 0:00,2/18/2013 0:00,142332,2473.585871,0,50.96701223,Yes,788,4
Kansas City,MO,KCS,Denver,CO,BNSF,Grain Unit,Box,Private,Intermodal,4/23/2013 0:00,5/3/2013 0:00,239208,5677.813617,0,21.88830886,Yes,1895,1
Chicago,IL,CSX,Roseville,CA,UP,Coal Unit,Box,Foreign,Intermodal,10/26/2013 0:00,11/9/2013 0:00,184380,483.6821678,0,60.54371911,Yes,1993,2
Markham Yard,IL,CN,Markham Yard,IL,CN,Manifest,Box,Foreign,Coal,12/28/2013 0:00,1/5/2014 0:00,238102,7189.150461,0,37.36295962,Yes,1452,3
New Orleans,LA,NS,Chicago,IL,CSX,Intermodal,Box,Foreign,Intermodal,5/15/2013 0:00,5/29/2013 0:00,180332,3883.375233,0,40.63386405,Yes,1155,2
Fond du Lac Yard,WI,CN,Livonia,LA,UP,Multilevel,Box,Private,Nonmetallic Minerals and Products,2/15/2013 0:00,2/27/2013 0:00,80751,154.674025,0,20.18653712,Yes,1246,4
Roseville,CA,UP,Columbus,OH,NS,Intermodal,Box,Private,Intermodal,9/16/2013 0:00,9/25/2013 0:00,85955,1204.194907,0,47.07976828,No,1066,3
Houston,TX,BNSF,Macon,GA,NS,Intermodal,Box,Foreign,Coal,8/12/2013 0:00,8/20/2013 0:00,96334,5594.423062,0,29.93245676,Yes,743,2
Northtown,MN,BNSF,Knoxville,TN,NS,Manifest,Box,System,Intermodal,8/6/2013 0:00,8/20/2013 0:00,184763,5784.285908,0,35.23199091,Yes,542,3
Lincoln,NE,BNSF,Allentown,PA,NS,Multilevel,Box,System,Chemicals,11/25/2013 0:00,12/9/2013 0:00,161369,3871.885486,0,52.80332853,Yes,445,1
Indianapolis,IN,CSX,Roseville,CA,UP,Coal Unit,Box,System,Intermodal,2/9/2013 0:00,2/19/2013 0:00,248945,2802.428386,0,28.4956572,Yes,1992,4
North Platte West,NE,UP,Laredo,TX,KCS,Coal Unit,Box,Foreign,Intermodal,2/21/2013 0:00,3/14/2013 0:00,150028,3875.64301,0,28.21485054,No,250,1
Memphis,TN,BNSF,Montgomery,AL,CSX,Coal Unit,Box,Private,Intermodal,4/19/2013 0:00,4/27/2013 0:00,218944,19787.01109,0,40.34983123,Yes,1288,1
Fort Worth,TX,BNSF,West Colton,CA,UP,Manifest,Box,Foreign,Intermodal,6/13/2013 0:00,6/27/2013 0:00,246877,3899.634361,0,42.79197287,Yes,1002,2
Fort Worth,TX,BNSF,Selkirk,NY,CSX,Manifest,Box,Foreign,Intermodal,12/5/2013 0:00,12/19/2013 0:00,84300,4218.4891,0,40.35994598,Yes,1830,3
Memphis,TN,BNSF,West Colton,CA,UP,Coal Unit,Box,Private,Coal,7/9/2013 0:00,7/21/2013 0:00,143973,63161.99292,0,27.07991476,Yes,1647,1
Macon,GA,NS,St. Paul,MN,CP,Manifest,Box,System,Chemicals,8/10/2013 0:00,8/22/2013 0:00,89434,4200.879291,0,35.03467455,Yes,545,2
Memphis,TN,BNSF,Cincinnati,OH,CSX,Coal Unit,Box,System,Intermodal,2/4/2013 0:00,2/21/2013 0:00,110800,46369.00691,0,31.59323722,Yes,1117,2
Decatur,IL,NS,Hamlet,NC,CSX,Coal Unit,Box,Foreign,Coal,7/11/2013 0:00,7/29/2013 0:00,185858,1208.362887,0,42.07264223,Yes,265,3
Memphis,TN,BNSF,Decatur,IL,NS,Manifest,Box,System,Intermodal,8/9/2013 0:00,8/21/2013 0:00,200921,154659.9238,0,38.92320988,Yes,1403,1
Willard,OH,CSX,Memphis,TN,BNSF,Grain Unit,Box,System,Intermodal,1/9/2013 0:00,1/28/2013 0:00,156000,8410.127945,0,40.33118547,Yes,819,1
Hinkle,OR,UP,Elkhart,IN,NS,Manifest,Box,Foreign,Intermodal,6/27/2013 0:00,7/6/2013 0:00,240692,3619.647744,0,35.23736706,No,863,0
Roseville,CA,UP,St. Paul,MN,CP,Manifest,Box,System,Petroleum and Petroleum Products,11/19/2013 0:00,12/6/2013 0:00,143386,3165.277652,153,41.39471477,No,1547,4
Bellevue,OH,NS,West Colton,CA,UP,Multilevel,Box,Foreign,Coal,9/29/2013 0:00,10/14/2013 0:00,130152,7422.554947,135,34.87568288,Yes,1351,3
Chicago(Proviso),IL,UP,Indianapolis,IN,CSX,Coal Unit,Box,Foreign,Forest Products,10/9/2013 0:00,10/30/2013 0:00,78398,333.8056552,161,53.95426297,Yes,704,3
Chicago,IL,CSX,Monterrey,NL,KCS,Grain Unit,Box,Private,Coal,12/7/2013 0:00,12/24/2013 0:00,134818,7673.880216,136,40.04076647,Yes,1952,4
Buffalo,NY,CSX,Hamlet,NC,CSX,Intermodal,Box,Foreign,Intermodal,7/4/2013 0:00,7/20/2013 0:00,239801,8048.080477,175,45.22300194,Yes,936,3
Barstow,CA,BNSF,Columbus,OH,NS,Multilevel,Box,Private,Chemicals,10/24/2013 0:00,11/2/2013 0:00,165955,8080.587117,90,29.3561511,Yes,2190,3
Lincoln,NE,BNSF,Markham Yard,IL,CN,Manifest,Box,Private,Intermodal,8/29/2013 0:00,9/9/2013 0:00,196936,5275.461542,110,36.1137143,Yes,1989,3
Knoxville,TN,NS,Fort Worth,TX,BNSF,Intermodal,Box,Foreign,Intermodal,4/21/2013 0:00,5/6/2013 0:00,216933,66672.30698,161,53.89775795,Yes,1064,1
Roanoke,VA,NS,Sheffield,AL,NS,Multilevel,Box,Foreign,Intermodal,1/19/2013 0:00,2/8/2013 0:00,128024,399.3520393,98,24.65643335,Yes,1219,3
Barstow,CA,BNSF,West Colton,CA,UP,Multilevel,Box,Private,Grain,5/23/2013 0:00,6/12/2013 0:00,198787,237.19404,140,36.95386398,Yes,1357,5
Willard,OH,CSX,Chicago(Proviso),IL,UP,Coal Unit,Box,Private,Intermodal,2/11/2013 0:00,2/27/2013 0:00,106030,5585.143367,172,44.03935159,Yes,1612,1
Harrison Yard (Memphis),TN,CN,Monterrey,NL,KCS,Coal Unit,Box,Foreign,Coal,8/8/2013 0:00,8/19/2013 0:00,215611,70133.40612,138,43.27590729,Yes,1217,3
New Orleans,LA,NS,Jackson,MS,KCS,Manifest,Box,System,Coal,6/8/2013 0:00,6/27/2013 0:00,92488,1631.773841,125,34.58898581,Yes,1382,3
Pasco,WA,BNSF,Roanoke,VA,NS,Coal Unit,Box,Private,Chemicals,9/6/2013 0:00,9/25/2013 0:00,169847,5623.944891,160,45.05515986,Yes,1353,3
Shreveport,LA,KCS,Birmingham,AL,NS,Intermodal,Box,System,Coal,6/3/2013 0:00,6/19/2013 0:00,146652,22.60995661,142,36.76568215,Yes,861,1
Russell,KY,CSX,Selkirk,NY,CSX,Grain Unit,Box,System,Coal,2/20/2013 0:00,3/3/2013 0:00,106276,3648.062977,136,38.5615075,Yes,714,3
Montgomery,AL,CSX,Memphis,TN,BNSF,Multilevel,Box,Private,Coal,12/18/2013 0:00,12/26/2013 0:00,215284,9717.004008,106,36.53945864,Yes,1509,3
Montgomery,AL,CSX,Columbus,OH,NS,Grain Unit,Box,Foreign,Grain,5/8/2013 0:00,5/21/2013 0:00,95033,5404.515833,123,39.13775797,Yes,1554,2
Houston,TX,BNSF,Columbus,OH,NS,Coal Unit,Box,Private,Coal,11/4/2013 0:00,11/16/2013 0:00,85932,2916.069103,190,56.93867798,Yes,1461,2
Jackson,MS,KCS,West Colton,CA,UP,Coal Unit,Box,System,Intermodal,6/6/2013 0:00,6/25/2013 0:00,187498,6342.56872,159,47.06183115,Yes,1293,4
Chicago,IL,CSX,Elkhart,IN,NS,Coal Unit,Box,Private,Coal,3/15/2013 0:00,3/23/2013 0:00,197425,274.8364362,186,56.74986756,Yes,1137,0
Memphis,TN,BNSF,Houston,TX,BNSF,Multilevel,Box,System,"Farm and Food Products, Excluding Grain",12/4/2013 0:00,12/21/2013 0:00,161185,30605.25921,92,30.39204314,Yes,1724,2
Kansas City,KS,BNSF,Cincinnati,OH,CSX,Multilevel,Box,Private,Intermodal,12/10/2013 0:00,12/24/2013 0:00,100405,1184.400359,135,39.14726809,Yes,816,4
Sheffield,AL,NS,Shreveport,LA,KCS,Manifest,Box,Foreign,Intermodal,7/18/2013 0:00,8/6/2013 0:00,188140,6899.30069,179,50.91196203,Yes,597,3
Barstow,CA,BNSF,Indianapolis,IN,CSX,Multilevel,Box,Private,Coal,3/30/2013 0:00,4/18/2013 0:00,131566,6792.074391,117,39.84658575,Yes,1502,4
Fort Worth,TX,UP,Birmingham,AL,NS,Manifest,Box,Foreign,Intermodal,12/3/2013 0:00,12/24/2013 0:00,219479,11579.16067,158,54.43770825,Yes,576,1
Birmingham,AL,NS,Columbus,OH,NS,Multilevel,Box,System,Intermodal,10/30/2013 0:00,11/6/2013 0:00,122782,25.57800381,171,48.75968287,Yes,2129,2
Roseville,CA,UP,Harrison Yard (Memphis),TN,CN,Multilevel,Box,System,"Farm and Food Products, Excluding Grain",11/19/2013 0:00,12/8/2013 0:00,136130,660.6889448,150,49.59491491,Yes,1905,5
Pine Bluff,AR,UP,Houston(Englewood),TX,UP,Grain Unit,Box,Foreign,Intermodal,7/28/2013 0:00,8/4/2013 0:00,80811,4528.86728,163,48.61088701,Yes,360,5
Baltimore,MD,CSX,Buffalo,NY,CSX,Grain Unit,Box,System,Intermodal,5/24/2013 0:00,6/5/2013 0:00,97783,5611.200094,91,25.40573338,Yes,840,3
Hinkle,OR,UP,Laredo,TX,KCS,Multilevel,Box,Private,Intermodal,1/30/2013 0:00,2/14/2013 0:00,102325,2892.940325,106,31.31418897,Yes,2029,5
Conway,PA,NS,Kansas City,MO,KCS,Grain Unit,Box,Private,Motor Vehicles and Parts,12/29/2013 0:00,1/14/2014 0:00,156574,3493.306058,84,24.53506009,Yes,1206,3
Memphis,TN,BNSF,Monterrey,NL,KCS,Multilevel,Box,System,Coal,9/30/2013 0:00,10/17/2013 0:00,110184,10745.1785,107,32.4339733,Yes,294,5
Corbin,KY,CSX,Galesburg,IL,BNSF,Coal Unit,Box,Private,Intermodal,7/1/2013 0:00,7/8/2013 0:00,235924,9509.440544,75,19.21266496,Yes,1724,4
Harrison Yard (Memphis),TN,CN,Shreveport,LA,KCS,Grain Unit,Box,Private,"Farm and Food Products, Excluding Grain",1/14/2013 0:00,1/25/2013 0:00,93162,71620.74605,111,35.19761821,Yes,1251,3
Buffalo,NY,CSX,Shreveport,LA,KCS,Coal Unit,Box,Private,Other,1/29/2013 0:00,2/14/2013 0:00,89815,5291.086903,182,58.65304488,Yes,1396,4
Roseville,CA,UP,Birmingham,AL,NS,Multilevel,Box,System,Chemicals,10/29/2013 0:00,11/8/2013 0:00,247596,13867.41789,176,48.50642408,Yes,251,0
West Colton,CA,UP,Markham Yard,IL,CN,Multilevel,Box,System,Intermodal,10/11/2013 0:00,11/1/2013 0:00,241932,11737.86412,200,65.85217343,Yes,1382,0
Toledo,OH,CSX,Toledo,OH,CSX,Grain Unit,Box,Foreign,Motor Vehicles and Parts,2/14/2013 0:00,2/27/2013 0:00,235770,7282.183858,140,40.36826069,Yes,1335,4
Chicago(Proviso),IL,UP,St. Paul,MN,CP,Coal Unit,Box,System,Coal,12/4/2013 0:00,12/24/2013 0:00,84328,3028.158149,138,42.76389866,Yes,1614,0
Russell,KY,CSX,Livonia,LA,UP,Grain Unit,Box,Private,Intermodal,6/23/2013 0:00,7/9/2013 0:00,215070,7405.805296,130,33.17534448,Yes,1590,2
Lincoln,NE,BNSF,Shreveport,LA,KCS,Manifest,Box,Private,Intermodal,9/22/2013 0:00,10/4/2013 0:00,75390,335.0423788,95,28.15085789,Yes,909,1
Baltimore,MD,CSX,Indianapolis,IN,CSX,Multilevel,Box,Foreign,Nonmetallic Minerals and Products,7/14/2013 0:00,7/26/2013 0:00,130063,7068.203526,91,24.0197807,Yes,1829,0
Birmingham,AL,NS,Harrison Yard (Memphis),TN,CN,Grain Unit,Box,Foreign,Intermodal,8/22/2013 0:00,9/3/2013 0:00,96139,2573.026602,161,40.62107623,Yes,513,4
Sheffield,AL,NS,Bellevue,OH,NS,Multilevel,Box,Foreign,Intermodal,8/28/2013 0:00,9/10/2013 0:00,180728,10109.89794,89,24.47719627,Yes,1046,4
Columbus,OH,NS,Jackson Yard,MS,CN,Coal Unit,Box,Private,Grain,8/5/2013 0:00,8/23/2013 0:00,157583,3256.227398,119,34.7992911,Yes,282,2
Jackson,MS,KCS,Fort Worth,TX,UP,Coal Unit,Box,Foreign,Intermodal,2/11/2013 0:00,2/24/2013 0:00,111682,6447.419224,141,44.54215014,Yes,695,1
Memphis,TN,BNSF,Galesburg,IL,BNSF,Multilevel,Box,Private,Chemicals,8/3/2013 0:00,8/15/2013 0:00,107509,11732.17288,79,22.78114258,Yes,659,4
Hamlet,NC,CSX,West Colton,CA,UP,Grain Unit,Box,Foreign,Coal,3/30/2013 0:00,4/17/2013 0:00,229453,9515.6221,155,48.99198868,Yes,1006,1
Nashville,TN,CSX,Barstow,CA,BNSF,Manifest,Box,System,Intermodal,1/15/2013 0:00,1/26/2013 0:00,223765,126243.4927,93,31.66847875,Yes,1385,1
Indianapolis,IN,CSX,Pasco,WA,BNSF,Multilevel,Box,System,Coal,4/4/2013 0:00,4/17/2013 0:00,218651,4945.313566,181,61.74976743,Yes,1159,4
Allentown,PA,NS,Houston,TX,BNSF,Coal Unit,Box,Foreign,Nonmetallic Minerals and Products,6/5/2013 0:00,6/18/2013 0:00,79558,2256.640349,192,51.71375379,Yes,900,4
Fort Worth,TX,UP,Jackson Yard,MS,CN,Manifest,Box,Private,Coal,5/25/2013 0:00,6/13/2013 0:00,181507,1500.110798,154,44.01552258,Yes,1269,2
Nashville,TN,CSX,Kansas City,MO,UP,Grain Unit,Box,Foreign,Intermodal,9/13/2013 0:00,9/27/2013 0:00,124976,58656.98187,160,42.70755199,Yes,1016,0
Milwaukee,WI,CP,Northtown,MN,BNSF,Coal Unit,Box,Private,Coal,6/6/2013 0:00,6/21/2013 0:00,198534,890.5634395,141,35.77110007,Yes,642,3
Elkhart,IN,NS,Columbus,OH,NS,Manifest,Box,System,Intermodal,5/30/2013 0:00,6/16/2013 0:00,226934,3306.475578,178,45.33225379,Yes,1217,2
Houston(Englewood),TX,UP,Chicago,IL,CSX,Coal Unit,Box,Private,Intermodal,9/19/2013 0:00,10/6/2013 0:00,214459,7101.137482,106,30.13343521,Yes,939,0
Conway,PA,NS,Cincinnati,OH,CSX,Grain Unit,Box,Private,Intermodal,4/9/2013 0:00,4/19/2013 0:00,86934,2490.244634,132,40.23735662,Yes,1977,1
Russell,KY,CSX,Willard,OH,CSX,Intermodal,Box,Foreign,Coal,5/18/2013 0:00,6/5/2013 0:00,122387,708.8620209,147,42.33416448,Yes,682,4
Chattanooga,TN,NS,Markham Yard,IL,CN,Multilevel,Box,Private,Coal,2/10/2013 0:00,2/26/2013 0:00,174644,119647.248,130,44.2770317,Yes,815,3
Barstow,CA,BNSF,Conway,PA,NS,Manifest,Box,Foreign,Intermodal,5/30/2013 0:00,6/18/2013 0:00,145125,2283.087248,153,53.26043254,Yes,1186,2
Fort Worth,TX,UP,Lincoln,NE,BNSF,Manifest,Box,Foreign,Intermodal,1/6/2013 0:00,1/21/2013 0:00,107739,5957.232533,141,45.72049596,Yes,955,2
Montreal,PQ,CP,Barstow,CA,BNSF,Manifest,Box,Private,Nonmetallic Minerals and Products,9/21/2013 0:00,10/2/2013 0:00,247540,8951.892826,181,57.78201948,Yes,239,3
Bellevue,OH,NS,Livonia,LA,UP,Multilevel,Box,Foreign,"Farm and Food Products, Excluding Grain",9/23/2013 0:00,10/6/2013 0:00,160787,8660.29169,82,21.31670413,Yes,644,4
Barstow,CA,BNSF,Birmingham,AL,NS,Manifest,Box,System,Chemicals,8/14/2013 0:00,8/26/2013 0:00,219115,9314.644026,148,48.92149015,Yes,1386,4
Birmingham,AL,NS,Houston(Settegast),TX,UP,Grain Unit,Box,Foreign,Intermodal,6/15/2013 0:00,6/27/2013 0:00,201868,2619.438526,156,43.60909882,Yes,2182,0
Hinkle,OR,UP,Denver,CO,BNSF,Manifest,Box,Private,Intermodal,5/8/2013 0:00,5/21/2013 0:00,148251,7352.519668,144,36.83895114,Yes,1344,1
Lincoln,NE,BNSF,Kansas City,MO,KCS,Grain Unit,Box,System,Coal,3/25/2013 0:00,4/6/2013 0:00,135794,5288.376978,127,33.6453589,Yes,929,2
West Colton,CA,UP,Laredo,TX,KCS,Multilevel,Box,Foreign,Chemicals,12/19/2013 0:00,1/3/2014 0:00,111291,6628.898455,102,25.88920622,Yes,584,0
Roanoke,VA,NS,Nashville,TN,CSX,Intermodal,Box,Foreign,Coal,8/6/2013 0:00,8/18/2013 0:00,98565,614.9136311,128,39.69090185,Yes,1716,5
Conway,PA,NS,Houston,TX,BNSF,Grain Unit,Box,Foreign,Grain,9/25/2013 0:00,10/4/2013 0:00,77676,566.8370672,175,44.79440065,Yes,1692,2
Corbin,KY,CSX,Macon,GA,NS,Manifest,Box,Private,"Farm and Food Products, Excluding Grain",3/8/2013 0:00,3/26/2013 0:00,234183,13729.34648,179,54.8285718,Yes,468,4
Chicago,IL,CP,Milwaukee,WI,CP,Coal Unit,Box,Private,Coal,8/19/2013 0:00,8/27/2013 0:00,236873,2972.675065,113,39.30354096,Yes,1535,3
