Obs;Make;Model;Type;Origin;DriveTrain;MSRP;Invoice;EngineSize;Cylinders;Horsepower;MPG_City;MPG_Highway;Weight;Wheelbase;Length
49;Buick;Century Custom 4dr;Sedan;USA;Front;$22,180;$20,351;3.1;6;175;20;30;3353;109;195
50;Buick;LeSabre Custom 4dr;Sedan;USA;Front;$26,470;$24,282;3.8;6;205;20;29;3567;112;200
51;Buick;Regal LS 4dr;Sedan;USA;Front;$24,895;$22,835;3.8;6;200;20;30;3461;109;196
52;Buick;Regal GS 4dr;Sedan;USA;Front;$28,345;$26,047;3.8;6;240;18;28;3536;109;196
53;Buick;LeSabre Limited 4dr;Sedan;USA;Front;$32,245;$29,566;3.8;6;205;20;29;3591;112;200
54;Buick;Park Avenue 4dr;Sedan;USA;Front;$35,545;$32,244;3.8;6;205;20;29;3778;114;207
55;Buick;Park Avenue Ultra 4dr;Sedan;USA;Front;$40,720;$36,927;3.8;6;240;18;28;3909;114;207
56;Cadillac;Escalade;SUV;USA;Front;$52,795;$48,377;5.3;8;295;14;18;5367;116;199
57;Cadillac;SRX V8;SUV;USA;Front;$46,995;$43,523;4.6;8;320;16;21;4302;116;195
58;Cadillac;CTS VVT 4dr;Sedan;USA;Rear;$30,835;$28,575;3.6;6;255;18;25;3694;113;190
59;Cadillac;Deville 4dr;Sedan;USA;Front;$45,445;$41,650;4.6;8;275;18;26;3984;115;207
60;Cadillac;Deville DTS 4dr;Sedan;USA;Front;$50,595;$46,362;4.6;8;300;18;26;4044;115;207
61;Cadillac;Seville SLS 4dr;Sedan;USA;Front;$47,955;$43,841;4.6;8;275;18;26;3992;112;201
62;Cadillac;XLR convertible 2dr;Sports;USA;Rear;$76,200;$70,546;4.6;8;320;17;25;3647;106;178
63;Cadillac;Escalade EXT;Truck;USA;All;$52,975;$48,541;6;8;345;13;17;5879;130;221
64;Chevrolet;Suburban 1500 LT;SUV;USA;Front;$42,735;$37,422;5.3;8;295;14;18;4947;130;219
65;Chevrolet;Tahoe LT;SUV;USA;All;$41,465;$36,287;5.3;8;295;14;18;5050;116;197
66;Chevrolet;TrailBlazer LT;SUV;USA;Front;$30,295;$27,479;4.2;6;275;16;21;4425;113;192
67;Chevrolet;Tracker;SUV;USA;Front;$20,255;$19,108;2.5;6;165;19;22;2866;98;163
68;Chevrolet;Aveo 4dr;Sedan;USA;Front;$11,690;$10,965;1.6;4;103;28;34;2370;98;167
69;Chevrolet;Aveo LS 4dr hatch;Sedan;USA;Front;$12,585;$11,802;1.6;4;103;28;34;2348;98;153
70;Chevrolet;Cavalier 2dr;Sedan;USA;Front;$14,610;$13,697;2.2;4;140;26;37;2617;104;183
71;Chevrolet;Cavalier 4dr;Sedan;USA;Front;$14,810;$13,884;2.2;4;140;26;37;2676;104;183
72;Chevrolet;Cavalier LS 2dr;Sedan;USA;Front;$16,385;$15,357;2.2;4;140;26;37;2617;104;183
73;Chevrolet;Impala 4dr;Sedan;USA;Front;$21,900;$20,095;3.4;6;180;21;32;3465;111;200
74;Chevrolet;Malibu 4dr;Sedan;USA;Front;$18,995;$17,434;2.2;4;145;24;34;3174;106;188
75;Chevrolet;Malibu LS 4dr;Sedan;USA;Front;$20,370;$18,639;3.5;6;200;22;30;3297;106;188
76;Chevrolet;Monte Carlo LS 2dr;Sedan;USA;Front;$21,825;$20,026;3.4;6;180;21;32;3340;111;198
77;Chevrolet;Impala LS 4dr;Sedan;USA;Front;$25,000;$22,931;3.8;6;200;20;30;3476;111;200
78;Chevrolet;Impala SS 4dr;Sedan;USA;Front;$27,995;$25,672;3.8;6;240;18;28;3606;111;200
79;Chevrolet;Malibu LT 4dr;Sedan;USA;Front;$23,495;$21,551;3.5;6;200;23;32;3315;106;188
80;Chevrolet;Monte Carlo SS 2dr;Sedan;USA;Front;$24,225;$22,222;3.8;6;200;18;28;3434;111;198
81;Chevrolet;Astro;Sedan;USA;All;$26,395;$23,954;4.3;6;190;14;17;4605;111;190
82;Chevrolet;Venture LS;Sedan;USA;Front;$27,020;$24,518;3.4;6;185;19;26;3699;112;187
83;Chevrolet;Corvette 2dr;Sports;USA;Rear;$44,535;$39,068;5.7;8;350;18;25;3246;105;180
84;Chevrolet;Corvette convertible 2dr;Sports;USA;Rear;$51,535;$45,193;5.7;8;350;18;25;3248;105;180
85;Chevrolet;Avalanche 1500;Truck;USA;All;$36,100;$31,689;5.3;8;295;14;18;5678;130;222
86;Chevrolet;Colorado Z85;Truck;USA;All;$18,760;$17,070;2.8;4;175;18;23;3623;111;192
87;Chevrolet;Silverado 1500 Regular Cab;Truck;USA;Rear;$20,310;$18,480;4.3;6;200;15;21;4142;119;206
88;Chevrolet;Silverado SS;Truck;USA;All;$40,340;$35,399;6;8;300;13;17;4804;144;238
89;Chevrolet;SSR;Truck;USA;Rear;$41,995;$39,306;5.3;8;300;16;19;4760;116;191
90;Chevrolet;Malibu Maxx LS;Wagon;USA;Front;$22,225;$20,394;3.5;6;200;22;30;3458;112;188
91;Chrysler;PT Cruiser 4dr;Sedan;USA;Front;$17,985;$16,919;2.4;4;150;22;29;3101;103;169
92;Chrysler;PT Cruiser Limited 4dr;Sedan;USA;Front;$22,000;$20,573;2.4;4;150;22;29;3105;103;169
93;Chrysler;Sebring 4dr;Sedan;USA;Front;$19,090;$17,805;2.4;4;150;22;30;3173;108;191
94;Chrysler;Sebring Touring 4dr;Sedan;USA;Front;$21,840;$20,284;2.7;6;200;21;28;3222;108;191
95;Chrysler;300M 4dr;Sedan;USA;Front;$29,865;$27,797;3.5;6;250;18;27;3581;113;198
96;Chrysler;Concorde LX 4dr;Sedan;USA;Front;$24,130;$22,452;2.7;6;200;21;29;3479;113;208
97;Chrysler;Concorde LXi 4dr;Sedan;USA;Front;$26,860;$24,909;3.5;6;232;19;27;3548;113;208
98;Chrysler;PT Cruiser GT 4dr;Sedan;USA;Front;$25,955;$24,172;2.4;4;220;21;27;3217;103;169
99;Chrysler;Sebring convertible 2dr;Sedan;USA;Front;$25,215;$23,451;2.4;4;150;22;30;3357;106;194
100;Chrysler;300M Special Edition 4dr;Sedan;USA;Front;$33,295;$30,884;3.5;6;255;18;27;3650;113;198
101;Chrysler;Sebring Limited convertible 2dr;Sedan;USA;Front;$30,950;$28,613;2.7;6;200;21;28;3448;106;194
102;Chrysler;Town and Country LX;Sedan;USA;Front;$27,490;$25,371;3.3;6;180;19;26;4068;119;201
103;Chrysler;Town and Country Limited;Sedan;USA;Front;$38,380;$35,063;3.8;6;215;18;25;4331;119;201
104;Chrysler;Crossfire 2dr;Sports;USA;Rear;$34,495;$32,033;3.2;6;215;17;25;3060;95;160
105;Chrysler;Pacifica;Wagon;USA;Rear;$31,230;$28,725;3.5;6;250;17;23;4675;116;199
106;Dodge;Durango SLT;SUV;USA;All;$32,235;$29,472;4.7;8;230;15;21;4987;119;201
107;Dodge;Neon SE 4dr;Sedan;USA;Front;$13,670;$12,849;2;4;132;29;36;2581;105;174
108;Dodge;Neon SXT 4dr;Sedan;USA;Front;$15,040;$14,086;2;4;132;29;36;2626;105;174
109;Dodge;Intrepid SE 4dr;Sedan;USA;Front;$22,035;$20,502;2.7;6;200;21;29;3469;113;204
110;Dodge;Stratus SXT 4dr;Sedan;USA;Front;$18,820;$17,512;2.4;4;150;21;28;3182;108;191
111;Dodge;Stratus SE 4dr;Sedan;USA;Front;$20,220;$18,821;2.4;4;150;21;28;3175;108;191
112;Dodge;Intrepid ES 4dr;Sedan;USA;Front;$24,885;$23,058;3.5;6;232;18;27;3487;113;204
113;Dodge;Caravan SE;Sedan;USA;Front;$21,795;$20,508;2.4;4;150;20;26;3862;113;189
114;Dodge;Grand Caravan SXT;Sedan;USA;All;$32,660;$29,812;3.8;6;215;18;25;4440;119;201
115;Dodge;Viper SRT-10 convertible 2dr;Sports;USA;Rear;$81,795;$74,451;8.3;10;500;12;20;3410;99;176
116;Dodge;Dakota Regular Cab;Truck;USA;Rear;$17,630;$16,264;3.7;6;210;16;22;3714;112;193
117;Dodge;Dakota Club Cab;Truck;USA;Rear;$20,300;$18,670;3.7;6;210;16;22;3829;131;219
118;Dodge;Ram 1500 Regular Cab ST;Truck;USA;Rear;$20,215;$18,076;3.7;6;215;16;21;4542;121;208
119;Ford;Excursion 6.8 XLT;SUV;USA;All;$41,475;$36,494;6.8;10;310;10;13;7190;137;227
120;Ford;Expedition 4.6 XLT;SUV;USA;Front;$34,560;$30,468;4.6;8;232;15;19;5000;119;206
121;Ford;Explorer XLT V6;SUV;USA;All;$29,670;$26,983;4;6;210;15;20;4463;114;190
122;Ford;Escape XLS;SUV;USA;All;$22,515;$20,907;3;6;201;18;23;3346;103;173
123;Ford;Focus ZX3 2dr hatch;Sedan;USA;Front;$13,270;$12,482;2;4;130;26;33;2612;103;168
124;Ford;Focus LX 4dr;Sedan;USA;Front;$13,730;$12,906;2;4;110;27;36;2606;103;168
125;Ford;Focus SE 4dr;Sedan;USA;Front;$15,460;$14,496;2;4;130;26;33;2606;103;168
126;Ford;Focus ZX5 5dr;Sedan;USA;Front;$15,580;$14,607;2;4;130;26;33;2691;103;168
127;Ford;Focus SVT 2dr;Sedan;USA;Front;$19,135;$17,878;2;4;170;21;28;2750;103;168
128;Ford;Taurus LX 4dr;Sedan;USA;Front;$20,320;$18,881;3;6;155;20;27;3306;109;198
129;Ford;Taurus SES Duratec 4dr;Sedan;USA;Front;$22,735;$20,857;3;6;201;19;26;3313;109;198
130;Ford;Crown Victoria 4dr;Sedan;USA;Rear;$24,345;$22,856;4.6;8;224;17;25;4057;115;212
131;Ford;Crown Victoria LX 4dr;Sedan;USA;Rear;$27,370;$25,105;4.6;8;224;17;25;4057;115;212
132;Ford;Crown Victoria LX Sport 4dr;Sedan;USA;Rear;$30,315;$27,756;4.6;8;239;17;25;4057;115;212
133;Ford;Freestar SE;Sedan;USA;Front;$26,930;$24,498;3.9;6;193;17;23;4275;121;201
134;Ford;Mustang 2dr (convertible);Sports;USA;Rear;$18,345;$16,943;3.8;6;193;20;29;3290;101;183
135;Ford;Mustang GT Premium convertible 2dr;Sports;USA;Rear;$29,380;$26,875;4.6;8;260;17;25;3347;101;183
136;Ford;Thunderbird Deluxe convert w/hardtop 2d;Sports;USA;Front;$37,530;$34,483;3.9;8;280;17;24;3780;107;186
137;Ford;F-150 Regular Cab XL;Truck;USA;Rear;$22,010;$19,490;4.6;8;231;15;19;4788;126;211
138;Ford;F-150 Supercab Lariat;Truck;USA;All;$33,540;$29,405;5.4;8;300;14;18;5464;133;218
139;Ford;Ranger 2.3 XL Regular Cab;Truck;USA;Rear;$14,385;$13,717;2.3;4;143;24;29;3028;111;188
140;Ford;Focus ZTW;Wagon;USA;Front;$17,475;$16,375;2;4;130;26;33;2702;103;178
141;Ford;Taurus SE;Wagon;USA;Front;$22,290;$20,457;3;6;155;19;26;3497;109;198
142;GMC;Envoy XUV SLE;SUV;USA;Front;$31,890;$28,922;4.2;6;275;15;19;4945;129;208
143;GMC;Yukon 1500 SLE;SUV;USA;Front;$35,725;$31,361;4.8;8;285;16;19;5042;116;199
144;GMC;Yukon XL 2500 SLT;SUV;USA;All;$46,265;$40,534;6;8;325;13;17;6133;130;219
145;GMC;Safari SLE;Sedan;USA;Rear;$25,640;$23,215;4.3;6;190;16;20;4309;111;190
146;GMC;Canyon Z85 SL Regular Cab;Truck;USA;Rear;$16,530;$14,877;2.8;4;175;18;25;3351;111;192
147;GMC;Sierra Extended Cab 1500;Truck;USA;Rear;$25,717;$22,604;4.8;8;285;17;20;4548;144;230
148;GMC;Sierra HD 2500;Truck;USA;All;$29,322;$25,759;6;8;300;13;18;5440;133;222
149;GMC;Sonoma Crew Cab;Truck;USA;All;$25,395;$23,043;4.3;6;190;15;19;4083;123;208
150;Honda;Civic Hybrid 4dr manual (gas/electric);Hybrid;Asia;Front;$20,140;$18,451;1.4;4;93;46;51;2732;103;175
151;Honda;Insight 2dr (gas/electric);Hybrid;Asia;Front;$19,110;$17,911;2;3;73;60;66;1850;95;155
152;Honda;Pilot LX;SUV;Asia;All;$27,560;$24,843;3.5;6;240;17;22;4387;106;188
153;Honda;CR-V LX;SUV;Asia;All;$19,860;$18,419;2.4;4;160;21;25;3258;103;179
154;Honda;Element LX;SUV;Asia;All;$18,690;$17,334;2.4;4;160;21;24;3468;101;167
155;Honda;Civic DX 2dr;Sedan;Asia;Front;$13,270;$12,175;1.7;4;115;32;38;2432;103;175
156;Honda;Civic HX 2dr;Sedan;Asia;Front;$14,170;$12,996;1.7;4;117;36;44;2500;103;175
157;Honda;Civic LX 4dr;Sedan;Asia;Front;$15,850;$14,531;1.7;4;115;32;38;2513;103;175
158;Honda;Accord LX 2dr;Sedan;Asia;Front;$19,860;$17,924;2.4;4;160;26;34;2994;105;188
159;Honda;Accord EX 2dr;Sedan;Asia;Front;$22,260;$20,080;2.4;4;160;26;34;3047;105;188
160;Honda;Civic EX 4dr;Sedan;Asia;Front;$17,750;$16,265;1.7;4;127;32;37;2601;103;175
161;Honda;Civic Si 2dr hatch;Sedan;Asia;Front;$19,490;$17,849;2;4;160;26;30;2782;101;166
162;Honda;Accord LX V6 4dr;Sedan;Asia;Front;$23,760;$21,428;3;6;240;21;30;3349;108;190
163;Honda;Accord EX V6 2dr;Sedan;Asia;Front;$26,960;$24,304;3;6;240;21;30;3294;105;188
164;Honda;Odyssey LX;Sedan;Asia;Front;$24,950;$22,498;3.5;6;240;18;25;4310;118;201
165;Honda;Odyssey EX;Sedan;Asia;Front;$27,450;$24,744;3.5;6;240;18;25;4365;118;201
166;Honda;S2000 convertible 2dr;Sports;Asia;Rear;$33,260;$29,965;2.2;4;240;20;25;2835;95;162
167;Hummer;H2;SUV;USA;All;$49,995;$45,815;6;8;316;10;12;6400;123;190
168;Hyundai;Santa Fe GLS;SUV;Asia;Front;$21,589;$20,201;2.7;6;173;20;26;3549;103;177
169;Hyundai;Accent 2dr hatch;Sedan;Asia;Front;$10,539;$10,107;1.6;4;103;29;33;2255;96;167
170;Hyundai;Accent GL 4dr;Sedan;Asia;Front;$11,839;$11,116;1.6;4;103;29;33;2290;96;167
171;Hyundai;Accent GT 2dr hatch;Sedan;Asia;Front;$11,939;$11,209;1.6;4;103;29;33;2339;96;167
172;Hyundai;Elantra GLS 4dr;Sedan;Asia;Front;$13,839;$12,781;2;4;138;26;34;2635;103;178
173;Hyundai;Elantra GT 4dr;Sedan;Asia;Front;$15,389;$14,207;2;4;138;26;34;2635;103;178
174;Hyundai;Elantra GT 4dr hatch;Sedan;Asia;Front;$15,389;$14,207;2;4;138;26;34;2698;103;178
175;Hyundai;Sonata GLS 4dr;Sedan;Asia;Front;$19,339;$17,574;2.7;6;170;19;27;3217;106;187
176;Hyundai;Sonata LX 4dr;Sedan;Asia;Front;$20,339;$18,380;2.7;6;170;19;27;3217;106;187
177;Hyundai;XG350 4dr;Sedan;Asia;Front;$24,589;$22,055;3.5;6;194;17;26;3651;108;192
178;Hyundai;XG350 L 4dr;Sedan;Asia;Front;$26,189;$23,486;3.5;6;194;17;26;3651;108;192
179;Hyundai;Tiburon GT V6 2dr;Sports;Asia;Front;$18,739;$17,101;2.7;6;172;19;26;3023;100;173
180;Infiniti;G35 4dr;Sedan;Asia;Rear;$28,495;$26,157;3.5;6;260;18;26;3336;112;187
181;Infiniti;G35 Sport Coupe 2dr;Sedan;Asia;Rear;$29,795;$27,536;3.5;6;280;18;26;3416;112;182
182;Infiniti;G35 4dr;Sedan;Asia;All;$32,445;$29,783;3.5;6;260;18;26;3677;112;187
183;Infiniti;I35 4dr;Sedan;Asia;Front;$31,145;$28,320;3.5;6;255;19;26;3306;108;194
184;Infiniti;M45 4dr;Sedan;Asia;Rear;$42,845;$38,792;4.5;8;340;17;23;3851;110;197
185;Infiniti;Q45 Luxury 4dr;Sedan;Asia;Rear;$52,545;$47,575;4.5;8;340;17;23;3977;113;200
186;Infiniti;FX35;Wagon;Asia;Rear;$34,895;$31,756;3.5;6;280;16;22;4056;112;189
187;Infiniti;FX45;Wagon;Asia;All;$36,395;$33,121;4.5;8;315;15;19;4309;112;189
188;Isuzu;Ascender S;SUV;Asia;All;$31,849;$29,977;4.2;6;275;15;20;4967;129;208
189;Isuzu;Rodeo S;SUV;Asia;Front;$20,449;$19,261;3.2;6;193;17;21;3836;106;178
190;Jaguar;X-Type 2.5 4dr;Sedan;Europe;All;$29,995;$27,355;2.5;6;192;18;26;3428;107;184
191;Jaguar;X-Type 3.0 4dr;Sedan;Europe;All;$33,995;$30,995;3;6;227;18;25;3516;107;184
192;Jaguar;S-Type 3.0 4dr;Sedan;Europe;Rear;$43,895;$40,004;3;6;235;18;26;3777;115;192
193;Jaguar;S-Type 4.2 4dr;Sedan;Europe;Rear;$49,995;$45,556;4.2;8;294;18;28;3874;115;192
194;Jaguar;S-Type R 4dr;Sedan;Europe;Rear;$63,120;$57,499;4.2;8;390;17;24;4046;115;192
195;Jaguar;Vanden Plas 4dr;Sedan;Europe;Rear;$68,995;$62,846;4.2;8;294;18;28;3803;119;200
196;Jaguar;XJ8 4dr;Sedan;Europe;Rear;$59,995;$54,656;4.2;8;294;18;28;3803;119;200
197;Jaguar;XJR 4dr;Sedan;Europe;Rear;$74,995;$68,306;4.2;8;390;17;24;3948;119;200
198;Jaguar;XK8 coupe 2dr;Sports;Europe;Rear;$69,995;$63,756;4.2;8;294;18;26;3779;102;187
199;Jaguar;XK8 convertible 2dr;Sports;Europe;Rear;$74,995;$68,306;4.2;8;294;18;26;3980;102;187
200;Jaguar;XKR coupe 2dr;Sports;Europe;Rear;$81,995;$74,676;4.2;8;390;16;23;3865;102;187
201;Jaguar;XKR convertible 2dr;Sports;Europe;Rear;$86,995;$79,226;4.2;8;390;16;23;4042;102;187
202;Jeep;Grand Cherokee Laredo;SUV;USA;Front;$27,905;$25,686;4;6;195;16;21;3790;106;181
203;Jeep;Liberty Sport;SUV;USA;All;$20,130;$18,973;2.4;4;150;20;24;3826;104;174
204;Jeep;Wrangler Sahara convertible 2dr;SUV;USA;All;$25,520;$23,275;4;6;190;16;19;3575;93;150
205;Kia;Sorento LX;SUV;Asia;Front;$19,635;$18,630;3.5;6;192;16;19;4112;107;180
206;Kia;Optima LX 4dr;Sedan;Asia;Front;$16,040;$14,910;2.4;4;138;23;30;3281;106;186
207;Kia;Rio 4dr manual;Sedan;Asia;Front;$10,280;$9,875;1.6;4;104;26;33;2403;95;167
208;Kia;Rio 4dr auto;Sedan;Asia;Front;$11,155;$10,705;1.6;4;104;25;32;2458;95;167
209;Kia;Spectra 4dr;Sedan;Asia;Front;$12,360;$11,630;1.8;4;124;24;32;2661;101;178
210;Kia;Spectra GS 4dr hatch;Sedan;Asia;Front;$13,580;$12,830;1.8;4;124;24;32;2686;101;178
211;Kia;Spectra GSX 4dr hatch;Sedan;Asia;Front;$14,630;$13,790;1.8;4;124;24;32;2697;101;178
212;Kia;Optima LX V6 4dr;Sedan;Asia;Front;$18,435;$16,850;2.7;6;170;20;27;3279;106;186
213;Kia;Amanti 4dr;Sedan;Asia;Front;$26,000;$23,764;3.5;6;195;17;25;4021;110;196
214;Kia;Sedona LX;Sedan;Asia;Front;$20,615;$19,400;3.5;6;195;16;22;4802;115;194
215;Kia;Rio Cinco;Wagon;Asia;Front;$11,905;$11,410;1.6;4;104;26;33;2447;95;167
216;Land Rover;Range Rover HSE;SUV;Europe;All;$72,250;$65,807;4.4;8;282;12;16;5379;113;195
217;Land Rover;Discovery SE;SUV;Europe;All;$39,250;$35,777;4.6;8;217;12;16;4576;100;185
218;Land Rover;Freelander SE;SUV;Europe;All;$25,995;$23,969;2.5;6;174;18;21;3577;101;175
219;Lexus;GX 470;SUV;Asia;All;$45,700;$39,838;4.7;8;235;15;19;4740;110;188
220;Lexus;LX 470;SUV;Asia;All;$64,800;$56,455;4.7;8;235;13;17;5590;112;193
221;Lexus;RX 330;SUV;Asia;All;$39,195;$34,576;3.3;6;230;18;24;4065;107;186
222;Lexus;ES 330 4dr;Sedan;Asia;Front;$32,350;$28,755;3.3;6;225;20;29;3460;107;191
223;Lexus;IS 300 4dr manual;Sedan;Asia;Rear;$31,045;$27,404;3;6;215;18;25;3255;105;177
224;Lexus;IS 300 4dr auto;Sedan;Asia;Rear;$32,415;$28,611;3;6;215;18;24;3285;105;177
225;Lexus;GS 300 4dr;Sedan;Asia;Rear;$41,010;$36,196;3;6;220;18;25;3649;110;189
226;Lexus;GS 430 4dr;Sedan;Asia;Rear;$48,450;$42,232;4.3;8;300;18;23;3715;110;189
227;Lexus;LS 430 4dr;Sedan;Asia;Rear;$55,750;$48,583;4.3;8;290;18;25;3990;115;197
228;Lexus;SC 430 convertible 2dr;Sports;Asia;Rear;$63,200;$55,063;4.3;8;300;18;23;3840;103;178
229;Lexus;IS 300 SportCross;Wagon;Asia;Rear;$32,455;$28,647;3;6;215;18;24;3410;105;177
230;Lincoln;Navigator Luxury;SUV;USA;All;$52,775;$46,360;5.4;8;300;13;18;5969;119;206
231;Lincoln;Aviator Ultimate;SUV;USA;Front;$42,915;$39,443;4.6;8;302;13;18;4834;114;193
232;Lincoln;LS V6 Luxury 4dr;Sedan;USA;Rear;$32,495;$29,969;3;6;232;20;26;3681;115;194
233;Lincoln;LS V6 Premium 4dr;Sedan;USA;Rear;$36,895;$33,929;3;6;232;20;26;3681;115;194
234;Lincoln;LS V8 Sport 4dr;Sedan;USA;Rear;$40,095;$36,809;3.9;8;280;17;24;3768;115;194
235;Lincoln;LS V8 Ultimate 4dr;Sedan;USA;Rear;$43,495;$39,869;3.9;8;280;17;24;3768;115;194
236;Lincoln;Town Car Signature 4dr;Sedan;USA;Rear;$41,815;$38,418;4.6;8;239;17;25;4369;118;215
237;Lincoln;Town Car Ultimate 4dr;Sedan;USA;Rear;$44,925;$41,217;4.6;8;239;17;25;4369;118;215
238;Lincoln;Town Car Ultimate L 4dr;Sedan;USA;Rear;$50,470;$46,208;4.6;8;239;17;25;4474;124;221
239;MINI;Cooper;Sedan;Europe;Front;$16,999;$15,437;1.6;4;115;28;37;2524;97;143
