tucaseid,tulineno,eeincome1,erbmi,erhhch,erincome,erspemch,ertpreat,ertseat,ethgt,etwgt,eudietsoda,eudrink,eueat,euexercise,euexfreq,eufastfd,eufastfdfrq,euffyday,eufdsit,eufinlwgt,eusnap,eugenhth,eugroshp,euhgt,euinclvl,euincome2,eumeat,eumilk,euprpmel,eusoda,eustores,eustreason,eutherm,euwgt,euwic,exincome1
20140101140875,1,1,25.299999,3,1,5,47,15,0,0,2,1,1,2,-1,1,1,2,1,1.41e+07,2,2,2,70,5,-1,2,2,3,1,-1,-1,-1,176,-1,0
20140101140876,1,1,33.400002,3,1,5,90,0,0,0,-1,1,2,2,-1,1,3,1,1,4744277,2,3,3,58,5,-1,1,2,1,2,2,1,2,160,-1,0
20140101140885,1,-3,25.5,3,-1,-1,45,0,0,0,-1,2,2,2,-1,1,1,1,1,5131320,2,2,1,61,5,-3,1,2,1,-1,1,1,2,135,-1,3
20140101140911,1,1,30,3,1,5,180,10,0,0,-1,1,1,2,-1,1,1,2,1,1.03e+07,2,5,1,65,5,-1,1,2,1,2,1,3,2,180,-1,0
20140101140940,1,1,34.299999,3,1,5,30,10,0,0,2,1,1,2,-1,1,2,2,1,3958890,2,4,2,73,5,-1,-1,-1,2,1,-1,-1,-1,260,2,0
20140101140958,1,1,29.1,1,1,5,90,10,0,0,-1,2,1,2,-1,2,-1,-1,1,1.02e+07,2,3,1,62,5,-1,-1,-1,2,-1,1,1,-1,159,2,0
20140101140967,1,2,23.799999,3,5,-1,65,5,0,0,1,1,1,2,-1,2,-1,-1,1,3853025,2,2,1,62,5,2,1,2,1,1,2,2,2,130,-1,0
20140101140973,1,2,26.5,3,5,5,90,0,0,0,-1,2,2,1,7,2,-1,-1,1,1.32e+07,2,1,2,73,5,3,-1,-1,2,-1,-1,-1,-1,201,2,0
20140101140990,1,1,36.599998,3,1,-1,10,3,0,0,-1,1,1,1,4,2,-1,-1,1,5506050,2,2,1,72,5,-1,1,2,3,2,2,6,2,270,-1,0
20140101140995,1,1,28.200001,3,1,5,95,0,0,0,-1,2,2,1,2,2,-1,-1,1,7947619,2,2,1,66,5,-1,1,2,1,-1,2,4,2,175,2,0
20140101141014,1,1,19.799999,3,1,-1,130,30,0,0,2,1,1,1,1,2,-1,-1,1,1.46e+07,2,2,2,61,5,-1,-1,-1,2,1,-1,-1,-1,105,2,0
20140101141056,1,2,21.5,3,5,-1,20,0,0,0,-1,1,2,2,-1,2,-1,-1,1,5255984,1,3,2,64,5,2,1,2,1,2,-1,-1,2,125,-1,0
20140101141081,1,2,21.200001,3,5,-1,130,0,0,0,-1,2,2,1,7,2,-1,-1,1,2194521,2,2,1,75,5,3,1,2,1,-1,1,2,2,170,-1,0
20140101141134,1,1,27.1,3,1,5,105,0,0,0,-1,2,2,1,3,2,-1,-1,1,1.44e+07,2,2,3,70,5,-1,2,2,3,-1,1,6,-1,189,-1,0
20140101141177,1,1,30.6,3,1,-1,85,0,0,0,-1,1,2,1,5,1,1,2,1,3411131,2,2,1,64,5,-1,2,2,1,2,2,2,-1,178,-1,0
20140101141179,1,-3,31.6,3,-1,-1,30,4,0,0,-1,1,1,1,4,2,-1,-1,1,1.33e+07,2,1,2,65,5,-3,1,2,1,2,-1,-1,2,190,-1,3
20140101141180,1,1,18.299999,3,1,-1,145,0,0,0,-1,1,2,1,2,1,4,2,1,8027658,2,2,1,65,5,-1,1,2,1,2,1,2,2,110,2,0
20140101141214,1,2,26.5,3,5,-1,60,5,0,0,-1,2,1,1,5,2,-1,-1,1,5309091,1,3,1,62,5,2,1,2,1,-1,1,2,2,145,-1,0
20140101141232,1,3,24.200001,3,2,-1,15,0,0,0,2,1,2,2,-1,1,1,2,1,1792706,2,2,1,60,5,-1,1,2,1,1,1,1,2,124,-1,0
20140101141282,1,2,27.4,3,5,-1,30,0,0,0,-1,1,2,2,-1,2,-1,-1,1,1889444,1,5,1,62,5,2,1,2,1,2,1,1,2,150,-1,0
20140101141288,1,2,25.799999,3,5,-1,45,0,0,0,-1,2,2,1,3,1,3,2,1,4250445,2,2,1,71,5,2,1,2,1,-1,2,1,2,185,-1,0
20140101141321,1,1,23.5,3,1,5,5,15,0,0,-1,1,1,2,-1,1,1,1,1,5646241,2,1,3,67,5,-1,-1,-1,2,2,2,6,-1,150,-1,0
20140101141331,1,1,25.700001,3,1,-1,150,0,0,0,-1,2,2,1,7,2,-1,-1,1,7639916,2,3,1,63,5,-1,1,2,1,-1,1,3,2,145,-1,0
20140101141365,1,3,33.700001,3,2,5,170,5,0,0,-1,2,1,1,4,2,-1,-1,1,2887358,2,4,3,70,5,-1,1,2,3,-1,3,1,1,235,-1,0
20140101141379,1,1,22.5,3,1,-1,45,10,0,0,-1,1,1,1,3,2,-1,-1,1,1450660,2,1,1,74,5,-1,1,2,1,2,1,2,2,175,2,0
20140101141381,1,1,25.799999,3,1,5,120,5,0,0,-1,2,1,2,-1,1,4,2,1,6446863,2,2,1,67,5,-1,1,2,1,-1,3,3,2,165,2,0
20140101141386,1,1,26.5,3,1,-1,120,0,0,0,-1,1,2,1,6,1,7,1,1,4570669,2,3,1,67,5,-3,1,2,1,2,1,2,2,169,-1,81
20140101141409,1,1,28.299999,3,1,-1,45,0,0,0,-1,1,2,1,5,1,4,1,1,9823042,2,4,2,65,5,-2,-1,-1,2,2,-1,-1,-1,170,2,75
20140101141418,1,1,19.5,3,1,2,134,15,0,0,-1,1,1,1,14,1,3,2,1,1.05e+07,2,1,1,60,5,-1,1,2,1,2,1,2,2,100,-1,0
20140101141430,1,3,23.700001,3,2,5,60,30,0,0,-1,1,1,2,-1,1,2,1,1,4560263,2,4,2,72,5,-1,-1,-1,2,2,-1,-1,-1,175,-1,0
20140101141449,1,1,23.5,1,1,-1,45,22,0,0,-1,2,1,1,3,1,3,1,1,1.03e+07,2,3,2,67,5,-1,-1,-1,2,-1,-1,-1,-1,150,2,0
20140101141488,1,1,21.799999,3,1,-1,40,20,0,0,1,1,1,1,2,1,3,2,1,3129315,2,3,1,64,5,-1,1,2,1,1,1,3,1,127,2,0
20140101141502,1,2,25.799999,3,3,5,85,120,0,0,-1,2,1,1,7,2,-1,-1,1,1.77e+07,2,2,2,69,5,1,-1,-1,2,-1,-1,-1,-1,175,-1,0
20140101141515,1,1,36,3,1,-1,125,90,0,0,1,1,1,2,-1,1,4,1,1,2803016,2,4,1,68,5,-1,1,2,1,1,2,1,2,237,-1,0
20140101141556,1,1,34.900002,3,1,-1,75,2,0,0,-1,1,1,1,4,1,2,2,1,6412081,2,3,1,71,5,-1,1,2,1,2,1,3,2,250,-1,0
20140101141584,1,1,28.1,3,1,5,42,15,0,0,-1,2,1,2,-1,1,1,1,1,8620967,2,2,1,69,5,-1,1,2,1,-1,1,2,2,190,2,0
20140101141589,1,1,29,3,1,5,53,0,0,0,-1,1,2,2,-1,2,-1,-1,1,1.43e+07,2,2,1,66,5,-1,1,2,1,2,1,5,2,180,-1,0
20140101141629,1,1,24.299999,3,1,5,0,55,0,0,1,1,1,2,-1,1,1,2,1,1.42e+07,2,3,3,68,5,-1,1,2,1,1,2,4,1,160,-1,0
20140101141646,1,1,29,3,1,5,45,20,0,0,-1,1,1,2,-1,1,2,2,1,7277043,2,2,1,70,5,-1,1,2,1,2,1,3,2,202,2,0
20140101141661,1,1,34.700001,3,1,5,120,0,0,0,-1,1,2,1,1,1,2,2,1,5549820,2,4,3,74,5,-1,1,2,3,2,1,6,2,270,2,0
20140101141672,1,2,-1,3,5,5,25,15,0,-1,1,1,1,2,-1,1,2,2,1,2.82e+07,1,2,1,64,5,2,1,2,1,1,2,1,1,-5,1,0
20140101141687,1,1,26.5,3,1,5,40,2,0,0,-1,2,1,2,-1,1,3,1,1,1.54e+07,2,2,2,70,5,-1,-1,-1,2,-1,-1,-1,-1,185,2,0
20140101141690,1,1,24.200001,2,1,-1,0,10,0,0,-1,2,1,2,-1,1,2,1,1,1.03e+07,2,3,2,66,5,-2,-1,-1,2,-1,-1,-1,-1,150,2,73
20140101141724,1,2,31.1,3,5,-1,65,5,0,0,1,1,1,2,-1,2,-1,-1,1,1906751,2,2,1,65,5,2,1,2,1,1,1,1,2,187,-1,0
20140101141777,1,1,26.6,3,1,-1,70,120,0,0,-1,1,1,2,-1,2,-1,-1,1,1.00e+07,2,3,2,64,5,-1,-1,-1,2,2,-1,-1,-1,155,-1,0
20140101141795,1,1,30.1,3,1,-1,60,15,0,0,-1,2,1,2,-1,1,3,2,1,4322266,2,3,1,70,5,-1,1,2,1,-1,2,4,2,210,2,0
20140101141796,1,1,29.5,3,1,5,75,15,0,0,1,1,1,1,3,1,2,2,1,3043446,2,2,2,74,5,-1,-1,-1,2,1,-1,-1,-1,230,2,0
20140101141817,1,1,29,3,1,5,25,15,0,0,1,1,1,1,3,2,-1,-1,1,4967073,2,2,1,75,5,-1,1,2,3,1,2,1,2,232,-1,0
20140101141837,1,-2,-1,3,-1,-1,150,0,-1,-1,-1,2,2,1,3,1,3,2,1,1.24e+07,2,3,1,-2,5,-2,1,2,1,-1,1,3,2,-2,-1,2
20140101141841,1,1,20.799999,3,1,-1,140,60,0,0,-1,1,1,1,5,2,-1,-1,1,2031125,2,2,1,62,5,-1,2,2,1,2,1,3,-1,114,-1,0
20140101141860,1,2,24.4,3,5,-1,17,0,0,0,-1,1,2,2,-1,1,2,2,2,3451716,2,3,3,71,5,3,1,2,3,2,2,2,2,175,2,0
20140101141863,1,2,20.799999,3,5,-1,40,0,0,0,-1,1,2,2,-1,2,-1,-1,1,4017246,1,2,1,62,5,2,1,2,1,2,2,1,2,114,1,0
20140101141897,1,1,36.599998,3,1,5,20,40,0,0,-1,1,1,2,-1,1,1,2,1,9742015,2,4,2,62,5,-1,1,2,1,2,-1,-1,2,200,-1,0
20140101141928,1,1,27.4,3,1,5,120,2,0,0,2,1,1,1,2,1,3,1,1,7287974,2,2,3,68,5,-1,-1,-1,2,1,2,1,-1,180,2,0
20140101142008,1,3,32,3,2,-1,65,70,0,0,-1,1,1,2,-1,1,2,2,1,6595188,2,3,1,66,5,-1,1,2,1,2,1,2,2,198,-1,0
20140101142020,1,1,24.299999,3,1,-1,35,20,0,0,-1,2,1,1,1,1,10,1,1,3977557,2,2,1,68,5,-1,1,2,1,-1,1,2,2,160,2,0
20140101142022,1,1,30.200001,3,1,-1,20,0,0,0,-1,2,2,1,7,1,4,2,1,3061842,2,3,1,62,5,-1,1,2,1,-1,1,4,2,165,2,0
20140101142036,1,1,26.6,3,1,-1,80,7,0,0,-1,2,1,1,3,2,-1,-1,1,3.11e+07,2,3,2,68,5,-1,-1,-1,2,-1,-1,-1,-1,175,2,0
20140101142043,1,1,37.599998,3,1,5,40,0,0,0,-1,1,2,2,-1,1,2,2,1,1.01e+07,2,3,1,67,5,-1,1,2,1,2,2,4,2,240,2,0
20140101142048,1,1,21.299999,3,1,5,50,30,0,0,-1,2,1,1,2,2,-1,-1,1,5582231,2,3,1,63,5,-1,1,2,1,-1,1,4,2,120,2,0
20140101142071,1,1,-1,3,1,-1,0,20,0,-1,-1,1,1,2,-1,1,4,1,1,4064888,2,2,1,65,5,-1,1,2,1,2,2,4,2,-5,2,0
20140101142108,1,2,33.400002,3,3,-1,90,10,0,0,-1,2,1,1,2,2,-1,-1,1,5589499,2,3,1,58,5,1,2,2,1,-1,1,1,-1,160,-1,0
20140101142132,1,1,-1,3,1,5,120,0,0,-1,-1,2,2,2,-1,1,6,1,1,6632030,2,4,1,71,5,-3,1,2,1,-1,1,4,1,-3,2,81
20140101142146,1,2,28.299999,1,2,5,120,10,0,0,-1,2,1,1,1,2,-1,-1,1,8323761,2,3,1,65,5,-2,1,2,1,-1,2,2,2,170,2,0
20140101142168,1,1,30.4,3,1,-1,30,10,0,0,-1,2,1,2,-1,1,1,2,1,6452489,2,3,1,70,5,-1,1,2,1,-1,2,4,2,212,-1,0
20140101142188,1,-3,25.200001,3,-1,5,70,60,0,0,-1,2,1,1,21,1,1,2,1,1.16e+07,2,2,2,72,5,-3,1,2,3,-1,-1,-1,1,186,-1,3
20140101142193,1,1,28.6,3,1,5,45,0,0,0,-1,2,2,1,10,1,5,2,1,1.37e+07,2,2,3,76,5,-1,1,2,3,-1,1,2,2,235,-1,0
20140101142205,1,1,32.200001,3,1,5,30,30,0,0,1,1,1,1,3,1,3,2,1,1.23e+07,2,4,1,60,5,-1,1,2,1,1,1,1,2,165,-1,0
20140101142228,1,2,31.799999,3,3,5,0,30,0,0,-1,1,1,2,-1,1,2,2,1,6337685,2,4,1,64,5,1,1,2,1,2,1,1,1,185,2,0
20140101142230,1,2,25.799999,3,3,-1,45,60,0,0,2,1,1,2,-1,2,-1,-1,1,2422206,2,3,1,66,5,1,1,2,1,1,2,4,2,160,2,0
20140101142236,1,2,21.1,3,3,-1,106,60,0,0,2,1,1,1,1,1,1,2,1,1.73e+07,2,1,2,67,5,1,-1,-1,2,1,-1,-1,-1,135,2,0
20140101142253,1,1,29.1,3,1,5,120,0,0,0,-1,1,2,1,5,1,1,2,1,1.94e+07,2,3,1,65,5,-1,2,2,1,2,1,3,-1,175,2,0
20140101142257,1,-2,29.299999,3,-1,-1,60,0,0,0,2,1,2,2,-1,2,-1,-1,1,1838744,2,2,1,58,5,-2,-1,-1,2,1,1,-2,-1,140,-1,2
20140101142265,1,2,22.299999,3,5,5,90,0,0,0,2,1,2,2,-1,1,1,1,1,1.02e+07,1,4,1,64,5,3,1,2,1,1,2,2,2,130,1,0
20140101142278,1,3,30.700001,3,2,-1,60,0,0,0,-1,2,2,1,2,1,1,2,1,1.06e+07,2,3,2,71,5,-1,-1,-1,2,-1,-1,-1,-1,220,-1,0
20140101142301,1,1,23.6,2,1,-1,29,0,0,0,-1,2,2,2,-1,1,2,1,1,1.52e+07,2,3,1,65,5,-1,1,2,1,-1,2,4,2,142,-1,0
20140101142319,1,-3,23.6,3,-1,-1,45,0,0,0,1,1,2,2,-1,1,1,2,1,4375672,2,3,1,61,5,-3,2,2,1,1,2,1,-1,125,-1,3
20140101142325,1,-3,28.200001,3,-1,-1,90,0,0,0,2,1,2,2,-1,1,1,2,1,7693788,2,2,1,66,5,-3,2,2,1,1,1,2,-1,175,-1,3
20140101142328,1,1,23,3,1,-1,0,20,0,0,1,1,1,1,2,1,4,2,1,4443883,1,3,1,65,5,-1,2,2,1,1,2,1,-1,138,-1,0
20140101142357,1,2,31.700001,3,3,5,25,30,0,0,1,1,1,1,3,1,2,2,1,4197994,1,2,2,69,5,1,1,2,1,1,-1,-1,2,215,2,0
20140101142363,1,1,27.5,3,1,-1,75,0,0,0,-1,2,2,2,-1,2,-1,-1,1,1878211,2,3,1,64,5,-1,1,2,1,-1,1,2,2,160,-1,0
20140101142378,1,2,29,3,3,5,15,2,0,0,2,1,1,1,3,1,2,2,1,6225885,2,3,1,67,5,1,1,2,1,1,1,6,1,185,2,0
20140101142406,1,1,24.799999,3,1,-1,0,20,0,0,-1,1,1,1,5,1,1,2,1,8263567,2,2,1,69,5,-1,1,2,1,2,3,1,2,168,2,0
20140101142416,1,1,32.900002,3,1,5,40,50,0,0,-1,1,1,2,-1,2,-1,-1,1,1.27e+07,2,2,1,62,5,-1,1,2,1,2,1,2,2,180,-1,0
20140101142417,1,1,19.700001,3,1,5,90,10,0,0,-1,1,1,2,-1,1,2,2,1,3371634,2,2,1,64,5,-1,1,2,1,2,2,1,2,115,2,0
20140101142433,1,1,17.200001,3,1,5,60,35,0,0,-1,1,1,1,4,2,-1,-1,1,3057383,2,1,2,64,5,-1,1,2,3,2,-1,-1,2,100,-1,0
20140101142452,1,1,25.6,3,1,-1,15,30,0,0,-1,1,1,1,4,2,-1,-1,1,1567511,2,2,1,62,5,-1,1,2,1,2,1,2,2,140,-1,0
20140110130935,1,1,35.400002,3,1,5,180,630,0,0,-1,2,1,2,-1,2,-1,-1,1,2945121,2,5,3,63,5,-1,1,2,1,-1,1,1,2,200,-1,0
20140110132111,1,1,25.1,3,1,5,85,150,0,0,-1,1,1,1,4,1,2,2,1,2662898,2,2,3,72,5,-1,-1,-1,2,2,1,4,-1,185,2,0
20140110132335,1,1,26.9,3,1,-1,55,15,0,0,-1,1,1,1,7,2,-1,-1,1,1504183,2,2,1,63,5,-1,1,2,1,2,1,3,2,152,-1,0
20140111130038,1,2,21.1,2,5,-1,15,0,0,0,-1,2,2,1,7,2,-1,-1,1,5053553,1,3,1,66,5,2,1,2,1,-1,1,2,2,131,2,0
20140111130133,1,2,26.9,3,5,-1,30,0,0,0,-1,2,2,2,-1,2,-1,-1,1,3011966,1,3,1,62,5,2,1,1,1,-1,1,1,2,147,-1,0
20140111130136,1,2,33.200001,3,3,5,120,0,0,0,-1,2,2,1,2,1,2,1,1,1.35e+07,2,2,2,69,5,1,-1,-1,2,-1,-1,-1,-1,225,-1,0
20140111130147,1,1,28.299999,3,1,5,25,50,0,0,-1,1,1,2,-1,1,7,2,1,4428597,2,2,1,63,5,-1,1,2,1,2,2,2,2,160,-1,0
20140111130176,1,1,34.200001,3,1,5,90,15,0,0,-1,1,1,1,2,1,1,2,1,9904728,2,4,2,71,5,-1,1,2,3,2,-1,-1,2,245,2,0
20140111130501,1,2,31.799999,3,5,-1,25,0,0,0,-1,2,2,2,-1,1,2,2,1,5.64e+07,2,1,1,66,5,2,-1,-1,2,-1,3,3,-1,197,2,0
20140111130502,1,1,23.799999,1,1,5,135,0,0,0,2,1,2,1,1,1,1,2,1,7511613,2,2,2,65,5,-1,-1,-1,2,1,-1,-1,-1,143,2,0
20140111130503,1,2,42.799999,3,5,-1,30,5,0,0,-1,2,1,2,-1,2,-1,-1,1,4787054,2,4,1,69,5,3,1,2,1,-1,1,2,2,290,2,0
20140111130508,1,2,23.700001,3,3,-1,50,20,0,0,2,1,1,1,2,2,-1,-1,1,1.39e+07,2,1,2,72,5,1,-1,-1,2,1,-1,-1,-1,175,-1,0
20140111130521,1,1,21.700001,3,1,5,45,40,0,0,-1,2,1,1,6,1,6,1,1,3541175,2,1,3,58,5,-1,1,2,1,-1,2,2,2,104,2,0
20140111130562,1,1,27.4,3,1,5,70,20,0,0,-1,1,1,1,3,2,-1,-1,1,4759420,2,2,1,67,5,-1,1,2,1,2,1,2,2,175,-1,0
20140111130564,1,1,26.5,3,1,5,60,120,0,0,-1,1,1,2,-1,2,-1,-1,1,5996266,2,1,1,70,5,-1,-1,-1,2,2,1,1,-1,185,2,0
20140111130568,1,1,36.599998,3,1,5,75,0,0,0,-1,1,2,1,3,2,-1,-1,1,2896359,2,3,1,62,5,-1,1,2,1,2,1,5,2,200,2,0
20140111130584,1,1,30.4,3,1,-1,45,30,0,0,2,1,1,1,4,1,3,2,1,6280399,2,3,2,68,5,1,-1,-1,2,1,-1,-1,-1,200,2,73
20140111130585,1,2,22.1,3,5,-1,50,0,0,0,-1,1,2,1,5,2,-1,-1,1,2.18e+07,2,3,2,63,5,2,-1,-1,2,2,-1,-1,-1,125,2,0
20140111130596,1,1,21.299999,3,1,-1,75,5,0,0,-1,1,1,1,3,1,1,2,1,2468154,2,1,1,63,5,-1,1,2,1,2,1,4,1,120,2,0
20140111130618,1,2,37,3,5,5,120,0,2,0,-1,2,2,2,-1,2,-1,-1,1,1.07e+07,1,3,1,56,5,2,-1,-1,2,-1,2,1,-1,165,2,0
20140111130624,1,1,26.200001,2,1,5,65,10,0,0,-1,1,1,2,-1,1,4,2,1,8031347,2,2,1,67,5,-1,1,1,1,2,2,2,2,167,2,0
20140111130650,1,1,25.9,3,1,5,75,0,0,0,-1,2,2,1,7,2,-1,-1,1,5056801,2,3,1,71,5,-1,1,2,1,-1,1,2,2,186,2,0
20140111130720,1,1,27.700001,3,1,5,105,2,0,0,2,1,1,1,4,2,-1,-1,1,6132372,2,1,1,73,5,-1,1,2,1,1,1,4,1,210,-1,0
20140111130730,1,1,18.5,3,1,5,75,-2,0,0,-1,1,-2,2,-1,1,2,1,1,4334633,2,4,1,68,5,-1,1,2,1,2,1,1,2,122,-1,0
20140111130758,1,2,27.1,3,3,-1,20,7,0,0,-1,1,1,2,-1,1,2,2,1,1.34e+07,2,1,1,66,5,1,1,2,1,2,1,1,2,168,-1,0
20140111130843,1,1,32.5,3,1,5,60,30,0,0,1,1,1,1,4,2,-1,-1,1,5593556,2,2,3,75,5,-1,1,2,3,1,1,2,2,260,2,0
20140111130858,1,2,-1,3,5,-1,20,0,0,-1,-1,1,2,2,-1,1,1,1,1,1046395,1,3,1,63,5,2,1,2,1,2,2,1,2,-3,-1,0
20140111130862,1,2,14.9,3,3,-1,15,5,0,2,-1,2,1,2,-1,2,-1,-1,1,5462663,2,3,1,68,5,1,1,2,1,-1,2,4,2,98,-1,0
20140111130868,1,2,36.900002,3,5,5,150,450,0,0,-1,2,1,2,-1,1,2,2,1,2521143,2,3,2,69,5,3,-1,-1,2,-1,-1,-1,-1,250,2,0
20140111130922,1,3,27.4,3,2,5,240,405,0,0,1,1,1,1,2,1,3,2,1,1.46e+07,2,1,1,67,5,-1,1,2,1,1,2,1,2,175,2,0
20140111130929,1,1,23.799999,3,1,3,155,0,0,0,-1,1,2,1,4,1,1,1,1,2158073,2,3,3,62,5,-1,1,2,1,2,1,2,1,130,-1,0
20140111130952,1,2,31.9,3,5,-1,90,0,0,0,-1,1,2,2,-1,2,-1,-1,1,2.16e+07,2,4,2,65,5,2,-1,-1,2,2,-1,-1,-1,192,2,0
20140111130981,1,1,23,3,1,5,40,0,0,0,-1,2,2,2,-1,1,2,1,1,3228745,2,3,3,63,5,-1,1,2,3,-1,2,3,2,130,2,0
20140111130984,1,1,19.200001,3,1,-1,15,85,0,0,-1,1,1,1,4,1,4,1,1,6736187,1,2,2,62,5,-1,-1,-1,2,2,-1,-1,-1,105,2,0
20140111130986,1,1,30.1,3,1,5,180,9,0,0,-1,1,1,1,1,2,-1,-1,1,3827015,2,2,1,70,5,-1,1,2,1,2,1,5,2,210,2,0
20140111130991,1,1,24.6,3,1,5,90,0,0,0,-1,2,2,1,2,2,-1,-1,1,1.11e+07,2,1,1,61,5,-1,1,2,1,-1,1,2,2,130,2,0
20140111130997,1,3,26.4,3,2,4,70,110,0,0,2,1,1,1,1,1,2,2,1,5687955,2,2,1,60,5,-1,1,2,1,1,1,2,2,135,-1,0
20140111130998,1,1,20.6,2,1,-1,60,20,0,0,-1,1,1,1,2,1,1,2,1,2.78e+07,2,2,2,71,5,-2,1,2,1,2,-1,-1,2,148,2,73
20140111131007,1,2,-1,3,5,-1,105,0,-1,0,-1,2,2,2,-1,2,-1,-1,1,2776192,2,4,1,-2,5,2,1,2,1,-1,4,2,1,140,-1,0
20140111131015,1,2,28.200001,3,5,-1,45,5,0,0,-1,2,1,2,-1,1,8,1,1,1.67e+07,2,3,2,66,5,2,-1,-1,2,-1,-1,-1,-1,175,2,0
20140111131019,1,1,30.700001,3,1,-1,175,0,0,0,-1,2,2,2,-1,2,-1,-1,1,3495704,2,3,1,59,5,-1,1,2,1,-1,1,4,2,152,-1,0
20140111131031,1,2,38.099998,1,5,5,40,5,0,0,-1,1,1,2,-1,1,7,1,1,4897606,1,3,2,64,5,2,-1,-1,2,2,-1,-1,-1,222,1,0
20140111131042,1,1,27.799999,3,1,-1,20,0,0,0,-1,2,2,1,1,1,1,2,1,1870681,2,2,1,66,5,-1,2,2,1,-1,3,6,-1,172,-1,0
20140111131046,1,1,21.6,3,1,2,15,30,0,0,-1,1,1,1,1,1,2,1,1,5682118,2,3,1,66,5,-1,1,2,1,2,1,2,2,134,-1,0
20140111131069,1,1,24.9,3,1,5,35,0,0,0,-1,1,2,1,3,1,3,2,1,5259030,2,1,2,64,5,-1,1,2,3,2,-1,-1,2,145,2,0
