description,identificator,num_counts,price,start_date,title
"Холмс молодой, стройный парень, изящный, элегантный! Настоящий стиляга!!! Возраст 3-4 года, рост 60 см в холке. Прекрасно ходит на поводке, но больше предпочитает резвиться на свободном выгуле. Ладит с собаками, никого никогда не обижает, может поиграть в догонялки, но недолго, т.к. всё же предпочитает общество человека. Задорным лаем встречает знакомых и с опаской относится к незнакомцам. Подружиться с ним просто: доброе отношение и поглаживание по голове - вмиг обернут ваши отношения в дружбу! Энергичный, добрый, ласковый с большой надеждой в глазах и действиях. Каждую неделю ждет, когда же наступит тот день, тот последний день в стенах приюта? Для Холмсика рассматриваем проживание в домашних условиях. Мальчик привит, кастрирован, здоров.",109007068,769,Неуказана,26 октября 2012,Холмс - настоящий стиляга собака в добрые руки
"Ляля. Возраст 3-4 года, стерилизована, привита, чипирована. Рост — средний, чуть выше колена. Ляля ласковая собака, которая очень любит фотографироваться и позировать, ее основные козыри — природная грация и глаза удивительного янтарного цвета. С другими собаками Ляля ведет себя дружелюбно, но не очень любит девочек, любит побегать, поиграть или же спокойно понаблюдать за сородичами. В приюте не удается уделять необходимого внимания каждой собаке, поэтому Ляля с благодарностью принимает ласку и даже немного стесняется, когда ее как-то выделяешь. Девочке необходим дом, приезжайте и забирайте нашу красавицу из приюта.",109834149,809,Неуказана,29 октября 2012,Ляля. Красивая умная добрая собака в дар
"Питомник ВОЛШЕБНЫЙ ЛЕС-Лучший питомник Европейского Конгресса ирландских волкодавов'06, 08, 10, 12 - предлагает щенков ИРЛАНДСКОГО ВОЛКОДАВА разных возрастов и окрасов от самых  титулованных производителей. Лучшие крови Европы и Ирландии. Всесторонняя помощь.  Запись на щенков на 2014-15 год.",1102518,38047,Неуказана,18 мая 2009,Ирландский волкодав щенки
"Морис. Рост в холке около 50 см. Привит, чипирован, кастрирован.  Морис - молодой крупный кобель благородной наружности, возраст не более 2 лет. Морис игривый и задорный пес. Жизнь в клетке не дает ему возможности направить всю кипучую энергию в правильное русло. Этот пес бесконечно любит прогулки, обожает и умеет играть с игрушками, хорошо ходит на поводке. Морису нужен хозяин, который будет проводить с ним много времени на улице, играть, а Морис честно обязуется охранять и любить его, ведь он еще ласковый пёс, которому просто необходим дом.",111108766,888,Неуказана,3 ноября 2012,Молодой крупный пес Морис ищет дом (в добрые руки)
"Лорри – обладательница красивых и всё понимающих глаз! Очень добрая и мудрая собака. Она общительная и ласковая, готова доверять людям, несмотря на то, что её жизнь полна невзгод. Фотография до конца не передает всей благородной красоты этой собаки. Она так же способна передать ту любовь, которую Лорри дарить людям за краткий миг общения и ласки.  Лорри знает свою кличку, что редкость для приютских собак. Ходит на поводке. Лорри 5-6 лет, три из которых она, к сожалению, провела в приюте. Рост в холке 50-55 см. Стерилизована.",111743646,1035,Неуказана,6 ноября 2012,Общительная и ласковая Лорри в добрые руки в дар
"Ураган. Молодой, жизнерадостный, развеселый мальчишка. Энергия бьет через край, на выгуле он буквально сносит все на своем пути - так радуется возможности побегать и попрыгать... К сожалению, в приюте большую часть времени он томится в клетке. Его выпускают только волонтеры, а значит, один раз в неделю.... Но как же радостно наблюдать, когда мальчик наконец вырывается на свободу и носится, носится, носится без устали, машет хвостиком, целует и обнимает всех подряд, благодаря людей за редкие счастливые минуты! Отдается в добрые руки.",113063458,2175,Неуказана,11 ноября 2012,"Ураган, молодой жизнерадостный пес в дар"
"Боня дама среднего возраста (не менее 6 лет), рост около 45 см в холке, гладкошерстная, приучена к поводку, уважает неспешные прогулки. Обладает уравновешенным характером и чувством собственного достоинства. Собака-лидер в стае при этом тотально послушна человеку. Подойдет взрослой паре, в семью, где нет других животных. Внешне здорова, стерилизована. Отдается в добрые руки.",114155467,1463,Неуказана,15 ноября 2012,Боня - собака с уравновешенным характером в дар
"Море позитива  ищет ВАС. Очаровательная и смышленая девочка, ласковая, игривая навсегда избавит Вас от стресса и плохого настроения! Приучена к проживанию в квартире, ориентирована на человека, в доме ведет себя спокойно, со стабильной психикой. Станет Вам лучшим другом! Здорова, привита, стерилизован. Отлично ладит с другими животными.  Настя очень ждет Вас - самых лучших и добрых хозяев!",114494883,3578,Неуказана,16 ноября 2012,Настя в поисках хозяина. В дар. 2.5 года
"Чиллита - настоящий друг человека. Она станет прекрасным компаньоном в прогулках, в поездках, в скучалках, в дремалках - с ней Вы никогда больше не почувствуете себя одиноким. В её человеческих пронзительных глазах - Вы ""самый"": самый нужный, самый любимый, самый лучший. Несмотря на то, что она прекрасно ладит с сородичами, всё её внимание занимает человек, она искренне радуется встрече, энергично виляя хвостиком, но при этом остаётся тактичной: не лает и не наскакивает. Тонко чувствует настроение, чётко ориентируется: когда играть, когда просто рядышком тихо сидеть. С удовольствием подставляет бока, пузико для почесушек и всегда старается быть на короткой дистанции с человеком.   Чиллита прекрасно подойдёт как молодому человеку, так и в семью с детьми. Девочка прекрасно ориентируется и быстро понимает, какое место ей отведено. Приучена к поводку, быстро учиться, стерилизована, привита.  Примерный год рождения 2009, рост 50 см в холке, хвост купирован.  Ищем для девочки ответственную и непременно любящую семью. Пристраивается в квартиру или в дом. Чила - прекрасная собака и заслужила быть нужной, любимой, гордо носить статус члена семьи.",114631205,3024,Неуказана,17 ноября 2012,Чиллита - верная подруга в добрые руки в дар
"Гретта эффектная, статная, длинноногая красотка. Высокая, приметная собака, обладательница серебряного овчаристого окраса и глаз цвета миндаль, всегда выглядит аккуратно, чисто. По характеру - казачка - смелая, активная, любвеобильная и ласковая, очень любит внимание к своей персоне. На выгуле обществу собак предпочитает общение с человеком. С собаками не конфликтует, но не позволяет над собой доминировать, может дать сдачи, не боязлива. Прекрасно подойдет в частный дом, фермерские угодья с просторным выгулом - этой собаке требуется много пространства и движения. Приучена к поводку, не тянет, хотя по размеру и крупная собака. Абсолютно социализирована, уважает людей, послушна, не агрессивна к человеку. Возраст около 4-х лет, рост 60-65 см в холке, внешне здорова, привита и стерилизована. Этой энергичной, задорной собаке очень тесно и скучно сидеть в клетке. Она бегает по вольеру кругами, чтобы хоть как то размять лапы и выплеснуть нерастраченный заряд энергии. Если у вас есть загородный дом и нужен компаньон для прогулок по лесам и полям - то Гретта вам идеально подойдёт. Звоните и приезжайте знакомиться!",114817496,1012,Неуказана,18 ноября 2012,Гретта - эффектная статная красотка собака в дар
"Артей - пёс удивительной красоты. Фотографии не передают всего очарования и грации этой собаки. Он благороден, как ротвейлер, активен, как доберман. В нём чувствуется стать и породность. При этом Артей игривый, задорный, весёлый и ласковый. Хорошо ходит на поводке. Ладит с другими собаками. Возраст 3-4 года, рост около 50 см в холке, здоров, привит, кастрирован. Артей очень ориентирован на человека, во время прогулок преданно заглядывает в глаза, готов всего себя отдать человеку. Будет верным другом хозяину. Артей находится на временной домашней передержке. Территориально Купавна, М.О.",116291485,3298,Неуказана,23 ноября 2012,Молодой активный ласковый Артей в добрые руки
"Знакомьтесь - АЛИСА, жизнелюбивая рыжая красотка! Лучик солнца в вашем доме! Алиса - необыкновенно ласковая и по-щенячьи трогательная собака. Алиса, как ребёнок, приходит в восторг от любого знака внимания. Она готова целовать, обнимать и говорить Вам спасибо тысячу раз. Это милейшее создание растопит любое сердце!  Этот сгусток позитива всегда настроит Вас на хорошее настроение, а каждое утро с ней точно станет бодрым и весёлым! Алиса - словно лучик солнца в вашем доме, с ней вы забудете, что такое скучать. Девочка очень ориентирована на человека, на прогулке старается идти рядом и часто оглядывается, чтобы убедиться, что ее человек никуда не пропал. С детьми и другими собаками очень дружелюбна, Алиса вообще любит всех. Она не знает, что такое злость и плохое настроение. Алисе сейчас 4,5 года, она приучена к поводку и все свои дела делает на улице. Сейчас малышка живет в мини приюте, но ей очень хочется поскорее обрести свой дом и своего хозяина! Полностью здоровая, стерилизована, прививки есть. По размеру совсем небольшая, подойдет для содержания в квартире. Задорная рыжая красотка ждёт Вас! Не упустите своё счастье!",116514901,3732,Неуказана,24 ноября 2012,Молодая собака Алиса (метис овчарки) в дар
"Берта (темненькая) и Сильвия (светлая) очень ждут хозяев, которые отогреют их маленькие сердечки своей заботой любовью! Девочки осторожны и застенчивы с человеком, но как большинство щенков-подростков, они веселые и озорные. Ищем собакам ответственных хозяев, которые подарят им настоящий дом, свою заботу и покажут им, что значит ""домашний любимец""! Примерная дата рождения август 2012 г.  Звоните и приезжайте знакомиться! Собаки отдаются в дар в добрые руки.",119886024,2686,Неуказана,7 декабря 2012,Молодые собаки-девочки ищут ответственных хозяев
"Нора вылитая овчарка, только рыжая. В меру спокойная, общительная. Приветлива с человеком, толерантная к другим собакам. На прогулке больше держится сама по себе, активные игры не для неё. Сообразительная - когда её выпускают из клетки, сразу сама идёт к месту прогулки, а не бегает где не положено. Рост около 60 см в холке, возраст 5-7 лет, стерилизована.",119898528,1514,Неуказана,7 декабря 2012,"Нора, почти овчарка, в добрые руки в дар"
"Кеша, Миранда и Патрик очень забавные подростки, которые очень ждут своих хозяев! Они мечтают о доме, заботливом хозяине, вкусной еде и веселых играх. В заботливых руках эти ребята вырастут прекрасными питомцами, станут верными друзьями и принесут много радости в ваш дом! Примерная дата рождения август 2012 г., два мальчика и девочка (серенькая). Отдаются в дар.",120358346,3252,Неуказана,9 декабря 2012,Молодые собаки из приюта в добрые руки
"Чак совсем молодой мальчик и в приюте всего несколько месяцев. Ходит на поводке, но не любит его и обиженно смотрит, когда его пристегиваешь. Гулять любил со своим добрым соседом по клетке Платоном и не отходил ни на шаг. Ну вот Платона забрали домой, и Чак остался совсем один. Ему очень грустно и одиноко без друга.  Чак никогда не позволяет обижать себя другим собакам, но в драку не кидается. Он спокойный, ласковый, послушный юный мальчишка. Чак будет прекрасным другом и товарищем! Кастрирован.",122647812,862,Неуказана,18 декабря 2012,Молодой послушный умный пес Чак в добрые руки
"Маруся очень активная девочка, чуть стоит приоткрыть вольер, пулей летит на общий выгул, также обратно. С незнакомцами осторожна, почувствовав от человека доброту, долго церемониться не будет и уже в следующие разы встречает как старого друга.  Идеальная собака, для энергичных людей с детьми и без. С удовольствием будет сопровождать в долгих прогулках и пробежках - этакая собака спортсменка. Стерилизована. Примерный год рождения - 2006. Отдается в добрые руки.",122681932,1372,Неуказана,18 декабря 2012,Идеальная собака для активных людей в дар
"Рыжик - метис, возраст 3-4 года. Мальчик живет в приюте для животных, но очень надеется обрести дом и хозяина. Рыжик очень добрый и ласковый мальчик. У него травмирована передняя лапка, но это не мешает Рыжику резвиться и играть на прогулке. Если Вам понравился Рыжик, приходите знакомиться/",125629563,1155,Неуказана,4 января 2013,Отдам в добрые руки
"Шелли - метис пегой русской гончей, возраст 1,5-2 года. Добрая, ласковая, игривая девочка. Бывшая домашняя, сейчас живет в приюте для животных. Не теряет надежды вновь обрести дом и любящего хозяина, который не предаст. Приучена к выгулу на поводке. Если Вам понравилась Шелли, звоните",125630750,4863,Неуказана,4 января 2013,Метис русской пегой гончей
"В добрые руки  БЕСПЛАТНО!,Щенков нет!Все собаки стерелизованные,ЗДОРОВЫ.В приютах найти чистую дворнягу сложно!,А МЕТИСЫ РАЗНЫХ ПОРОД ОЧЕНЬ МНОГО.ЖАЛКО СОБАК! SOS!ЛЮДИ-ЗАВОДЧИКИ НЕ РАЗВОДИТЕ- НЕ ПЛОДИТЕ ПОРОДИСТЫХ  ,непородистых ЩЕНКОВ-ОНИ НИКОМУ НЕ НУЖНЫ!!! -РЫНОК ПОРОДИСТЫХ ,непородистых СОБАК ПЕРЕПОЛНЕН!!!ПРИЮТЫ ТРЕЩАТ ОТ СОБАК! ОЧЕНЬ ОЧЕНЬ НЕХВАТАЕТ ВОЛОНТЕРОВ,ОПЕКУНОВ - ПРОСТО ВЫВЕСТИ ПОГУЛЯТЬ СОБАКУ,СОБАК ИЗ ТЕСНЫХ ВОЛЬЕРОВ!!! ВХОД В ПРИЮТ СТРОГО ПО ПАСПОРТУ! С 18 лет! ВИДЕОНАБЛЮДЕНИЕ!",125779859,15395,Неуказана,5 января 2013,"Метисы стаффор, фокс, вельш терьер, бигль, хаски"
"Мальчик-метис.Гладкошерстный.Окрас пегий с темно-коричневыми, белыми и рыжими пятнами.Размер средний.Лапы высокие.Дружелюбный.Компанейский пес.Обожает прогулки.Отдам в хорошие руки, добрым и любящим собак людям.",126141547,2968,1500,7 января 2013,Метис овчарки
"Продаются щеночки, порода - японский шпиц. С родословной, от победителей многих выставок",129180693,2665,29999,20 января 2013,Японские шпицы
"Добрая, умная, веселая и очень ласковая девочка Белка мечтает найти своего хозяина. Собака не высокая (примерно по колено в холке), не тяжелая, молодая (около двух-трех лет), очень общительная, станет прекрасным другом, умеет улыбаться! С этой красоткой вам никогда не придется скучать. Идеально подойдет в семью с детьми. Хорошо ладит с другими собаками. Стерилизована, привита, чипирована. Возьмите её себе и она превратит Вашу квартиру в теплый и уютный дом!",131603296,364,Неуказана,29 января 2013,"Добрая, веселая и очень ласковая Белка в дар"
"Ночка - ласкуша, каких поискать. Надо видеть, как она ложиться на спину и подставляет животик для почесушек. Очень добрая собака с удивительно умными глазами. Совершенно ненавязчива. Умеет слушать. Сидит и смотрит так внимательно, как будто все понимает. Станет прекрасным другом, отлично подойдет в семью с детьми. Ходит на поводке, любит гулять, бегать и играть. К другим собакам благожелательна. Рост 40-45 см в холке. Стерилизована, привита, чипирована. Собака молодая, примерный возраст около двух-трех лет. Ночка находится в Кожуховском приюте с весны 2012 года, сидит в вольере с двумя своими братишками (или сестричками), которые очень запуганы и не идут на контакт. Очень надеюсь, что в скором времени найдется хозяин для этой чудесной девочки и ее ласковый теплый взгляд не успеет потухнуть, как у ее соседей по клетке.",131655492,255,Неуказана,29 января 2013,Чудесная Ночка в добрые руки
"Ральф красивый мальчик, молодой, статный. Очень похож на низкорослого черного терьера. Этому мальчику пришлось многое пережить, в своей жизни он почти не знал тепла и ласки. Родился и вырос в Кожуховском приюте, не видя в жизни ничего, кроме металлической решетки вольера и редких тычков работников приюта. Поэтому он довольно осторожен и опаслив. Вообще, если не знать, что он попал в приют щенком, производит впечатление здоровой домашней собаки. Родился в 2010 году. Кастрирован, стерилизован, чипирован. Подарите Ральфу дом, о котором он даже не смеет мечтать, лежа на холодном полу в своей клетке. Откройте для него этот мир и он отдаст Вам всю свою безграничную преданность и любовь!",131715220,1312,Неуказана,29 января 2013,Метис терьера Ральф в добрые руки
"Ищите соседку чтобы снимать вместе квартиру? Это я! Я умная, добрая, не курю, отлично умею слушать собеседника и меня не смущают любые темы - от тибетского буддизма и реверсивной психологии до ядерной физики и разведения аквариумных рыбок. Понимаю важность личного пространства и никогда не вторгаюсь в него без разрешения. Я очень воспитанная и добрая - хожу в туалет только на улице и в жизни никого не укусила. Привита, стерилизована, 3 года.  Добрая, нежная, ласковая, ладит с другими собачками, но старается в компании удерживать лидерство. Любит натуралку - варенную грудку или мяско . Веселая и активная  Если заинтересовались нашей солнечной девочкой звоните",132472188,3140,Неуказана,1 февраля 2013,Девочка метис чау-чау в дар
"Кудряшка Стёпа. Очаровательный пес средних лет, ему примерно  5-6, размером 45-50см. в холке. Стерилизован. Явный метис терьера. По характеру добродушный, ласковый мальчик,  любит иногда поворчать, но незлобно, а просто высказать свое мнение.  Степа достаточно активный, любит прогулки и очень их ждет. Приучен к поводку. Ладит с собаками, но при необходимости может и фыркнуть. Стёпочка в прошлом был домашним мальчиком, а теперь он в приюте и очень ждёт хозяина и очень хочет домой!",133483893,831,Договорная,5 февраля 2013,"Кудряшка Степа, средних лет, замечательный пес"
"Очень хочется найти хороший дом для задорной,энергичной,жизнерадостной собаки Плюши.Имя такое она получила еще в щенячестве за свою мягкую,густую шерстку.Девочка выросла,изменилась,а имя так и осталось при ней.Сейчас Плюше  2  года и 4 месяца.Живет она в частном приюте,конечно,не голодает,имеет крышу над  головой,но ей очень нужно движение,общение,внимание!Так тяжело собаке,юной и активной,резвой игрунье,быть ограниченной решеткой клетки! Плюша не агрессивна,доброжелательна,контактна и сообразительна.Прекрасно впишется в семью,где уже есть собака,идеально подойдет для проживания за городом. Девочка здорова,привита,стерилизована.Отдадим в надежные руки,по договору,не на цепь. По запросу пришлем больше фото.Татьяна",135475526,539,Неуказана,11 февраля 2013,Веселая и активная собака Плюшка ищет дом
"Эту прелестную  ласковую  куколку зовут Милочка!  Милочка – бойкая веселая молоденькая /года три/  собачка среднего размера /45-50см в холке/, худенькая и легонькая, можно поднять на руки. Милочка домашняя, что-то набедокурила, и в качестве наказания была сдана в приют /это официальная версия, реалистичнее -  наигрались, избавились/. Ищем доброго человека,  которому все будет в Милочке нравиться.  Вот вам Милочкина характеристика:  1/ не упрямая, не злая, не агрессивная /просто не способна к этому/;  2/исключительно дружелюбная, приветливая, терпимая, открытая, доверчивая ко всему живому;  3/кроткая, послушная, умненькая,  интеллигентная, внимательная – именно песик – компаньон!;   4/игривая, веселая, всегда в хорошем настроении /а если в плохом – то тихая и задумчивая /о своем плохом поведении/  пай-девочка/ ;   5/ энергичная, здоровенькая/стерилизована/, чистюля с прелестной каштановой шерсткой  и бойкими выразительными глазками.  Вот Вам наша красоточка – выбирайте! Милочка с радостью поселится где предложат /не на цепь строго!/, будет лучшей подружкой Вашим ребятишкам. Не теряйте времени, выбирайте Милочку!  Приют Эко-Печатники; Анна",135673093,511,Неуказана,12 февраля 2013,Задорная ласковая попрыгунья-собачка Милочка в дар
