BAD,LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC
1,4000,17000,52012,HomeImp,ProfExe,22,3,1,85.333333333,1,9,
1,4000,29562,37200,DebtCon,Other,6,0,0,92.133333333,1,26,
1,4000,41700,76725,HomeImp,Other,0.5,0,3,136.13333333,0,15,
1,4000,58000,69440,HomeImp,Other,3.5,0,1,168.66666667,0,18,
1,4000,5700,18000,DebtCon,Other,,0,0,12.2,0,17,
1,4000,45000,58350,HomeImp,Mgr,3.5,0,0,162,3,16,
1,4000,7000,16020,HomeImp,Other,18,0,1,85.8,2,23,
0,4000,66000,79050,HomeImp,Other,1.8,2,0,279,1,6,
0,4000,,45760,HomeImp,,0,0,0,,0,0,
0,4000,62000,78000,HomeImp,Other,4,0,0,109.56666667,0,15,
0,4000,64240,63990,HomeImp,Sales,5,2,0,160.3,1,23,
1,4000,74000,93000,HomeImp,ProfExe,2.6,1,3,186.63333333,,9,
1,4000,55000,59000,DebtCon,Other,12,2,0,146.1,0,22,
0,4000,67625,80698,HomeImp,Mgr,11,,1,212.34930388,0,25,39.128717628
0,4000,67533,71865,HomeImp,Mgr,10,,2,227.79298841,0,25,39.166328703
1,4100,,19132,HomeImp,Other,0,0,0,100.77465221,0,19,33.840919904
1,4100,58500,65000,HomeImp,Other,8,1,2,63.933333333,2,15,
0,4100,57992,63797,DebtCon,ProfExe,7,0,4,165.50503695,1,31,22.27817437
0,4200,56544,59218,HomeImp,Office,19,0,0,211.00259912,1,20,19.027704425
1,4200,34800,50225,HomeImp,Other,2,1,0,93.5,1,5,
0,4200,67700,77000,DebtCon,Sales,4,0,0,128.83333333,0,31,
0,4200,44000,55085,DebtCon,,6,,1,75.433333333,,16,
0,4200,66272,82953,HomeImp,Other,3,0,0,110.27866259,0,15,43.450587911
0,4200,50216,58541,HomeImp,Office,19,0,0,209.87130224,0,19,20.20803267
0,4300,71206,78698,DebtCon,Sales,3,0,0,129.93286902,0,31,34.181376516
0,4300,68815,79852,HomeImp,Other,6,0,0,105.12070881,0,14,41.806376152
0,4300,72021,80027,HomeImp,Other,2,2,0,263.97030029,0,5,36.432093937
0,4400,53969,63869,DebtCon,ProfExe,7,0,3,162.39001067,0,30,23.581079239
0,4400,,60250,,,,,,,,,
1,4400,53091,64074,DebtCon,Office,14,1,3,89.86105825,0,17,39.158084834
0,4500,66127,79087,HomeImp,Other,4,1,0,81.349065098,0,15,40.70530876
0,4500,,77182,,,,,,,,,25.227252904
1,4500,39000,66000,HomeImp,Other,1,0,0,170.36666667,1,19,
0,4500,71082,79247,HomeImp,Other,4,0,0,118.76041007,0,14,41.421110521
0,4500,,49044,HomeImp,,0,0,0,,0,0,11.652738796
1,4500,57000,,HomeImp,Other,5,,,222.6,1,13,
1,4500,34184,46000,HomeImp,Mgr,3.5,0,1,122.6,2,22,
1,4500,66517,87000,DebtCon,ProfExe,10,0,4,125.8,0,34,
0,4500,45500,50000,HomeImp,Other,6,0,0,86.166666667,0,18,
1,4500,118000,146870,HomeImp,ProfExe,4.5,2,0,203.86666667,1,20,
1,4500,90000,105800,HomeImp,Other,6,2,3,80.1,3,10,
0,4700,67913,97205,,Mgr,2,0,0,142.82439151,0,24,35.226997192
0,4700,71855,88566,HomeImp,Other,2,2,0,283.95953809,0,5,36.475473283
0,4700,53918,59511,DebtCon,,6,,0,54.13647743,,15,34.416507811
1,4700,49100,58238,HomeImp,ProfExe,0.1,0,0,61.8,2,17,
0,4700,88026,115506,HomeImp,ProfExe,6,0,0,182.24833156,0,27,29.20902258
1,4700,26900,45000,HomeImp,ProfExe,9,1,2,90.466666667,1,16,
0,4800,67317,97191,,Mgr,3,0,0,137.31972481,0,23,34.275293777
0,4800,56067,63102,DebtCon,ProfExe,9,0,3,160.14631128,1,30,21.583760121
0,4800,80482,88342,HomeImp,ProfExe,7,0,0,275.03239483,0,11,43.717635112
0,4900,58688,63348,DebtCon,ProfExe,9,0,3,179.16257471,2,31,22.544392837
0,4900,65873,90408,,Mgr,2,0,0,141.85899895,0,23,37.76961861
1,4900,25597,23031,HomeImp,Other,5,0,0,101.74676644,0,8,33.243156978
0,4900,67794,84630,HomeImp,Other,4,0,0,112.57341888,0,15,41.673996362
1,4900,44000,59745,HomeImp,Other,10,0,0,81.5,3,13,
0,4900,,28437.5,HomeImp,,,,,,,,
0,4900,170986,245300,DebtCon,Sales,,0,0,131.93333333,0,22,
1,4900,65576,65774,HomeImp,Other,6,1,2,61.64250608,1,14,40.590910018
0,4900,57461,68494,DebtCon,ProfExe,8,0,4,183.63561323,0,30,22.795423552
0,4900,,69706,,,,,,,,,33.705587738
0,5000,,34846,HomeImp,,,,,,,,33.354652626
0,5000,47479,61690,DebtCon,,5,,0,65.032969007,,16,36.699414922
0,5000,66839,87168,HomeImp,Other,4,0,0,122.59722258,0,15,40.616779346
0,5000,12457,53448,HomeImp,Self,,0,0,207.14348133,0,12,44.107951691
0,5000,90059,113714,HomeImp,ProfExe,7,0,0,193.63644686,0,28,25.897316482
1,5000,22320,34900,HomeImp,Other,10,0,0,65.7,1,5,
1,5000,40000,70500,HomeImp,Mgr,0.4,0,0,61.766666667,2,8,
1,5000,100882,102700,HomeImp,Mgr,5,0,1,58.866666667,0,16,
1,5000,31000,47350,HomeImp,ProfExe,12,,,,,,
1,5000,63125,126500,HomeImp,Office,3,0,0,100.3,0,14,
1,5000,100000,129693.5,HomeImp,Mgr,13,,,,,,
1,5000,,132000,HomeImp,Other,17.5,0,2,121.9,0,14,
1,5000,,9100,HomeImp,Other,1,0,0,54.733333333,2,8,
1,5000,34200,50830,HomeImp,Other,6,0,0,57,1,9,
1,5000,,71277,HomeImp,Other,10,0,0,72.433333333,1,12,
1,5000,123000,157500,HomeImp,Mgr,9,,,,,,
1,5000,16600,25250,HomeImp,Other,6,0,0,88.7,1,3,
1,5000,,52000,HomeImp,Other,,0,1,285.33333333,0,6,
1,5000,22700,34225,HomeImp,Other,4,0,0,74.633333333,3,9,
1,5000,6000,38575,HomeImp,Self,7,0,1,335.03333333,3,42,
1,5000,,74500,HomeImp,Other,19,,,,,,
1,5000,,94119,HomeImp,Other,19,,,,,,
0,5000,73126,87500,DebtCon,Other,1,0,0,125.96666667,2,10,
0,5000,72517,86250,DebtCon,Mgr,19,0,1,300.36666667,1,24,
0,5000,26037,35000,HomeImp,ProfExe,12,0,0,182.63333333,0,13,
0,5000,39000,50340,HomeImp,Office,10,,,179.83333333,,19,
0,5000,,26550,DebtCon,Other,1.7,0,0,276.96666667,1,14,
0,5000,70470,77908,DebtCon,,5,,,,,,
0,5000,,36375,HomeImp,Other,3,0,0,266.8,1,26,
0,5000,74225,89640,DebtCon,ProfExe,0.3,,,,,,
0,5000,,65400,HomeImp,Office,1.5,0,0,51.766666667,0,4,
1,5000,,37500,HomeImp,Other,,0,3,107.13333333,10,5,
0,5000,78565,98500,DebtCon,ProfExe,24,0,0,51.766666667,3,14,
0,5000,59900,80800,DebtCon,ProfExe,15,0,0,219.13333333,1,18,
1,5000,10171,26809,HomeImp,Office,13,3,6,228.3,0,24,
1,5000,78893,82600,HomeImp,Mgr,16,0,0,133.9,1,34,
1,5000,85165,107940,HomeImp,Mgr,6,5,3,122.76666667,5,28,
1,5000,68000,75616,DebtCon,ProfExe,0.1,0,0,131.86666667,0,30,
1,5000,71571,85100,DebtCon,ProfExe,1.4,0,1,82.133333333,0,13,
1,5000,28000,36810,DebtCon,Other,2,1,0,222.2,1,6,
1,5000,40000,32480,HomeImp,Other,8,3,2,163.36666667,1,16,
1,5000,81748,,DebtCon,ProfExe,14,1,2,144.06666667,2,17,
0,5000,44674,59375,HomeImp,Office,10,,,178.6925087,,19,26.448197463
1,5000,61999,75021.3,HomeImp,Other,5,0,0,97.1,0,23,
0,5000,80153,97275,DebtCon,Other,1,0,0,120.67506316,2,10,37.512708409
0,5000,68739,93435,,Mgr,3,0,0,148.72040469,0,23,36.669278612
0,5000,51209,55320,DebtCon,,5,,1,69.107465597,,15,35.025072968
1,5000,46696,85202,HomeImp,Other,2,1,2,148.34064549,0,14,46.489874001
0,5000,,46281,HomeImp,Other,2,0,0,257.6522064,0,26,40.952588884
0,5000,66435,82819,HomeImp,Other,2,0,0,125.13062556,0,14,42.183538672
0,5100,179725,251962,DebtCon,Sales,,0,0,127.49881344,0,22,40.308259362
0,5100,85583,115341,HomeImp,ProfExe,7,0,0,177.95825512,1,28,26.257970132
0,5100,72891,80691,HomeImp,Other,1,1,0,273.88170516,0,6,39.852146515
1,5100,30755,46735,HomeImp,Other,10,0,0,69,0,17,
0,5100,,26715,DebtCon,Other,1,0,0,258.78929762,0,14,26.722343337
0,5100,87258,121382,HomeImp,ProfExe,6,0,0,181.66304016,0,28,25.444759149
0,5100,,28291,DebtCon,Other,2,0,0,277.94456081,1,14,23.644691283
1,5100,9900,30451,HomeImp,Other,11,0,0,21.2,0,2,
0,5100,93000,116875,HomeImp,Other,10,,,417.63333333,2,50,
1,5100,15500,34000,DebtCon,Other,0,1,2,86.233333333,2,13,
1,5100,129319,141875,HomeImp,Sales,7,1,0,157.85980209,0,36,25.650741224
0,5100,66834,87361,HomeImp,Other,0,2,0,290.03410799,0,6,38.766985071
0,5100,73882,96031,DebtCon,Other,0,0,0,125.78740011,1,10,34.446079222
0,5100,74071,97064,DebtCon,Other,0,0,0,121.0759726,2,9,36.401729548
0,5100,62702,79784,HomeImp,Other,2,0,0,108.07259081,0,15,43.290139816
0,5200,,36425,DebtCon,Other,2,0,0,266.81346457,1,14,23.797401058
0,5200,67000,77000,HomeImp,Other,9,0,1,119.7,0,25,
0,5200,43039,53521,HomeImp,Office,11,,,184.29668729,,19,24.414763177
0,5200,19000,26000,DebtCon,Other,0,1,0,17.2,10,7,
1,5200,,9500,DebtCon,Other,1,0,1,81.1,1,2,
0,5200,91250,110000,HomeImp,Office,24,0,0,123.76666667,1,12,
0,5200,16324,45187,HomeImp,Self,,0,0,221.11808171,0,11,42.712093844
1,5200,40564,39527,HomeImp,Other,0,0,0,157.77103572,1,13,72.670433313
0,5300,73698,84427,DebtCon,,4,,,,,,19.131201179
0,5300,66987,65111,HomeImp,Sales,4,1,0,175.32870382,1,22,40.442570389
1,5300,26908,36078,HomeImp,Other,,0,0,302.35870946,0,8,39.196985402
0,5300,,49396,HomeImp,,0,0,0,,0,0,12.043670576
0,5300,44993,50673,HomeImp,Office,7,,,184.74276716,,18,27.906122726
1,5300,51000,64000,HomeImp,Mgr,10,1,0,98.333333333,0,12,
0,5300,75958,91703,DebtCon,Other,0,0,0,124.1821788,1,10,34.599060194
0,5300,97132,117343,HomeImp,Office,22,0,0,109.93390789,1,11,35.8385427
0,5300,60826,80826,HomeImp,Mgr,10,,1,212.89174607,0,25,38.591494028
0,5300,83552,96809,DebtCon,ProfExe,0,,,,,,28.423961906
0,5300,47449,63895,HomeImp,Office,19,0,0,208.16271401,0,20,19.762113701
0,5300,50934,62957,HomeImp,Office,21,0,0,197.24195728,0,20,19.350505633
0,5400,53429,64505,DebtCon,,5,,0,69.542430107,,16,36.480236299
0,5400,,65474,HomeImp,Office,1,0,0,40.709849004,0,4,37.848771035
0,5400,47844,52040,HomeImp,Office,8,,,189.03430464,,18,24.701136262
1,5400,45509,57453,DebtCon,Sales,4,0,0,95.6,0,22,
1,5400,59720,63450,HomeImp,ProfExe,5,0,1,199.9,1,20,
0,5400,86922,119846,HomeImp,ProfExe,5,0,0,185.07634726,1,28,26.354889295
0,5400,68625,82304,DebtCon,Sales,2,0,0,136.63294416,0,30,32.05002349
0,5400,65814,85848,HomeImp,Other,4,0,0,122.9402886,0,15,44.092325682
0,5400,,75254,,,,,,,,,23.163742947
1,5400,78300,88000,HomeImp,ProfExe,8,0,0,102.5,3,19,
0,5400,48152,55760,DebtCon,,6,,0,78.452125766,,16,35.763637997
0,5500,70481,82446,HomeImp,Other,8,0,1,116.59197688,0,24,37.612682724
0,5500,,35402,HomeImp,,,,,,,,35.272073735
0,5500,87765,101053,DebtCon,ProfExe,22,0,0,55.558049044,2,13,31.375542416
0,5500,52897,65054,HomeImp,Office,20,0,0,189.29531847,0,19,20.654128896
1,5500,24700,35675,DebtCon,Other,1,0,3,153.93333333,3,27,
1,5500,,43132,HomeImp,Other,,,,,,,
0,5500,43486,81600,DebtCon,,4,0,0,216.13333333,4,30,
1,5500,21359,30000,DebtCon,Other,7,3,2,130.8,3,14,
1,5500,,13770,HomeImp,Mgr,5,0,1,167.36666667,1,8,
0,5500,93051,115374,HomeImp,ProfExe,6,0,0,187.02051879,1,27,27.646748505
0,5500,87438,116679,HomeImp,ProfExe,6,0,0,186.42441602,1,27,28.417530896
0,5500,78059,78179,DebtCon,,5,,,,,,20.679313582
0,5500,72147,69918,HomeImp,Sales,4,2,0,158.5344979,0,23,43.404430238
1,5500,40584,46645,HomeImp,Other,4,0,1,136.32063746,0,13,34.494708965
1,5500,,12972,HomeImp,Other,1,0,1,82.294266354,0,2,36.986744097
1,5500,37368,48502,HomeImp,Mgr,9,0,2,48.995845002,0,10,33.126483967
0,5500,,66251,HomeImp,Office,1,0,0,43.722336946,0,3,41.452043532
0,5500,71644,72696,HomeImp,Sales,4,2,0,150.86584513,0,22,40.442567785
1,5500,85845,122205,DebtCon,ProfExe,5,0,0,172.21327665,1,26,32.676640875
0,5600,53793,66379,HomeImp,Office,22,0,0,206.09913412,0,19,18.369540527
0,5600,69435,83489,DebtCon,ProfExe,14,0,0,200.41843402,1,17,22.841092848
0,5600,29648,39907,HomeImp,ProfExe,11,0,0,180.56306914,0,13,21.554949656
0,5600,76407,77485,HomeImp,Other,9,0,0,91.683770634,0,24,37.773350976
1,5600,5000,66700,HomeImp,Other,31,1,1,204.06666667,0,11,
1,5600,55160,86800,HomeImp,Other,3,1,1,148.13333333,1,14,
0,5600,41439,53893,HomeImp,Office,8,,,181.32298993,,19,24.651395744
0,5600,15275,47954,HomeImp,Self,,0,0,204.33524504,0,12,42.397769638
0,5700,100934,111496,HomeImp,Office,23,0,0,117.49959288,0,12,38.750562668
0,5700,,74685,,,,,,,,,24.274865275
0,5700,49514,58249,HomeImp,Office,21,0,0,212.53911509,0,21,21.258026878
0,5700,76948,85753,HomeImp,Other,7,0,0,128.47645151,0,25,37.85968784
0,5700,28127,36524,HomeImp,ProfExe,10,0,0,181.28295679,0,13,24.339533569
0,5700,,68591,HomeImp,Office,0,0,0,69.645660473,0,4,41.185039558
0,5700,26927,35461,DebtCon,Other,0,1,0,21.799352154,10,6,29.439664242
0,5700,49806,82242,DebtCon,,3,0,0,210.34747857,3,30,31.243408701
1,5700,70000,84579,DebtCon,Sales,0.1,0,0,95.9,1,17,
1,5700,58400,75000,HomeImp,ProfExe,4,0,0,177.5,2,26,
1,5700,80437,109647,HomeImp,ProfExe,9.5,0,0,104.4,0,14,
1,5700,77213,92661,DebtCon,Sales,0,0,0,97.133170952,1,16,41.777888631
0,5700,62319,82923,HomeImp,Other,4,0,0,117.6739652,0,15,42.464866285
0,5700,71556,79538,HomeImp,Other,2,0,0,92.643084556,0,15,41.21001247
0,5700,,39052,HomeImp,Other,3,0,0,272.22062826,0,25,39.896104618
1,5700,74172,79846,DebtCon,ProfExe,0,0,0,157.00977472,0,28,47.415228659
0,5700,28116,33450,DebtCon,Other,0,1,0,15.396587392,9,7,30.017013296
0,5700,,64910,,,,,,,,,33.850461221
0,5700,,69172,HomeImp,Office,1,0,0,48.853667057,0,3,38.773685963
0,5800,,36385,HomeImp,Other,2,0,0,266.55339438,1,25,43.309764541
0,5800,,41119,HomeImp,Other,2,0,0,261.40521864,0,26,42.191941556
0,5800,75000,90543,DebtCon,Mgr,18,0,0,300.4872058,1,23,38.940575356
0,5800,79296,86885,DebtCon,Mgr,19,0,1,307.9748816,1,23,39.959108765
1,5800,27791,46833,DebtCon,Mgr,3,0,0,83.289062746,1,13,30.187805389
0,5800,172595,250155,DebtCon,Sales,,0,0,126.40098356,0,21,43.20775979
0,5800,,34704,HomeImp,,,,,,,,34.174055545
0,5800,,73804,HomeImp,Office,1,0,0,71.766557161,0,4,41.287423388
0,5800,46595,58191,HomeImp,Other,5,0,0,80.131746414,0,17,24.140153667
1,5900,,28000,DebtCon,Self,1,2,1,36.766666667,1,8,
0,5900,70973,77989,HomeImp,Other,7,0,0,120.37941429,0,24,41.442500462
1,5900,,33100,HomeImp,Other,,0,0,238.6,1,2,
0,5900,,51189,HomeImp,,1,0,0,,0,0,12.749180645
0,5900,82912,91175,DebtCon,ProfExe,2,,,,,,27.595273523
1,5900,25972,41856,DebtCon,Other,2,0,2,157.96001139,3,27,40.628278175
0,5900,74187,78976,HomeImp,Other,9,0,1,118.44249103,0,24,40.110407425
0,5900,,66903,,,,,,,,,32.782926828
1,5900,106650,,DebtCon,Mgr,1,0,6,250.56666667,4,23,
0,6000,,69492,,,,,,,,,32.977197226
0,6000,95232,115977,HomeImp,Office,22,0,0,149.0229081,1,12,37.954336913
1,6000,47625,85925,HomeImp,Office,0.1,2,1,154.13333333,4,26,
1,6000,24600,30500,HomeImp,Other,4.5,0,1,116.1,8,34,
1,6000,65000,94355,,Other,26,1,3,69.3,1,34,
1,6000,,,HomeImp,Office,13,,2,122.76666667,,23,
1,6000,33600,,HomeImp,Other,2,0,0,140.93333333,1,20,
1,6000,42000,58305,DebtCon,Other,19,0,0,90,2,13,
1,6000,32446,54904,HomeImp,Other,2,0,0,51.733333333,1,9,
1,6000,9660,35900,DebtCon,Other,8,0,1,136.3,3,6,
1,6000,22859,32200,DebtCon,Other,4,0,0,83.333333333,3,20,
1,6000,16878,25850,,Mgr,1,0,1,218.6,5,34,
0,6000,72951,80000,HomeImp,Other,22.8,0,0,343.9,1,47,
0,6000,43000,57460,HomeImp,Other,1.6,1,,101.5,,13,
0,6000,53500,64790,DebtCon,Other,0.1,0,2,105.4,3,18,
0,6000,69876,94394.07,HomeImp,Other,0,0,1,179.56666667,0,32,
0,6000,51000,86125,HomeImp,ProfExe,6,0,0,222.16666667,2,24,
0,6000,53227,68700,HomeImp,Mgr,3,0,2,122.73333333,0,23,
0,6000,,43300,HomeImp,Other,,,,100.93333333,,9,
0,6000,14000,61493,HomeImp,Office,23,0,0,321.63333333,1,13,
1,6000,40000,54600,HomeImp,ProfExe,4,0,4,101.4,0,19,
1,6000,18793,27750,HomeImp,Mgr,6,0,3,119.7,0,8,
1,6000,179397,200000,DebtCon,ProfExe,5,6,0,90.3,6,29,
1,6000,,95500,HomeImp,Mgr,6,1,2,129.9,1,22,
0,6000,79046,103048,HomeImp,Other,0,0,0,181.69653802,0,32,37.289989924
0,6000,,53190,HomeImp,,0,0,0,,0,0,15.174415003
1,6000,,43683,HomeImp,Other,,,,,,,21.935498813
0,6000,129731,154113,HomeImp,ProfExe,12,0,0,213.53333333,0,19,
0,6100,48500,62500,DebtCon,Mgr,7,,4,111.3,2,11,
0,6100,,47400,,,,,,,,,
0,6100,91704,114799,HomeImp,Office,22,0,0,129.25008957,1,12,36.746766237
0,6100,47604,54966,HomeImp,Other,5,0,0,70.69532973,0,18,24.76674453
0,6100,,35250,HomeImp,Other,,,,303,,12,
1,6100,62751,95617,HomeImp,Other,1,0,0,138.64686318,1,13,31.757270694
0,6100,48300,53388,HomeImp,Office,9,,,178.48960216,,19,26.72002818
0,6100,68743,65321,HomeImp,Sales,3,1,0,153.0667831,0,22,40.15052706
0,6100,79636,87276,HomeImp,Other,20,0,0,350.43613755,0,47,28.848276581
0,6100,,46830,HomeImp,,0,0,1,,0,0,13.306013076
0,6100,78753,95433,DebtCon,ProfExe,0,,,,,,28.925117417
0,6100,77265,97944,DebtCon,ProfExe,0,,,,,,28.876463055
0,6200,75657,84368,DebtCon,Sales,4,0,0,122.24494502,0,30,32.552543335
0,6200,171582,245730,DebtCon,Sales,,0,0,135.10893025,0,22,39.783818126
0,6200,,33909,HomeImp,,,,,,,,34.517404516
0,6200,46601,59486,HomeImp,Other,5,0,0,84.63211066,0,18,25.35001036
0,6200,60354,87596,HomeImp,ProfExe,5,0,0,210.17306467,2,23,34.054811237
0,6200,45356,82054,DebtCon,,2,0,0,201.33448747,4,29,29.661710162
0,6200,,41657,HomeImp,Other,,,,293.95872355,,11,30.197630728
1,6200,,,DebtCon,Self,3,,,80.5,2,17,
0,6200,,80078,,,,,,,,,25.375544161
1,6200,42100,57385,DebtCon,Other,8.5,0,1,164.8,1,28,
0,6200,70793,71552,HomeImp,Sales,3,2,0,162.94515692,0,23,40.315396587
0,6200,73881,98550,HomeImp,Other,0,0,1,182.8787798,0,31,37.19944569
0,6200,45787,64854,DebtCon,,4,,1,63.117023228,,16,36.538747338
0,6200,75121,96462,DebtCon,ProfExe,0,,,,,,27.167655962
0,6200,,51732,,,,,,,,,12.324707091
0,6200,133882,155222,HomeImp,ProfExe,9,0,0,212.53764322,0,19,20.616783656
0,6200,75623,89634,HomeImp,Other,24,0,0,324.68682941,0,47,28.285532103
0,6200,45564,61956,HomeImp,Other,2,0,,101.16706032,,13,38.675140153
0,6300,99469,116260,HomeImp,Office,23,0,0,124.74559549,1,12,35.642270107
0,6300,55000,69000,DebtCon,ProfExe,13,0,0,130.06666667,0,20,
0,6300,,72890,HomeImp,Office,1,0,0,41.250113587,0,3,39.198068218
0,6300,44226,57779,DebtCon,,7,,0,63.626413251,,16,33.111829109
