Timestamp,Представьтесь в 2-3 фразах,Работали ли Вы с Jupyter notebooks?,Что Вы ждете от курса?,"Главное: что бы Вы добавили в программу курса? (нейронные сети, NLP, временные ряды, байесовский подход и т.д.) Предварительная программа доступна в slack OpenDataScience в канале #mlcourse_open",Потом мы прямо этот же набор данных поанализируем с Pandas. Так что какой Ваш любимый вид спорта?,"Ладно, посерьезней: согласны ли Вы на обработку персональных данных?",Какой из будних дней устроит? Воскресенье – 100%,"Как думаете, Вам хватит мотивации пройти весь курс?","Собираетесь ли Вы поработать над индивидуальным проектом (это ~ 2 месяца, самая полезная часть)?",Хотели бы Вы видеть общий рейтинг слушателей?,"Поддерживаете ли Вы идею, что вживую приходят топ-100 лучших по результатам прошлой домашки? Остальные смотрят трансляцию","Какие оцениваете свой уровень математической подготовки? (матан, линал, теорвер)","Чему равна дисперсия равномерного на [0,6] распределения?","Найдите минимум функции 3x^4-8x^3+6x^2-12 на отрезке [-3,3]",Сколько параметров у нормального распределения?,Сможете написать на Python генератор чисел Фибоначчи?,"Хорошо, а готовы к началу курса (конец января 17го) освоить азы Python? На уровне Code Academy",Оцените свой уровень владения GitHub,Поддерживаете ли Вы идею добровольного вознаграждения организаторов курса?,"Посоветуйте хороший фильм в стиле ""Игра в имитацию"" :)"
2016/12/05 11:17:28 am GMT+3,Аспирант ЯрГУ. Занимаюсь компьютерный зрением. Хочу расширить знания по ML.,Да,Перейти от теории к практике. После курса уметь смело решать реальные задачи.,"нейронные сети, байесовский подход, анализ текста",:parrotdancing:,Да,Чт,Да,Да,Да,Да,4,3,-12,2.0,Да,Да,Проф,Нет,Игры разума
2016/12/05 11:22:46 am GMT+3,"Работаю аналитиком, активно интересуюсь машинлёрнингом",Да,Углубить свои знания в области + потренироваться в программировании на python,байесовские методы,бег,Да,Чт,Да,Да,Да,Да,5,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",Да,9 дней одного года
2016/12/05 11:25:18 am GMT+3,"Студент, магистрант. Увлекся машинным обучением. Прохожу курсы на coursera. Участвовал в местном соревнованиипо data science.",Да,Теории подкрепленной большим количеством практики,"Нейронные сети,временные ряды",Сноубординг,Да,Любой,Да,Да,Да,Да,3,0.03,,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",Да,
2016/12/05 11:26:05 am GMT+3,Ирина,Да,Практики рабооты в python с целью анализа данных,"Временные ряды, байесовский подход",Ориентирование,Да,Пн,Посмотрим,Да,Да,Да,2,3,-12,2.0,Нет,Да,По нулям,Нет,
2016/12/05 11:26:07 am GMT+3,"Занимаюсь компиляторами, тематическим моделированием, учусь на Физтехе",Да,Хочу сделать классный индивидуальный проект и научиться продуктивно решать Kaggle,"NLP, Computer Vision",,Да,Пн,Да,Да,Да,Нет,3,,,,Да,Да,Проф,,Inception
2016/12/05 11:26:49 am GMT+3,основатель life2film.com,Да,"много чего) все интересно... изображения, нейронные сети, видео","современные фреймоворки, типа caffe, keras",dota,Да,Любой,Да,Да,Да,Да,2,,,1.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",Да,чужой
2016/12/05 11:26:50 am GMT+3,"Учусь в СПб-CSC. Опыта каггла нет. Прошел много теоретических курсов (JHU, Andrew Ng, курс от Вышки+Воронцова), но нет практических навыков",Да,"побольше практических фишек: как успешно препроцессить данные, создание фич, выбор и тюнинг модели","Работа с облаками - Azure ML, Amazon ML, ...",шахматы,Да,Любой,Да,Да,Пофиг,"т.к. я из СПб, то буду смотреть только трансляцию. Записывайте, плз, по максимуму всё, а не только теор.лекции",4,3,-12,2.0,Да,Да,Могу редактировать свою копию,Да,"двадцать одно - по стилю совсем другое, но тоже чутка про математику"
2016/12/05 11:31:24 am GMT+3,"Магистратура питерской Вышки (big data), NLP ван лав",Да,Систематизации знаний и охвата всех областей DA и ML (хотя ты на уровне общих знаний и представления),"NLP и нейроночки. Временные ряды - тоже классно. Может, еще какие-нибудь предсказательные модели?","Хах, ну пусть будет биатлон (хотя, мне кажется, я не поняла прикола)",Да,Пн,Я очень надеюсь!,Да,Пофиг,Нет,4,3,-12,2.0,Да,я уже неплохо владею,"Пользуюсь ветками, могу что-то смерджить",Да,"Из недавних - Прибытие. А так есть довольно-таки старенький фильм, который очень ломает мозги, но интересный - http://www.imdb.com/title/tt0209144/ "
2016/12/05 11:33:12 am GMT+3,"web-разработчик, делающий первые, но уверенные шаги в datascience",Да,"Как можно больше практики, примеров из жизни, а не учебных датасетов, полезных трюков при работе с данными","Честно говоря не знаю, лучше всего было бы идти от задачи. Ставится задача, а потом рассматриваются все варианты решения.",Волейбол,Да,Любой,Да,Да,"Да, но если его не будет -- ничего страшного","Да, но так как я не в Москве, то в живую приходить вряд ли получится",4,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",Да,"Человек который познал бесконечность, Игры разума"
2016/12/05 11:37:51 am GMT+3,"Занимаюсь продуктовой аналитикой. Хочу уйти от роли ""переводчик с менеджерского на sql"" к чему-то про моделирование и предсказание. Есть опыт в анализе тестов и детской речи",едва,Перейти от поверхностной теории к практике,нейронные сети,фигурное катание,Да,Чт,Да,Да,Да,"80 по домашке +  20 случайных приглашений для тех кто хочет, но пока не дотягивает. Иначе будет совсем закрытый кружок отличников и кто-то там далеко.",2,3,-12,2.0,Да,Да,Могу скачать материалы,Да,
2016/12/05 11:40:31 am GMT+3,Основное мое образования математика. С недавнего времени активно интересуюсь машинным обучением.,Да,Интересной и объемной практической составляющей.,Нейронные сети,Биатлон,Да,Любой,Посмотрим,Да,Да,Да,5,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",Да,Игры разума
2016/12/05 11:42:30 am GMT+3,Я гений,Да,XGBoost,Нейронные сети,Батл-Рэп,Да,Любой,Да,Скорее всего да,Да,Да,4,3,-12,2.0,Да,Да,Могу скачать материалы,Да,Зеленый слоник
2016/12/05 11:45:16 am GMT+3,маркетинговый аналитик в Game Insight,Да,подтянуть навыки питона и разобраться с препроцессингом ,NLP и байесовский подход,dota считается?)),Да,Ср,Да,Да,Пофиг,и так будет приходить меньше 100 человек через 2 недели ),4,3,-12,2.0,Да,Да,Могу редактировать свою копию,Да,beautiful mind
2016/12/05 11:46:05 am GMT+3,"Работаю в Avito, занимаюсь CV, DL","Предпочитал PyCharm, Notebook ненавижу","Что не нужно будет добираться в Долгопрудный, чтобы прослушать лекции",Байес и временные ряды,Mountain Bike,Да,Вт,Нет,Нет,Да,Да,3,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",Да,хз что за фильм
2016/12/05 12:02:36 pm GMT+3,интересуюсь машинным обучением,Да,общения со специалистами,нейросети,велоспорт,Да,Пн,Да,Да,Да,Да,4,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",Нет,-
2016/12/05 12:20:08 pm GMT+3,Работаю программистом. Прохожу специализацию от МФТИ+yandex,Да,"Хорошего баланса между практикой и теорий, интересной курсовой работы",Как можно больше практики,Сквош,Да,Ср,Да,Да,Да,Да,3,3,-11,2.0,Да,Да,Проф,Да,
2016/12/05 12:25:14 pm GMT+3,BI team lead,Да,Наклеечку на крышку лэптопа^^,"NN, time series, numba, как вкорячить модель из Мака в продакшн",Lacrosse,Да,Чт,Да,Да,Да,Да,2,,,4.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",Да,"Вот ништяк: Игры разума, Морган, AI, Особь, Луна 2012"
2016/12/05 12:34:46 pm GMT+3,"Я и работаю, и учусь немного в этой сфере, но далеко не профи",Да,"У меня есть серьезная мат-подготовка и базовый пласт DataScience. Хотелось бы больше визуализации, программной части и  необычных «фишек», помимо теории.","Предложенное выше - хорошо, боюсь больше и не влезет в базовый курс",,Да,Любой,Посмотрим,Да,Пофиг,все равно,5,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",по итогам узнаю,
2016/12/05 12:39:54 pm GMT+3,Студент НИУ ВШЭ,Да,Побольше практики,Наверное как дополнение нейронки,Сноуборд,Да,Любой,Да,"Зависит от проекта, думаю да",Пофиг,Пофиг,4,3,-12,2.0,Да,Да,Могу скачать материалы,Да,"Игры разума, но вряд ли это актуально =)"
2016/12/05 12:44:01 pm GMT+3,"Выпускник МИФИ, работал в ЦЕРНе, сейчас главный инженер отдела больших данных Сбербанк Технологии. Опыт работы больше 5 лет, в данный момент прохожу курс Воронцова на Coursera, интересно больше поработать с машинным обучением.",Да,"Решения практических задач, систематизация разроздненных знаний.",нейронные сети,баскетбол,Да,Любой,Да,Да,Да,Нет,3,3,-12,2.0,Да,Да,Проф,Да,умница уилл хантинг
2016/12/05 12:45:08 pm GMT+3,"разработчик на Java, увлекаюсь datascience",Да,Практику,Нейронные сети,фрифлай,Да,Пт,Да,Да,Пофиг,Да,3,,,,Да,Да,"Пользуюсь ветками, могу что-то смерджить",Да,
2016/12/05 1:16:50 pm GMT+3,"Работаю программистом в АйТеко, недавно заинтересовался анализом данных, прохожу курсы на курсере",Да,"хочется повторить, систематизировать и расширить знания, недополученные из разных курсов на курсере, попрактиковаться","Для 15 занятий тем достаточно, для дополнительных занятий особо интересны временные ряды, NLP",,Да,Любой,Да,Да,Да,"да, также нужна запись для пропустивших",3,3,-12,2.0,Да,Да,Могу редактировать свою копию,Да,Интерстеллар
2016/12/05 1:19:57 pm GMT+3,"аспирант СПбГУ, занимаюсь моделированием пучков частиц в ловушках, увлекаюсь DM",Да,практических навыков по DM,нейронные сети,formula 1,Да,Любой,Да,Да,Пофиг,Да,4,3,-12,2.0,Да,Нет,Могу редактировать свою копию,Да,Игры разума (Beautiful mind)
2016/12/05 1:21:39 pm GMT+3,"Программист, прошла курс Воронцова на Coursera",Да,Предварительная программа видится мне интересной,"Интересно все перечисленное, если изучение будет носить практический характер. ",Formula 1,Да,Пн,Да,Да,Пофиг,Да,3,3,-12,2.0,Да,Да,Проф,Да,Умница Уилл Хантинг
2016/12/05 1:23:32 pm GMT+3,Анатолий из Москвы,Да,"Жду интересный и подробный курс не только о основах машинного обучения, но и так же о современных трендах","Да верно, Deep Learning и библиотеки для его использования",Хоккей,Да,Ср,Да,Да,Пофиг,Да,2,3,-12,2.0,Да,Да,Могу скачать материалы,Да,"Игры разума, Сноулден, Пятая Власть, Вселенная Стивена Хокинга, "
2016/12/05 1:25:09 pm GMT+3,Junior Data Scientist,Да,отработки навыков в проектах,"байесовский подход, временные ряды",не слежу за спортом как индустрией,Да,Любой,Да,Да,Да,Да,4,3,0,2.0,Да,Да,Могу редактировать свою копию,Да,"Человек, который познал бесконечность"
2016/12/05 1:41:03 pm GMT+3,"лоботряс, кека, программист","да, но они неудобные","ничего не жду, но мне интересная данная область",нейронки,F1,Да,Вт,Да,можно больше,Пофиг,Да,4,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",Да,https://www.kinopoisk.ru/film/635772/like/
2016/12/05 1:45:04 pm GMT+3,"Хочу вернуться в математику, прохожу курс Andrew Ng на курсере, читаю твимс в метро.",Да,Получить практические навыки,"Сложно сказать, что добавить, когда пока не знаешь, что вообще может быть)",Бег,Да,Любой,Да,Да,Да,Да,4,3,-12,2.0,Нет,Да,Могу скачать материалы,Да,
2016/12/05 1:50:41 pm GMT+3,Data Scientist ,Да,"Практики. Умения зарешивать кэгловские задачки. Стандартный подход к решению задач разного типа (классификации, регрессии, рекомендаций, ранжирований, понижения размерности, временного анализа) к концу курса. Ответы на практические вопросы (когда надо нормализовывать данные, как справляться с категориальными данными, что делать с пропусками). ",Решение текущей кегловской задачки на выбор участника. ,Сквош,Да,Любой,Посмотрим,"Если он учитывает мои интересы. Есть какие-то стартап идеи над которыми я бы хотел поработать, а акже можно порешать кэгл как индивилуальное задание. ",Да,Да,5,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",Да,Ex Machina
2016/12/05 1:59:49 pm GMT+3,преподаватель прикладной математики. Интересует практическая сторона,Нет,практических знаний,"нейронние сети, байесовкий подход",лижи,Да,Пт,Да,Да,Да,Нет,5,3,-12,2.0,Нет,Да,По нулям,Да,12 angry man (не совсем в стиле)
2016/12/05 2:02:55 pm GMT+3,Менеджер проектов DS,Да,Ничего конкретного.,Бацес и временные ряды,"Формула 1, данные есть, много",Да,Ср,Посмотрим,Да,Пофиг,Нет,2,0,-12,2.0,Да,Да,Могу редактировать свою копию,Нет,
2016/12/05 2:05:02 pm GMT+3,Работаю в МосгортрансНИИпроекте. Занимаюсь дата-саентологей на транспорте.,Да,Жести,"Нейронные сети, методы над графами. ",Шахматы.,Да,Пт,ежели в своем темпе,Да,Да,Да,4,3,-12,2.0,Да,Да,Могу редактировать свою копию,Могу скинуться на исследования козла,Игры разума
2016/12/05 2:05:21 pm GMT+3,"МФТИ, ФОПФ",Да,"Живого логичного изложения, внятности и практики, в т.ч. конкретные фишки,  Sklearn, etc.","временные ряды, NLP",Стесняюсь сказать,Да,Любой,:) Мотивации - хватит,Да,Пофиг,пофиг,3,3,-16,2.0,Да,Да,Могу скачать материалы,Да,"Не могу поддержать разговор, но к янв 17 исправлюсь :)"
2016/12/05 2:17:14 pm GMT+3,Алгоритмист и разработчик ПО в небольшом стартапе (Тель Авив). Ну и паралелльно аспирант по математике. Влюблен в DS,Да,Углубить и расширить. И еще раз углубить,"нейронные сети, NLP, временные ряды, байесовский подход, изображения, быстрые нейронные сети, MDP, RNN ","Литробол. Голубые роботы вперед! Ну также теннис, шахматы и  крав мага",Да,Ср,Да,Да,Да,Нет,5,3,-12,2.0,Да,Да,Проф,Да,"""Девять дней одного года"". "
2016/12/05 2:19:38 pm GMT+3,"Учусь в МФТИ, работаю в Habidatum, активно участвую в деятельности ODS.",Да,"Поболтать с умными людьми и что-то узнать в процессе. Могу помочь с организацией, если это нужно.","Действительно, обзор нейронок точно стоит сделать, слишком уж хайповая тема. Простой нлп (классификация текстов) особо ничем не отличается от традиционных задач, можно вложить его в проекты/домашки. Временные ряды слишком сложные и многогранные, наверное не стоит. ",,Да,Чт,Посмотрим,Да,Нет,Нет,3,3,-12,2.0,Да,Знаю Python,"Пользуюсь ветками, могу что-то смерджить",Да,
2016/12/05 2:27:53 pm GMT+3,"Студент МФТИ, смог устроиться Junior Data Scientist-ом в Сбербанк-технологии",Да,Углубления своих знаний о ML,"Нейронные сетки - мало знаю про их практическое применение, по какому принципу делать её архитектуру и тд..",Хоккей (хотя доту предсказывать тоже было прикольно),Да,Пт,Да,"Я не против, но степень его проработки зависит от сложности и наличия свободного времени",Да,Да,4,3,-12,2.0,Да,Да,Могу редактировать свою копию,Да,http://wanna-joke.com/wp-content/uploads/2015/02/benedict-cumberbatch-name.jpg
2016/12/05 2:35:50 pm GMT+3,Привет. Меня зовут Илья. Хочу врубаться в новые статьи на arxiv и фигачить kaggle,Да,"Углубленного изучения алгоритмов машинного обучения, кулстори и задач из вашего опыта. Большое количество практики и вдумчивой работы с домашними заданиями (с указаниями на ошибки и peer-review)","байесовский подход (никто не рассказывает, но везде встречается), NN -- везде встречается, краткий брифинг по новым whitepaper и тенденциям",Wineball (датасет с винишком),Да,Любой,Если ," Зависит от проекта и количество часов, необходимого потратить на него в неделю. В целом, интересно",Да,Да,3,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить","Зависит от качества курса. В целом, лучше умеренное спонсорство (например, озвучивание вакансий, приглашения на контесты)","""Рисование методом отжига"" и ""Каникулы в Монте-Карло"". Если серьезно, то из классики: Умница Уилл Хантинг, Игры разума. Из новенького --  Из машины, Она, Черное зеркало ну и сотни тысячи их, в тематических подборках"
2016/12/05 2:50:06 pm GMT+3,Занимаюсь анализом социальных сетей,Да,Чтобы было интересно,NLP (structural topic modeling),,Да,Чт,Да,Да,Пофиг,Да,4,3,,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",Да,Игры разума
2016/12/05 2:53:36 pm GMT+3,"Аспирант ПОМИ им. Стеклова, участник ODS",Да,Какие-то интересные инсайты,-,,Да,Любой,Посмотрим,Посмотрим,Да,Да,4,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",Да,
2016/12/05 3:02:50 pm GMT+3,студентка НИУ ВШЭ (специальность - бизнес-аналитика),Да,хорошую и доступную теоретическую базу+много практики,нейронные сети,велосипед!,Да,Пт,Да,Да,Да,Да,2,,,,Да,Да,Могу скачать материалы,Да,Игры разума
2016/12/05 3:10:17 pm GMT+3,"Выпускник ФКН НИУ ВШЭ, Junior Data Scientist в компании SMarkets (Лондон)",Да,Свежего взгляда на область и хорошей систематизации знаний,Очень интересуюсь NLP и применениями нейронных сетей к нему,футбол,Да,Любой,Да,Да,Пофиг,"Буду смотреть трансляцию в любом случае, т.к. не в Москве",4,3,-12,2.0,Да,Да,Проф,Да,"На ум сразу приходит ""Хокинг"", там тоже Камбербэтч!"
2016/12/05 3:16:29 pm GMT+3,"Разработчик, занимаюсь анализом данных, особо интересна тема глубокого обучения",Да,"практических хаков, и хочется систематизировать свои знания",очень хотелось бы по каждой из тем какой-то миникурс с практиками т.к. темы очень обширные и интересные,Горнолыжный спорт,Да,Ср,Да,Да,Да,Да,4,3,-12,2.0,Да,Да,Могу редактировать свою копию,Да,Дешифровщик (2011)
2016/12/05 3:32:03 pm GMT+3,"Работаю пресейл-архитектором в Microsoft, учусь в аспирантуре МГУ ВМК, хочу развиваться в сторону data science",Да,"Повторение - мать учения. Пропустила часть лекций на очном курсе, продолжаю структурировать и отрабатывать знания. Практика, библиотеки, мат. и жизненное обоснование работы методов - супер.","Временные ряды, большее уделеление времени статистике, обоснованию, примерам",Фехтование,Да,Любой,Да,Да,Да,"Подход хороший, но из эти 100 наверняка многие не смогут. Вопрос какой процент. Но в целом меня вполне устроят удаленные занятия",4,3,-12,2.0,Да,Да,Могу скачать материалы,Да,21
2016/12/05 3:33:28 pm GMT+3,Занимаюсь анализом данных удаленно,Да,Понять глубже все виды лесов. Набить руку на практических заданиях,"Возможность выполнять задания на R. А то раз в полгода приходится прыгать с R на питон и обратно, это уже раздражает. Я обратно к R привык :) Временные ряды и байесовский подход тоже интересны","киберспорт, видимо :)",Да,Любой,"вообще да, но будет зависеть от пользы. Последняя специализация на курсере от мипта к тому же страдала от внезапно сложных заданий или сложной глубокой математической теории. Их первого курса совсем не хватило. Поэтому второе, от чего зависит - от отсутствия вот таких разрывов между теорией и практикой. Чтобы не биться два дня над одним заданием - это дофига демотивирует","хочется, но будет зависеть от общей занятости на работе еще. Но не факт, что получится",Да,Да,2,2,-11,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",,у Камбербетча много хороших фильмов. Если еще не видел все - велком. Многие в похожем жанре байопик. А вообще на днях видел русский Коллектор - отличный фильм тоже. Почему-то у меня внутри они как-то пересекаются
2016/12/05 3:43:19 pm GMT+3,senior python developer,Нет,Базовые навыки и практику работы с анализом данных ,нейронные сети,бокс,Да,Любой,Да,Да,Да,Да,2,3,-12,2.0,Да,Да,Проф,Да,Игры разума
2016/12/05 3:51:53 pm GMT+3,"Живу в Екатеринбурге, занимаюсь анализом данных в телекоме и банковской сфере.",Да,"Систематического подхода к решению задач, best practices.","Временные ряды, байесовский подход.",Бейсбол :trollface:,Да,Любой,Да,Да,Да,Да,3,3,-12,2.0,Да,Да,Могу редактировать свою копию,Да,Человек с Земли крутой фильм. Прибытие ничего так. Игра в имитацию из-за Beryl Cumsatchel превратились в Холмса :(
2016/12/05 4:00:48 pm GMT+3,Выпускник МатМеха СПбГУ. Product Manager в Diginetica.,Да,Ссылки на теорию. Много практики и подхода от простых задач — к сложным. ,"Байесовский подход, нейронные сети.",Бобслей,Да,Любой,Да,Да,Да,Да,5,,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",Да,Бобби Фишер против всего мира
2016/12/05 4:20:05 pm GMT+3,Работаю с 1С. Хочу найти применение анализу данных на текущей работе.,Да,Закрепление материала полученного в курсах от МФТИ и ВШЭ. Надеюсь получить больше практических навыков.,Временные ряды,Тяжелая атлетика,Да,Пт,Да,Да,Да,Да,3,3,-12,2.0,Да,Да,Могу скачать материалы,Да,Игры разума :)
2016/12/05 4:32:31 pm GMT+3,"Работаю в Вышке. Математик-экономист, занимаюсь теорией турниров. ",Нет,"Получить базовые навыки анализа данных и машинного обучения для того, чтобы начать наконец делать не только теоретические исследования в области экономики спорта.",Нейронные сети,Шахматы,Да,Вт,Да,Да,Пофиг,Нет,4,3,-12,2.0,Да,Да,По нулям,Да,Игры разума
2016/12/05 4:42:45 pm GMT+3,Вы меня знаете,Да,"Прослушать пару тем, по генерации признаков. Технические трюки интересны.",Пока хорошо выглядит.,Триатлон и лыжи,Да,Любой,Нет,Нет,,Нет,5,3,,2.0,Да,Нет,Могу редактировать свою копию,Да,Кубы
2016/12/05 4:48:36 pm GMT+3,"социолог, аналитик данных криминальной статистики",Да,практика анализа и манипуляции данных в pandas и методов анализа данных,"байесовские регрессии, статистический вывод (inference), feature engineering","Формула 1, Civilization 5, серия Battlefield",Да,Ср,Посмотрим,Нет,Да,Да,3,3,-12,2.0,Да,Да,Могу редактировать свою копию,Да,"""Доктор Стрейнджлав, или Как я перестал бояться и полюбил бомбу"""
2016/12/05 4:53:23 pm GMT+3,Разработчик frontend. Интересуюсь ml.,Да,"Сломать барьер ""начало""",Математику для чайников. Больше разборов примеров. ,Ходьба,Да,Любой,Да,Да,Да,Нет,1,0.5,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",Да,Нет
2016/12/05 4:55:23 pm GMT+3,Читаю про нейросети. Слушаю музыку. Готовлю конфетки.,Да,Как подготавливать данные на Питоне. Pandas -- страдание.,А может погенерируем музыку? Или речь. Люблю звуки.,Тяжёлая атлетика,Да,Вт,Посмотрим,Да,Пофиг,Да,4,3,-12,2.0,Да,"Надо посмотреть ,что там за уровень","Пользуюсь ветками, могу что-то смерджить",Да,
2016/12/05 4:56:54 pm GMT+3,Менеджер по продукту в компании ЛАНИТ.,Нет,"Суметь самостоятельно решать задачи на анализ данных, понимать границы применимости, современное состояние отрасли и направление развития",end-to-end learning,Баскетбол,Да,Любой,Да,Да,Да,Да,3,3,-12,2.0,Да,Да,Могу редактировать свою копию,Да,The Theory of Everything про Хокинга
2016/12/05 5:03:51 pm GMT+3,руковожу аналитикой онлайн магазина Эльдорадо.,Да,"Жду новых инсайтов в обучении ML, сильных студентов, которым можно было бы предложить работу.","Больше бизнес смысла, меньше беготни за максимизацией метрики",теннис,Да,Вт,Да,Да,Да,Да,4,3,-12,2.0,Да,Да,Могу редактировать свою копию,Да,
2016/12/05 5:36:41 pm GMT+3,"Занимаюсь системной аналитикой, работаю над одним веб-проектом. Увлечен технологиями.  ",Нет,"Погружения в область data scientist, получение новых знаний и навыков",нейронные сети,легкая атлетика,Да,Ср,Да,Да,Да,Нет,1,3,-12,2.0,Если захотеть - сможем,Да,Могу скачать материалы,Да,"""Пи"""
