id,Timestamp,Представьтесь в 2-3 фразах,Работали ли Вы с Jupyter notebooks?,Что Вы ждете от курса?,Потом мы прямо этот же набор данных поанализируем с Pandas. Так что какой Ваш любимый вид спорта?,"Ладно, посерьезней: согласны ли Вы на обработку персональных данных?","Какие оцениваете свой уровень математической подготовки? (матан, линал, теорвер)","Чему равна дисперсия равномерного на [0,6] распределения?","Найдите минимум функции 3x^4-8x^3+6x^2-12 на отрезке [-3,3]",Сколько параметров у нормального распределения?,Сможете написать на Python генератор чисел Фибоначчи?,"Хорошо, а готовы к началу курса (6 сентября 2017) освоить азы Python? На уровне Code Academy, DataCamp или github.com/Yorko/python_intro",Оцените свой уровень владения GitHub,"Посоветуйте хороший фильм в стиле ""Игра в имитацию"" :)"
11,2016/12/05 11:17:28 am GMT+3,Аспирант ЯрГУ. Занимаюсь компьютерный зрением. Хочу расширить знания по ML.,Да,Перейти от теории к практике. После курса уметь смело решать реальные задачи.,:parrotdancing:,Да,4,3,-12,2.0,Да,Да,Проф,Игры разума
12,2016/12/05 11:22:46 am GMT+3,"Работаю аналитиком, активно интересуюсь машинлёрнингом",Да,Углубить свои знания в области + потренироваться в программировании на python,бег,Да,5,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",9 дней одного года
13,2016/12/05 11:25:18 am GMT+3,"Студент, магистрант. Увлекся машинным обучением. Прохожу курсы на coursera. Участвовал в местном соревнованиипо data science.",Да,Теории подкрепленной большим количеством практики,Сноубординг,Да,3,0.03,,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",
14,2016/12/05 11:26:05 am GMT+3,Ирина,Да,Практики рабооты в python с целью анализа данных,Ориентирование,Да,2,3,-12,2.0,Нет,Да,По нулям,
15,2016/12/05 11:26:07 am GMT+3,"Занимаюсь компиляторами, тематическим моделированием, учусь на Физтехе",Да,Хочу сделать классный индивидуальный проект и научиться продуктивно решать Kaggle,,Да,3,,,,Да,Да,Проф,Inception
16,2016/12/05 11:26:49 am GMT+3,основатель life2film.com,Да,"много чего) все интересно... изображения, нейронные сети, видео",dota,Да,2,,,1.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",чужой
17,2016/12/05 11:26:50 am GMT+3,"Учусь в СПб-CSC. Опыта каггла нет. Прошел много теоретических курсов (JHU, Andrew Ng, курс от Вышки+Воронцова), но нет практических навыков",Да,"побольше практических фишек: как успешно препроцессить данные, создание фич, выбор и тюнинг модели",шахматы,Да,4,3,-12,2.0,Да,Да,Могу редактировать свою копию,"двадцать одно - по стилю совсем другое, но тоже чутка про математику"
19,2016/12/05 11:31:24 am GMT+3,"Магистратура питерской Вышки (big data), NLP ван лав",Да,Систематизации знаний и охвата всех областей DA и ML (хотя ты на уровне общих знаний и представления),"Хах, ну пусть будет биатлон (хотя, мне кажется, я не поняла прикола)",Да,4,3,-12,2.0,Да,я уже неплохо владею,"Пользуюсь ветками, могу что-то смерджить","Из недавних - Прибытие. А так есть довольно-таки старенький фильм, который очень ломает мозги, но интересный - http://www.imdb.com/title/tt0209144/ "
20,2016/12/05 11:33:12 am GMT+3,"web-разработчик, делающий первые, но уверенные шаги в datascience",Да,"Как можно больше практики, примеров из жизни, а не учебных датасетов, полезных трюков при работе с данными",Волейбол,Да,4,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить","Человек который познал бесконечность, Игры разума"
21,2016/12/05 11:37:51 am GMT+3,"Занимаюсь продуктовой аналитикой. Хочу уйти от роли ""переводчик с менеджерского на sql"" к чему-то про моделирование и предсказание. Есть опыт в анализе тестов и детской речи",едва,Перейти от поверхностной теории к практике,фигурное катание,Да,2,3,-12,2.0,Да,Да,Могу скачать материалы,
22,2016/12/05 11:40:31 am GMT+3,Основное мое образования математика. С недавнего времени активно интересуюсь машинным обучением.,Да,Интересной и объемной практической составляющей.,Биатлон,Да,5,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",Игры разума
23,2016/12/05 11:42:30 am GMT+3,Я гений,Да,XGBoost,Батл-Рэп,Да,4,3,-12,2.0,Да,Да,Могу скачать материалы,Зеленый слоник
24,2016/12/05 11:45:16 am GMT+3,маркетинговый аналитик в Game Insight,Да,подтянуть навыки питона и разобраться с препроцессингом ,dota считается?)),Да,4,3,-12,2.0,Да,Да,Могу редактировать свою копию,beautiful mind
25,2016/12/05 11:46:05 am GMT+3,"Работаю в Avito, занимаюсь CV, DL","Предпочитал PyCharm, Notebook ненавижу","Что не нужно будет добираться в Долгопрудный, чтобы прослушать лекции",Mountain Bike,Да,3,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",хз что за фильм
26,2016/12/05 12:02:36 pm GMT+3,интересуюсь машинным обучением,Да,общения со специалистами,велоспорт,Да,4,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",-
27,2016/12/05 12:20:08 pm GMT+3,Работаю программистом. Прохожу специализацию от МФТИ+yandex,Да,"Хорошего баланса между практикой и теорий, интересной курсовой работы",Сквош,Да,3,3,-11,2.0,Да,Да,Проф,
28,2016/12/05 12:25:14 pm GMT+3,BI team lead,Да,Наклеечку на крышку лэптопа^^,Lacrosse,Да,2,,,4.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить","Вот ништяк: Игры разума, Морган, AI, Особь, Луна 2012"
29,2016/12/05 12:34:46 pm GMT+3,"Я и работаю, и учусь немного в этой сфере, но далеко не профи",Да,"У меня есть серьезная мат-подготовка и базовый пласт DataScience. Хотелось бы больше визуализации, программной части и  необычных «фишек», помимо теории.",,Да,5,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",
30,2016/12/05 12:39:54 pm GMT+3,Студент НИУ ВШЭ,Да,Побольше практики,Сноуборд,Да,4,3,-12,2.0,Да,Да,Могу скачать материалы,"Игры разума, но вряд ли это актуально =)"
31,2016/12/05 12:44:01 pm GMT+3,"Выпускник МИФИ, работал в ЦЕРНе, сейчас главный инженер отдела больших данных Сбербанк Технологии. Опыт работы больше 5 лет, в данный момент прохожу курс Воронцова на Coursera, интересно больше поработать с машинным обучением.",Да,"Решения практических задач, систематизация разроздненных знаний.",баскетбол,Да,3,3,-12,2.0,Да,Да,Проф,умница уилл хантинг
32,2016/12/05 12:45:08 pm GMT+3,"разработчик на Java, увлекаюсь datascience",Да,Практику,фрифлай,Да,3,,,,Да,Да,"Пользуюсь ветками, могу что-то смерджить",
33,2016/12/05 1:16:50 pm GMT+3,"Работаю программистом в АйТеко, недавно заинтересовался анализом данных, прохожу курсы на курсере",Да,"хочется повторить, систематизировать и расширить знания, недополученные из разных курсов на курсере, попрактиковаться",,Да,3,3,-12,2.0,Да,Да,Могу редактировать свою копию,Интерстеллар
34,2016/12/05 1:19:57 pm GMT+3,"аспирант СПбГУ, занимаюсь моделированием пучков частиц в ловушках, увлекаюсь DM",Да,практических навыков по DM,formula 1,Да,4,3,-12,2.0,Да,Нет,Могу редактировать свою копию,Игры разума (Beautiful mind)
35,2016/12/05 1:21:39 pm GMT+3,"Программист, прошла курс Воронцова на Coursera",Да,Предварительная программа видится мне интересной,Formula 1,Да,3,3,-12,2.0,Да,Да,Проф,Умница Уилл Хантинг
36,2016/12/05 1:23:32 pm GMT+3,Анатолий из Москвы,Да,"Жду интересный и подробный курс не только о основах машинного обучения, но и так же о современных трендах",Хоккей,Да,2,3,-12,2.0,Да,Да,Могу скачать материалы,"Игры разума, Сноулден, Пятая Власть, Вселенная Стивена Хокинга, "
37,2016/12/05 1:25:09 pm GMT+3,Junior Data Scientist,Да,отработки навыков в проектах,не слежу за спортом как индустрией,Да,4,3,0,2.0,Да,Да,Могу редактировать свою копию,"Человек, который познал бесконечность"
38,2016/12/05 1:41:03 pm GMT+3,"лоботряс, кека, программист","да, но они неудобные","ничего не жду, но мне интересная данная область",F1,Да,4,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",https://www.kinopoisk.ru/film/635772/like/
39,2016/12/05 1:45:04 pm GMT+3,"Хочу вернуться в математику, прохожу курс Andrew Ng на курсере, читаю твимс в метро.",Да,Получить практические навыки,Бег,Да,4,3,-12,2.0,Нет,Да,Могу скачать материалы,
40,2016/12/05 1:50:41 pm GMT+3,Data Scientist ,Да,"Практики. Умения зарешивать кэгловские задачки. Стандартный подход к решению задач разного типа (классификации, регрессии, рекомендаций, ранжирований, понижения размерности, временного анализа) к концу курса. Ответы на практические вопросы (когда надо нормализовывать данные, как справляться с категориальными данными, что делать с пропусками). ",Сквош,Да,5,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",Ex Machina
41,2016/12/05 1:59:49 pm GMT+3,преподаватель прикладной математики. Интересует практическая сторона,Нет,практических знаний,лижи,Да,5,3,-12,2.0,Нет,Да,По нулям,12 angry man (не совсем в стиле)
42,2016/12/05 2:02:55 pm GMT+3,Менеджер проектов DS,Да,Ничего конкретного.,"Формула 1, данные есть, много",Да,2,0,-12,2.0,Да,Да,Могу редактировать свою копию,
43,2016/12/05 2:05:02 pm GMT+3,Работаю в МосгортрансНИИпроекте. Занимаюсь дата-саентологей на транспорте.,Да,Жести,Шахматы.,Да,4,3,-12,2.0,Да,Да,Могу редактировать свою копию,Игры разума
44,2016/12/05 2:05:21 pm GMT+3,"МФТИ, ФОПФ",Да,"Живого логичного изложения, внятности и практики, в т.ч. конкретные фишки,  Sklearn, etc.",Стесняюсь сказать,Да,3,3,-16,2.0,Да,Да,Могу скачать материалы,"Не могу поддержать разговор, но к янв 17 исправлюсь :)"
45,2016/12/05 2:17:14 pm GMT+3,Алгоритмист и разработчик ПО в небольшом стартапе (Тель Авив). Ну и паралелльно аспирант по математике. Влюблен в DS,Да,Углубить и расширить. И еще раз углубить,"Литробол. Голубые роботы вперед! Ну также теннис, шахматы и  крав мага",Да,5,3,-12,2.0,Да,Да,Проф,"""Девять дней одного года"". "
46,2016/12/05 2:19:38 pm GMT+3,"Учусь в МФТИ, работаю в Habidatum, активно участвую в деятельности ODS.",Да,"Поболтать с умными людьми и что-то узнать в процессе. Могу помочь с организацией, если это нужно.",,Да,3,3,-12,2.0,Да,Знаю Python,"Пользуюсь ветками, могу что-то смерджить",
47,2016/12/05 2:27:53 pm GMT+3,"Студент МФТИ, смог устроиться Junior Data Scientist-ом в Сбербанк-технологии",Да,Углубления своих знаний о ML,Хоккей (хотя доту предсказывать тоже было прикольно),Да,4,3,-12,2.0,Да,Да,Могу редактировать свою копию,http://wanna-joke.com/wp-content/uploads/2015/02/benedict-cumberbatch-name.jpg
48,2016/12/05 2:35:50 pm GMT+3,Привет. Меня зовут Илья. Хочу врубаться в новые статьи на arxiv и фигачить kaggle,Да,"Углубленного изучения алгоритмов машинного обучения, кулстори и задач из вашего опыта. Большое количество практики и вдумчивой работы с домашними заданиями (с указаниями на ошибки и peer-review)",Wineball (датасет с винишком),Да,3,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить","""Рисование методом отжига"" и ""Каникулы в Монте-Карло"". Если серьезно, то из классики: Умница Уилл Хантинг, Игры разума. Из новенького --  Из машины, Она, Черное зеркало ну и сотни тысячи их, в тематических подборках"
49,2016/12/05 2:50:06 pm GMT+3,Занимаюсь анализом социальных сетей,Да,Чтобы было интересно,,Да,4,3,,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",Игры разума
50,2016/12/05 2:53:36 pm GMT+3,"Аспирант ПОМИ им. Стеклова, участник ODS",Да,Какие-то интересные инсайты,,Да,4,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",
51,2016/12/05 3:02:50 pm GMT+3,студентка НИУ ВШЭ (специальность - бизнес-аналитика),Да,хорошую и доступную теоретическую базу+много практики,велосипед!,Да,2,,,,Да,Да,Могу скачать материалы,Игры разума
52,2016/12/05 3:10:17 pm GMT+3,"Выпускник ФКН НИУ ВШЭ, Junior Data Scientist в компании SMarkets (Лондон)",Да,Свежего взгляда на область и хорошей систематизации знаний,футбол,Да,4,3,-12,2.0,Да,Да,Проф,"На ум сразу приходит ""Хокинг"", там тоже Камбербэтч!"
53,2016/12/05 3:16:29 pm GMT+3,"Разработчик, занимаюсь анализом данных, особо интересна тема глубокого обучения",Да,"практических хаков, и хочется систематизировать свои знания",Горнолыжный спорт,Да,4,3,-12,2.0,Да,Да,Могу редактировать свою копию,Дешифровщик (2011)
54,2016/12/05 3:32:03 pm GMT+3,"Работаю пресейл-архитектором в Microsoft, учусь в аспирантуре МГУ ВМК, хочу развиваться в сторону data science",Да,"Повторение - мать учения. Пропустила часть лекций на очном курсе, продолжаю структурировать и отрабатывать знания. Практика, библиотеки, мат. и жизненное обоснование работы методов - супер.",Фехтование,Да,4,3,-12,2.0,Да,Да,Могу скачать материалы,21
55,2016/12/05 3:33:28 pm GMT+3,Занимаюсь анализом данных удаленно,Да,Понять глубже все виды лесов. Набить руку на практических заданиях,"киберспорт, видимо :)",Да,2,2,-11,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",у Камбербетча много хороших фильмов. Если еще не видел все - велком. Многие в похожем жанре байопик. А вообще на днях видел русский Коллектор - отличный фильм тоже. Почему-то у меня внутри они как-то пересекаются
56,2016/12/05 3:43:19 pm GMT+3,senior python developer,Нет,Базовые навыки и практику работы с анализом данных ,бокс,Да,2,3,-12,2.0,Да,Да,Проф,Игры разума
57,2016/12/05 3:51:53 pm GMT+3,"Живу в Екатеринбурге, занимаюсь анализом данных в телекоме и банковской сфере.",Да,"Систематического подхода к решению задач, best practices.",Бейсбол :trollface:,Да,3,3,-12,2.0,Да,Да,Могу редактировать свою копию,Человек с Земли крутой фильм. Прибытие ничего так. Игра в имитацию из-за Beryl Cumsatchel превратились в Холмса :(
58,2016/12/05 4:00:48 pm GMT+3,Выпускник МатМеха СПбГУ. Product Manager в Diginetica.,Да,Ссылки на теорию. Много практики и подхода от простых задач — к сложным. ,Бобслей,Да,5,,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",Бобби Фишер против всего мира
59,2016/12/05 4:20:05 pm GMT+3,Работаю с 1С. Хочу найти применение анализу данных на текущей работе.,Да,Закрепление материала полученного в курсах от МФТИ и ВШЭ. Надеюсь получить больше практических навыков.,Тяжелая атлетика,Да,3,3,-12,2.0,Да,Да,Могу скачать материалы,Игры разума :)
60,2016/12/05 4:32:31 pm GMT+3,"Работаю в Вышке. Математик-экономист, занимаюсь теорией турниров. ",Нет,"Получить базовые навыки анализа данных и машинного обучения для того, чтобы начать наконец делать не только теоретические исследования в области экономики спорта.",Шахматы,Да,4,3,-12,2.0,Да,Да,По нулям,Игры разума
61,2016/12/05 4:42:45 pm GMT+3,Вы меня знаете,Да,"Прослушать пару тем, по генерации признаков. Технические трюки интересны.",Триатлон и лыжи,Да,5,3,,2.0,Да,Нет,Могу редактировать свою копию,Кубы
62,2016/12/05 4:48:36 pm GMT+3,"социолог, аналитик данных криминальной статистики",Да,практика анализа и манипуляции данных в pandas и методов анализа данных,"Формула 1, Civilization 5, серия Battlefield",Да,3,3,-12,2.0,Да,Да,Могу редактировать свою копию,"""Доктор Стрейнджлав, или Как я перестал бояться и полюбил бомбу"""
63,2016/12/05 4:53:23 pm GMT+3,Разработчик frontend. Интересуюсь ml.,Да,"Сломать барьер ""начало""",Ходьба,Да,1,0.5,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",Нет
64,2016/12/05 4:55:23 pm GMT+3,Читаю про нейросети. Слушаю музыку. Готовлю конфетки.,Да,Как подготавливать данные на Питоне. Pandas -- страдание.,Тяжёлая атлетика,Да,4,3,-12,2.0,Да,"Надо посмотреть ,что там за уровень","Пользуюсь ветками, могу что-то смерджить",
65,2016/12/05 4:56:54 pm GMT+3,Менеджер по продукту в компании ЛАНИТ.,Нет,"Суметь самостоятельно решать задачи на анализ данных, понимать границы применимости, современное состояние отрасли и направление развития",Баскетбол,Да,3,3,-12,2.0,Да,Да,Могу редактировать свою копию,The Theory of Everything про Хокинга
66,2016/12/05 5:03:51 pm GMT+3,руковожу аналитикой онлайн магазина Эльдорадо.,Да,"Жду новых инсайтов в обучении ML, сильных студентов, которым можно было бы предложить работу.",теннис,Да,4,3,-12,2.0,Да,Да,Могу редактировать свою копию,
67,2016/12/05 5:36:41 pm GMT+3,"Занимаюсь системной аналитикой, работаю над одним веб-проектом. Увлечен технологиями.  ",Нет,"Погружения в область data scientist, получение новых знаний и навыков",легкая атлетика,Да,1,3,-12,2.0,Если захотеть - сможем,Да,Могу скачать материалы,"""Пи"""
68,2016/12/05 5:38:52 pm GMT+3,РП в области машинного обучения,Да,"Повторения и углубления имеющихся знаний, работу над практическими задачами.",Волейбол,Да,4,3,-11,2.0,Да,Освоил,Могу редактировать свою копию,
69,2016/12/05 5:47:52 pm GMT+3,"Менеджер, работаю с рекламой, имею высшее техническое образование. Хочу уйти работать по полученной профессии",Нет,Получение знаний и умений по анализу данных,Волейбол,Да,4,3,-11,2.0,Да,Да,По нулям,Вселенная Хокинга ;)
70,2016/12/05 5:54:43 pm GMT+3,Вяххи,Да,/shrug,Олимпиадное программирование,Да,4,3,-12,2.0,Да,Нет,Проф,A Beautiful Mind
71,2016/12/05 6:20:20 pm GMT+3,"Учусь на далёкой от темы программе в ВШЭ, но занимаюсь МЛ на майноре Data Science, делаем многое из перечисленного на R",Да,"Поучиться питону, повторить методы",велосипедный,Да,3,3,-12,4.0,"Уверена, что могу, если очень постараюсь",Да,Могу скачать материалы,
72,2016/12/05 6:29:48 pm GMT+3,"Профессиональный разработчик ПО, опыт в анализе данных, 10 сертификатов DA&ML",Нет,Анализ больших обьемов данных. Включая подходы и алгоритмы.,Бег,Да,4,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",Шерлок Холмс где Ватсон - женщина
73,2016/12/05 6:49:12 pm GMT+3,"Учусь в Вышке, работаю в Mail.Ru и Sanofi, хочу все знать",Да,Новых знаний ,Смешанные единоборства ,Да,4,0,,2.0,Да,Да,Могу скачать материалы,Умница Уилл Хантинг
74,2016/12/05 7:15:02 pm GMT+3,"Специалист в области продаж и управления,  обработкой данных занимаюсь по необходимости.",Нет,"Заполнение пробелов в знаниях, практическую направленность, гайды по применению различных алгоритмов в различных ситуациях, разбор типичных ошибок, советы по дальнейшему развитию.",Биатлон. Но его неинтересно анализировать :),Да,2,3,-12,2.0,Да,Да,Могу редактировать свою копию,"Не смотрел ""Игру в имитацию"" :)"
75,2016/12/05 7:51:08 pm GMT+3,Product manager в сфере машинного обучения,Нет,Углубления знаний,,Да,2,,,,Да,Да,Могу скачать материалы,
76,2016/12/05 7:55:41 pm GMT+3,"студентка магистратуры университета Манхайма, увлекаюсь анализом данных, хочу работать в этой сфере",Да,"улучшить свои знания алгоритмов и ML, практика, практика, практика ",теннис :-) ,Да,4,3,-12,2.0,Да,Да,Могу редактировать свою копию,"игры разума, умница уилл хантинг, двадцать одно"
77,2016/12/05 8:13:03 pm GMT+3,"Студент 3 курса, новичок в машинном обучении и анализе данных. На пути к глубокому пониманию глубинного (на самом деле, не только) обучения, компьютерного зрения. Хочу хорошо знать (понимать) математику.",Да,"Много практики и больших проектов, включающих все стадии обработки и анализа данных.",Тайский бокс,Да,3,3,-12,2.0,Да,Да,Могу редактировать свою копию,Одержимость
78,2016/12/05 8:17:36 pm GMT+3,"Физтех, работаю с распределенными системам в аутсорсе, позиция а-ля Solution Architect",Да,Больше материала чем в ML специализации от Yandex-MIPT на Coursera,Футбол,Да,3,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",не смотрел
79,2016/12/05 9:37:40 pm GMT+3,Аспирант ФКН НИУ ВШЭ,Нет,"Улучшение навыков, знакомство с новыми инструментами, расширение кругозора",Футбол,Да,3,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",Пи
80,2016/12/05 11:55:13 pm GMT+3,Интересуюсь datascience.,Да,Освоения основных приёмов при решении задач машинного обучения.,Настольный теннис,Да,3,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",Игры разума
81,2016/12/06 12:50:56 am GMT+3,Senior Python Software Engineer,щупал,вдохновения на погружение в область data science,биатлон,Да,2,3,-12,2.0,Да,Да,Проф,Я плохой кандидат для формирования рекомендаций по фильмам
82,2016/12/06 12:59:10 am GMT+3,"Студентка Физтеха, работаю с биоданными в основном",Да,"Я бы хотела, чтобы сквозь знание многих вещей ко мне пришло еще и понимание, как же надо правильно решать задачи по анализу данных, когда про эти задачи совсем ничего не известно априори.",extreme ironing,Да,3,3,-12,2.0,Да,вроде неплохо им владею,"Пользуюсь ветками, могу что-то смерджить",Игры разума
83,2016/12/06 1:25:31 am GMT+3,"Учусь на физтехе, работаю в сбт, пью пивас",Да,"Прикольные фичи, фан",Counter-Strike,Да,5,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",Горбатая гора
84,2016/12/06 3:01:46 am GMT+3,"аспирант по теор. физике, интересуюсь data science",Нет,введения в анализ данных/Machine Learning на относительно высоком уровне,волейбол на многообразиях,Да,5,2,-11,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",Энигма :) [disclaimer: не смотрел ни один из них]
86,2016/12/06 6:55:46 am GMT+3,Я заканчиваю PhD по физической химии в Лозанне и хочу после этого покинуть навсегда Мир науки чтобы попробовать себя в сфере финансов. ,Нет,Освоить Machine learning ,Шахматы,Да,4,3,-12,2.0,Нет,Да,По нулям,Тетрадь смерти (анимэ)
87,2016/12/06 9:23:23 am GMT+3,"Новичок в мире Computer Science, стремлюсь расти",Да,"Практические навыки, работа с Kaggle, интересные знакомства, оценка своих возможностей ",Волейбол,Да,4,3,-11,2.0,Да,Да,По нулям,Игры разума
88,2016/12/06 9:42:58 am GMT+3,аспирант факультета политологии Университета Калифорнии в Лос Анджелесе,Да,Систематизации знаний по машинному обучению,Волейбол,Да,5,3,-12,2.0,Да,Да,Проф,"The Theory of Everything, A Beautiful Mind, Gorrilas in the Midst, Creation, Something The Lord Made "
89,2016/12/06 10:09:44 am GMT+3,"учусь в МФТИ на втором курсе, хочу анализировать данные для физиков",Да,"то, что дают курсы по ML на курсере + пообщаться вживую с людьми",беговые лыжи,Да,5,3,-12,2.0,Да,Да,Могу скачать материалы,Игры разума
90,2016/12/06 10:34:35 am GMT+3,"Занимаюсь анализом данных ~3 лет, из них последний год с уклоном в машинное обучение. ",Да,"Хотелось бы увидеть уклон в практическое применение методов машинного обучения в реальных задачах. Также работа с текстами, что то большее чем простой TF IDF. В идеале практика с Tableau",Волейбол ,Да,4,3,-12,2.0,"Могу в лоб, но что то мне подсказывает что на больших n это будет очень долго работать.",Да,Могу редактировать свою копию," Фильм ""Игры Разума"", Сериал ""Мост"""
91,2016/12/06 10:50:51 am GMT+3,"Окончила ФКН НИУ ВШЭ и магистратуру по AI в KU Leuven (Бельгия), где в настоящее время являюсь PhD студентом. ",Да,Много практики,Бег,Да,5,3,-12,2.0,Да,Да,Могу скачать материалы,
92,2016/12/06 11:03:23 am GMT+3,"закончила магистратуру ВШЭ, работаю экспертом",Да,"много практических задач и реальных кейсов, хорошую теоретическую базу для понимания и применения в решении задач",хоккей,Да,4,3,-12,2.0,Да,Да,Могу скачать материалы,"Крах неприемлем: спасая Уолл-стрит, Предел риска, Игры разума, игра на понижение"
93,2016/12/06 11:36:10 am GMT+3,"Профессор НИУ ВШЭ, специалист по анализу данных",Нет,Расширение своего кругозора и повышения квалификации.,"горные лыжи, бадминтон",Да,5,3,-12,2.0,Нет,Да,По нулям,
95,2016/12/06 1:40:22 pm GMT+3,"Главный инженер в ЦК по Супермассивам данных в СберТехе, студент магистратуры ""Науки о Данных"" на ФКН НИУ-ВШЭ, выпускник бакалавриата ""Программная инженерия"" ФКН НИУ-ВШЭ",Да,Большого количества практических задач,Футбол,Да,4,3,-12,2.0,Да,Уже освоил,Проф,Игры разума
96,2016/12/06 1:41:07 pm GMT+3,ML aficionado,Да,"практика, практика",n/a,Да,5,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",
97,2016/12/06 2:39:05 pm GMT+3,недоэкономист,Нет,знашек,футбол,Да,4,3,,2.0,Нет,Нет,По нулям,
98,2016/12/06 2:43:22 pm GMT+3,Студентка 4 курса бакалавриата политологии НИУ ВШЭ. Зпнимаюсь статистическим анализом в социальных науках,Да,"Научиться более уверенно работать с Python, узнать новые методы",,Да,4,3,,2.0,Да,Да,Могу скачать материалы,
