"surgery","age","hospital_number","rectal_temp","pulse","respiratory_rate","temp_of_extremities","peripheral_pulse","mucous_membrane","capillary_refill_time","pain","peristalsis","abdominal_distention","nasogastric_tube","nasogastric_reflux","nasogastric_reflux_ph","rectal_exam_feces","abdomen","packed_cell_volume","total_protein","abdomo_appearance","abdomo_protein","outcome","surgical_lesion","lesion_1","lesion_2","lesion_3","cp_data"
"no","adult",529821,37.5,48,16,"normal","normal","normal_pink","less_3_sec","alert","hypermotile","none","none","none",NA,"normal",NA,37,6.5,NA,NA,"lived","no",0,0,0,"no"
"yes","adult",528890,38.9,80,44,"cool","reduced","pale_pink","more_3_sec","depressed","hypomotile","moderate","slight","less_1_liter",7,"decreased","normal",54,6.5,"serosanguious",NA,"died","yes",7111,0,0,"no"
"no","adult",529642,37.2,84,48,"cool","reduced","bright_red","more_3_sec","severe_pain","hypermotile","slight","none","less_1_liter",NA,"increased","normal",73,5.5,"cloudy",4.1,"died","no",4300,0,0,"yes"
"no","adult",529766,38.6,46,NA,"normal","normal","bright_pink","less_3_sec","alert","hypomotile","slight","none","none",NA,NA,"other",49,9.1,"clear",1.6,"lived","no",3111,0,0,"yes"
"yes","adult",527706,37.4,84,36,"normal",NA,"pale_pink","more_3_sec","mild_pain","hypomotile","slight",NA,NA,NA,"absent","distend_large",NA,NA,"serosanguious",NA,"died","yes",7209,0,0,"yes"
"no","adult",529483,NA,NA,NA,"normal","normal","pale_pink","less_3_sec","alert","hypomotile","none",NA,NA,NA,"increased","other",43,7.7,NA,NA,"lived","no",3111,0,0,"no"
"no","adult",530544,38.6,40,20,NA,NA,NA,"less_3_sec",NA,NA,NA,NA,NA,NA,NA,NA,41,6.4,NA,NA,"lived","no",3111,0,0,"yes"
"no","adult",529461,40.3,114,36,"cool","reduced","normal_pink","more_3_sec","depressed","hypomotile","moderate","slight","none",7,"normal","distend_large",57,8.1,"serosanguious",4.5,"euthanized","yes",7400,0,0,"yes"
"yes","young",5282839,38.6,160,20,"cool",NA,"bright_red","less_3_sec","mild_pain","hypomotile","severe","significant",NA,NA,"absent",NA,38,NA,"cloudy",NA,"died","yes",7111,0,0,"yes"
"yes","adult",528872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,6.7,NA,NA,"lived","yes",3112,0,0,"no"
"yes","adult",529640,NA,64,36,"warm",NA,"bright_pink","less_3_sec","extreme_pain","hypomotile","moderate","slight","less_1_liter",NA,NA,NA,42,7.7,NA,NA,"died","yes",3209,0,0,"no"
"yes","adult",528298,NA,NA,20,"cold","reduced","pale_pink",NA,"extreme_pain","absent","moderate","slight",NA,NA,"absent","distend_small",53,5.9,"serosanguious",NA,"died","yes",3205,0,0,"yes"
"no","adult",528904,NA,96,NA,"cool","reduced","pale_pink","more_3_sec","extreme_pain","absent","severe","none","less_1_liter",NA,"absent","distend_large",60,NA,NA,NA,"died","yes",4205,0,0,"no"
"no","adult",530438,37.8,48,32,"normal","normal","pale_pink","less_3_sec","depressed","hypermotile",NA,"none","none",NA,"absent","distend_large",37,6.7,NA,NA,"lived","no",2124,0,0,"no"
"no","adult",527957,38.5,60,NA,"warm","increased","normal_pink","less_3_sec","alert","normal","slight","slight","none",NA,"normal","normal",44,7.7,NA,NA,"lived","no",0,0,0,"no"
"yes","adult",528630,37.8,88,22,"warm","normal","bright_pink","less_3_sec","mild_pain",NA,NA,"slight",NA,NA,"absent",NA,64,8,"clear",6,"died","yes",3205,0,0,"yes"
"no","adult",534293,38.2,130,16,"cold","reduced","pale_cyanotic","more_3_sec","depressed","absent","severe","none","none",NA,NA,NA,65,82,"cloudy",2,"euthanized","no",2209,1400,0,"no"
"yes","adult",529667,39,64,36,"cool","normal","pale_cyanotic","more_3_sec","mild_pain","hypomotile","slight","none","less_1_liter",7,"absent","distend_large",44,7.5,"serosanguious",5,"lived","yes",2113,0,0,"yes"
"yes","adult",534885,NA,60,36,"cool","normal","pale_pink","less_3_sec","mild_pain","hypomotile","slight","none","none",NA,"decreased","distend_small",26,72,"cloudy",1,"lived","yes",2208,0,0,"no"
"no","adult",534784,37.9,72,NA,"normal","normal","bright_red","more_3_sec","mild_pain","hypomotile","none","none","more_1_liter",2,"decreased","distend_small",58,74,"clear",2,"lived","yes",2322,0,0,"no"
"no","adult",528931,38.4,54,24,"normal","normal","normal_pink","less_3_sec","alert","hypomotile","none","slight","none",NA,"decreased","other",49,7.2,"clear",NA,"lived","no",3111,0,0,"yes"
"no","adult",529777,NA,52,16,"normal",NA,"pale_pink","less_3_sec",NA,NA,NA,"slight","more_1_liter",5.5,NA,NA,55,7.2,NA,NA,"lived","no",2124,0,0,"no"
"no","adult",530276,38,48,12,"normal","normal","normal_pink","less_3_sec","alert","hypomotile",NA,"none","none",NA,"decreased","other",42,6.3,"cloudy",4.1,"lived","no",3111,0,0,"yes"
"no","adult",528214,37,60,20,"cool",NA,NA,"less_3_sec","mild_pain",NA,"moderate","slight","less_1_liter",4.5,"absent","distend_small",43,7.6,NA,NA,"euthanized","yes",2209,0,0,"yes"
"yes","adult",529424,37.8,48,28,"normal","normal","normal_pink","less_3_sec","alert","normal","none","slight",NA,NA,"normal","normal",46,5.9,"cloudy",7,"lived","no",0,0,0,"yes"
"yes","adult",5299253,37.7,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"died","yes",2113,0,0,"no"
"yes","adult",528469,38.1,52,24,"normal","normal","bright_red","less_3_sec","severe_pain","hypomotile","none","slight","more_1_liter",7,"normal",NA,54,7.5,"cloudy",2.6,"died","yes",2112,0,0,"yes"
"yes","young",5292929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,4.9,NA,NA,"died","yes",11124,0,0,"no"
"yes","young",534092,39.7,100,NA,"cool","reduced","bright_red","more_3_sec","depressed","hypomotile",NA,NA,NA,NA,NA,NA,48,57,"cloudy",2,"euthanized","yes",1400,0,0,"no"
"yes","adult",534615,37.6,38,20,"cool","reduced","normal_pink","less_3_sec","mild_pain","hypomotile","slight",NA,NA,NA,"decreased",NA,37,68,NA,NA,"lived","yes",3205,0,0,"no"
"no","adult",534753,38.7,52,20,"warm",NA,"normal_pink","less_3_sec","alert","hypermotile","none","none","none",NA,"normal","normal",33,77,NA,NA,"lived","no",0,0,0,"no"
"yes","adult",530693,NA,NA,NA,"cool","reduced","pale_pink","3","extreme_pain","hypomotile","moderate","significant","less_1_liter",NA,"absent","distend_large",46,5.9,NA,NA,"died","yes",3025,0,0,"no"
"yes","adult",527463,37.5,96,18,"normal","reduced","dark_cyanotic","more_3_sec","mild_pain","absent","slight","slight","more_1_liter",5,NA,"distend_small",69,8.9,"serosanguious",NA,"lived","yes",2208,0,0,"yes"
"yes","adult",527518,36.4,98,35,"cool","reduced","pale_cyanotic","less_3_sec","severe_pain","hypomotile","slight",NA,NA,NA,"absent","distend_small",47,6.4,"serosanguious",3.6,"died","yes",2205,0,0,"yes"
"yes","adult",534756,37.3,40,NA,NA,"reduced","normal_pink","less_3_sec","depressed","hypomotile","slight","significant","none",NA,"decreased","distend_large",36,NA,"serosanguious",2,"lived","yes",3111,0,0,"no"
"yes","young",5290759,38.1,100,80,"cool","normal","bright_pink","less_3_sec","mild_pain","absent","none",NA,NA,NA,"normal",NA,36,5.7,NA,NA,"lived","yes",3111,0,0,"no"
"yes","adult",5279822,38,NA,24,"cool","reduced","dark_cyanotic","more_3_sec","extreme_pain",NA,"severe","none","none",NA,NA,NA,68,7.8,NA,NA,"died","yes",3205,0,0,"no"
"yes","adult",529849,37.8,60,80,"normal","reduced","bright_pink","more_3_sec","depressed","hypomotile","moderate",NA,"less_1_liter",5.5,"absent",NA,40,4.5,"cloudy",NA,"lived","yes",5206,0,0,"yes"
"no","adult",529304,38,54,30,"warm","reduced","pale_pink","3","mild_pain","hypermotile","slight","slight","less_1_liter",NA,NA,"distend_small",45,6.2,NA,NA,"lived","no",400,0,0,"no"
"yes","adult",529388,NA,88,40,"cool","reduced","pale_cyanotic","more_3_sec","extreme_pain","absent","moderate","significant",NA,NA,"absent","distend_large",50,7.7,"serosanguious",1.4,"died","yes",4205,0,0,"yes"
"no","adult",528006,NA,40,16,NA,NA,NA,"less_3_sec",NA,NA,NA,NA,NA,NA,NA,NA,50,7,"cloudy",3.9,"euthanized","yes",2208,0,0,"yes"
"no","adult",529703,39,64,40,"normal","normal","bright_red","less_3_sec","mild_pain","hypomotile","slight","slight","none",NA,"decreased","firm",42,7.5,"cloudy",2.3,"lived","no",5000,0,0,"yes"
"no","adult",535381,38.3,42,10,"normal","normal","normal_pink","less_3_sec","alert","hypermotile","none",NA,NA,NA,NA,NA,38,61,NA,NA,"lived","no",0,0,0,"no"
"no","adult",534197,38,52,16,NA,NA,NA,NA,"depressed",NA,NA,NA,"more_1_liter",1,"normal","normal",53,86,NA,NA,"lived","yes",2322,0,0,"no"
"no","adult",529461,40.3,114,36,"cool","reduced","normal_pink","more_3_sec","depressed","hypomotile","moderate","slight","none",7,"normal","distend_large",57,8.1,"serosanguious",4.5,"died","yes",3205,0,0,"yes"
"no","adult",530251,38.8,50,20,"cool","normal","normal_pink","less_3_sec","alert","hypermotile","none","slight","none",NA,"decreased","normal",42,6.2,NA,NA,"lived","no",0,0,0,"no"
"no","adult",530310,NA,NA,NA,"cool","reduced","normal_pink","less_3_sec","extreme_pain","hypomotile","moderate","none","none",NA,"absent","distend_large",38,6.5,NA,NA,"died","yes",3205,0,0,"no"
"no","adult",528729,37.5,48,30,"cold","normal","pale_pink","less_3_sec",NA,"normal","none","none","none",NA,"normal","normal",48,8.6,NA,NA,"lived","no",0,0,0,"no"
"yes","adult",535158,37.3,48,20,NA,"normal","bright_pink","less_3_sec","mild_pain","hypomotile","moderate","slight","none",NA,"decreased","distend_large",41,69,NA,NA,"lived","yes",3205,0,0,"no"
"no","adult",530319,NA,84,36,NA,NA,"pale_pink","less_3_sec",NA,"hypomotile","none","slight","none",NA,"decreased","other",44,8.5,NA,NA,"lived","yes",3111,0,0,"no"
"yes","adult",534145,38.1,88,32,"cool","reduced","pale_cyanotic","less_3_sec","depressed","hypomotile","moderate",NA,"more_1_liter",1,"absent","distend_large",55,60,NA,NA,"euthanized","no",3205,0,0,"no"
"no","adult",534135,37.7,44,40,"warm","normal","pale_pink","less_3_sec","alert","hypomotile","slight","none","none",NA,"normal","distend_large",41,60,NA,NA,"lived","no",0,0,0,"no"
"no","adult",530002,39.6,108,51,"cool","reduced","dark_cyanotic","more_3_sec","depressed","absent","moderate","none","less_1_liter",NA,"decreased","distend_large",59,8,"cloudy",2.6,"lived","no",4300,0,0,"yes"
"yes","adult",535364,38.2,40,16,"cool","reduced","normal_pink","less_3_sec","alert","hypomotile",NA,NA,NA,NA,"normal","normal",34,66,NA,NA,"lived","no",0,0,0,"no"
"yes","adult",534899,NA,60,20,"cold","reduced","pale_cyanotic","more_3_sec","extreme_pain","absent",NA,NA,"none",NA,"absent","distend_large",NA,NA,NA,NA,"euthanized","yes",3205,0,0,"no"
"no","adult",534938,38.3,40,16,"cool",NA,"normal_pink","less_3_sec","depressed",NA,NA,NA,NA,NA,NA,NA,37,57,NA,NA,"lived","no",0,0,0,"no"
"yes","young",5292489,38,140,68,"normal","normal","normal_pink","less_3_sec","mild_pain","hypomotile","slight",NA,NA,NA,"increased","normal",39,5.3,NA,NA,"lived","yes",7111,0,0,"no"
"yes","adult",527563,37.8,52,24,"normal","reduced","pale_pink","less_3_sec","severe_pain","absent","none","slight","more_1_liter",5.7,"increased","distend_large",48,6.6,"clear",3.7,"died","yes",5400,0,0,"no"
"yes","adult",530381,NA,70,36,"normal",NA,"pale_pink","more_3_sec","depressed","hypomotile","slight","slight",NA,NA,"absent","distend_large",36,7.3,NA,NA,"lived","yes",31110,0,0,"no"
"yes","adult",528668,38.3,52,96,NA,"reduced","pale_pink","less_3_sec",NA,NA,NA,"none","none",NA,"normal",NA,43,6.1,NA,NA,"lived","yes",3209,0,0,"yes"
"no","adult",529764,37.3,50,32,"normal","normal","pale_pink","less_3_sec","alert","hypomotile","slight",NA,NA,NA,"normal",NA,44,7,NA,NA,"lived","no",0,0,0,"no"
"yes","adult",533696,38.7,60,32,"cold","reduced","bright_pink","more_3_sec","severe_pain","absent","severe",NA,NA,NA,"absent","distend_large",53,64,"serosanguious",2,"euthanized","yes",3205,0,0,"no"
"yes","young",5297379,38.4,84,40,"cool","reduced","bright_pink","less_3_sec","mild_pain","hypomotile","moderate","none","none",NA,NA,NA,36,6.6,"cloudy",2.8,"died","yes",2205,0,0,"yes"
"yes","adult",527544,NA,70,16,"cool","absent","bright_red","more_3_sec","depressed","hypomotile","slight","slight","none",NA,"absent","distend_large",60,7.5,NA,NA,"died","yes",2112,0,0,"no"
"yes","adult",533736,38.3,40,16,"cool",NA,NA,"less_3_sec","alert","hypomotile","slight",NA,NA,NA,NA,NA,38,58,"clear",2,"lived","yes",3111,7111,0,"no"
"yes","adult",534963,NA,40,NA,"warm","normal","normal_pink","less_3_sec","alert","hypomotile","none","none","none",NA,NA,"distend_large",39,56,NA,NA,"lived","yes",3111,0,0,"no"
"yes","adult",527933,36.8,60,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"died","yes",3205,0,0,"yes"
"yes","adult",532349,38.4,44,24,"cool",NA,"pale_cyanotic",NA,"extreme_pain","absent","moderate","slight","none",NA,"absent","distend_large",50,77,NA,NA,"lived","yes",3205,0,0,"no"
"no","adult",533723,NA,NA,40,"cool","normal","normal_pink","less_3_sec","mild_pain","hypomotile","slight",NA,NA,NA,NA,NA,45,70,NA,NA,"lived","no",0,0,0,"no"
"yes","adult",535208,38,44,12,"normal","normal","normal_pink","less_3_sec","mild_pain","hypomotile","moderate","slight","none",NA,"absent","distend_large",42,65,NA,NA,"lived","yes",3205,3111,0,"no"
"no","adult",5290482,39.5,NA,NA,"cool","reduced","pale_cyanotic","more_3_sec","mild_pain","absent","moderate",NA,"more_1_liter",5.5,"absent","distend_large",NA,6.7,"clear",NA,"euthanized","yes",4205,0,0,"no"
"yes","adult",533983,36.5,78,30,"normal",NA,"normal_pink","less_3_sec","extreme_pain","hypomotile","none",NA,"none",NA,NA,NA,34,75,"cloudy",1,"lived","yes",3112,6112,0,"no"
"no","adult",535166,38.1,56,20,"warm","normal","bright_pink","less_3_sec","alert","hypomotile","none","none","none",NA,NA,NA,46,70,NA,NA,"lived","no",0,0,0,"no"
"yes","adult",528682,39.4,54,66,"normal","normal","bright_pink","less_3_sec","depressed","hypomotile","slight","none","none",NA,"decreased","distend_small",39,6,"cloudy",NA,"lived","yes",2206,0,0,"yes"
"yes","adult",534556,38.3,80,40,NA,NA,"dark_cyanotic","more_3_sec","severe_pain","hypomotile","none",NA,"less_1_liter",NA,"normal","distend_small",67,10.2,"cloudy",1,"euthanized","yes",2208,0,0,"no"
"no","adult",534579,38.7,40,28,"warm","normal","normal_pink","less_3_sec","mild_pain","hypermotile","none",NA,NA,NA,"normal",NA,39,62,"clear",1,"lived","no",0,0,0,"no"
"yes","adult",530360,38.2,64,24,"normal","normal","pale_pink","less_3_sec","severe_pain","absent","moderate","slight","none",NA,"absent","distend_small",45,7.5,"clear",2,"died","yes",3205,0,0,"yes"
"no","adult",529840,37.6,48,20,"cool","normal","pale_cyanotic","less_3_sec","alert","hypermotile","moderate","slight","none",NA,"normal","normal",37,5.5,NA,NA,"euthanized","yes",2205,0,0,"no"
"yes","adult",528461,38,42,68,"cold","normal","normal_pink","less_3_sec","mild_pain","hypomotile","slight","slight","less_1_liter",NA,"absent","distend_small",41,7.6,NA,NA,"lived","yes",2205,0,0,"no"
"yes","adult",530384,38.7,NA,NA,"cool","normal","pale_pink","less_3_sec","extreme_pain","absent","slight",NA,NA,NA,NA,NA,33,6.5,"cloudy",NA,"lived","yes",31110,0,0,"no"
"yes","adult",5262541,37.4,50,32,"cool","reduced",NA,"less_3_sec","severe_pain","absent","none","slight","none",NA,"normal",NA,45,7.9,"cloudy",1,"lived","yes",2208,0,0,"yes"
"yes","adult",535330,37.4,84,20,NA,NA,"pale_pink","less_3_sec","depressed","hypomotile","moderate",NA,NA,NA,NA,NA,31,61,NA,1,"euthanized","no",2208,0,0,"no"
"yes","adult",527698,38.4,49,NA,NA,NA,"normal_pink","less_3_sec",NA,NA,"none","slight","none",NA,NA,NA,44,7.6,NA,NA,"lived","yes",2206,0,0,"no"
"yes","adult",528964,37.8,30,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"died","yes",2113,0,0,"no"
"no","adult",530670,37.6,88,36,"cool","normal","normal_pink","less_3_sec","mild_pain","hypomotile","slight","none","more_1_liter",1.5,NA,NA,44,6,NA,NA,"died","yes",1400,0,0,"no"
"no","adult",530294,37.9,40,24,"normal","normal","normal_pink","less_3_sec","depressed","hypomotile","none",NA,NA,NA,NA,"firm",40,5.7,NA,NA,"lived","yes",400,0,0,"no"
"yes","adult",527524,NA,100,NA,"cool",NA,"pale_cyanotic","more_3_sec","extreme_pain","absent",NA,"slight",NA,NA,"increased",NA,59,6.3,NA,NA,"died","yes",4205,0,0,"no"
"yes","young",5287179,38.1,136,48,"cool","reduced","pale_pink","less_3_sec","extreme_pain","hypermotile","moderate","slight","less_1_liter",4.4,"increased",NA,33,4.9,"cloudy",2.9,"died","yes",2205,0,0,"yes"
"yes","adult",530693,NA,NA,NA,"cool","reduced","pale_pink","more_3_sec","extreme_pain","hypomotile","moderate","significant","less_1_liter",NA,"absent","distend_large",46,5.9,NA,NA,"died","yes",3025,0,0,"no"
"yes","adult",534324,38,48,NA,"normal","normal","normal_pink","less_3_sec","alert","normal","severe","slight","less_1_liter",NA,"absent","distend_large",NA,NA,NA,NA,"lived","yes",3111,0,0,"no"
"no","adult",532349,38,56,NA,"normal","increased","pale_pink","less_3_sec","alert","hypermotile","none","none","none",NA,"normal","normal",42,71,NA,NA,"lived","no",0,0,0,"no"
"no","adult",534491,38,60,32,"normal","normal",NA,"less_3_sec","mild_pain","hypomotile",NA,"none","none",NA,NA,NA,50,7,"clear",1,"lived","no",0,0,0,"no"
