Month,DayofMonth,DayOfWeek,DepTime,UniqueCarrier,Origin,Dest,Distance,dep_delayed_15min
c-6,c-16,c-4,1259,DL,SLC,CVG,1449,N
c-5,c-22,c-1,834,DL,ATL,PBI,545,N
c-9,c-10,c-6,1802,NW,BOS,DTW,632,N
c-7,c-9,c-7,2059,B6,JFK,SJU,1597,N
c-5,c-25,c-4,905,YV,DRO,DEN,251,N
c-5,c-29,c-1,1132,US,RDU,PHL,336,N
c-7,c-9,c-6,815,DH,IAD,CHS,441,N
c-11,c-3,c-4,1210,WN,TPA,PVD,1137,N
c-9,c-5,c-2,835,AA,CLT,DFW,936,N
c-6,c-17,c-6,1235,YV,IAD,LGA,229,N
c-8,c-4,c-4,1204,NW,ONT,MSP,1494,N
c-3,c-7,c-2,1545,EV,MLU,ATL,448,N
c-9,c-2,c-5,1202,DL,VPS,ATL,264,N
c-3,c-22,c-3,1412,UA,IAH,DEN,861,N
c-4,c-27,c-4,1825,WN,PHX,SAN,304,N
c-7,c-4,c-2,2042,US,LAS,PDX,762,N
c-5,c-24,c-2,1058,AA,MIA,LGA,1097,Y
c-7,c-31,c-1,1647,AA,ATL,MIA,595,N
c-6,c-20,c-1,920,WN,STL,OKC,462,Y
c-12,c-23,c-5,724,CO,SEA,IAH,1874,N
c-5,c-17,c-3,1252,UA,SAN,IAD,2253,N
c-9,c-26,c-1,2050,NW,MDW,MSP,349,Y
c-1,c-12,c-3,633,DL,BOS,ATL,946,Y
c-10,c-14,c-6,850,AA,TUL,DFW,237,Y
c-3,c-14,c-1,1140,OH,CVG,ACY,542,N
c-1,c-8,c-7,1454,EV,ATL,CAK,528,Y
c-8,c-7,c-1,2037,AA,DFW,PDX,1616,Y
c-9,c-18,c-7,1622,OO,SBA,SLC,615,N
c-2,c-10,c-5,930,YV,PWM,IAD,494,N
c-5,c-17,c-2,615,WN,RNO,SJC,188,N
c-7,c-7,c-4,1124,OO,IDA,SLC,188,N
c-3,c-4,c-6,1127,NW,MCO,DTW,957,N
c-4,c-11,c-2,2141,OO,ORD,MEM,491,Y
c-4,c-8,c-6,725,OH,SAT,CVG,1024,Y
c-10,c-7,c-6,2112,DL,SLC,PDX,630,N
c-4,c-5,c-2,550,WN,PHX,LAS,256,N
c-7,c-16,c-7,1806,DL,ATL,PHL,665,N
c-3,c-27,c-7,1125,WN,ONT,SMF,389,N
c-3,c-17,c-5,1815,NW,PHX,MSP,1276,Y
c-2,c-27,c-1,1915,B6,FLL,JFK,1069,N
c-4,c-27,c-4,750,OO,LAX,ABQ,677,N
c-5,c-13,c-5,1329,DL,ATL,JAX,270,N
c-12,c-23,c-5,1727,OO,ACV,SFO,250,Y
c-10,c-1,c-7,1337,B6,JFK,PBI,1028,Y
c-4,c-11,c-1,1618,DL,ATL,LAX,1946,N
c-4,c-29,c-5,828,NW,CHS,DTW,668,N
c-7,c-27,c-4,1323,WN,PHL,MCO,861,Y
c-2,c-23,c-3,657,DL,STL,ATL,483,N
c-11,c-26,c-6,1024,NW,DTW,LAN,74,N
c-12,c-23,c-5,555,OH,BGM,CVG,506,N
c-3,c-11,c-5,1747,UA,MSY,ORD,837,N
c-5,c-4,c-4,1820,UA,DEN,MSP,680,N
c-7,c-13,c-3,1229,EV,ATL,MSP,906,N
c-2,c-20,c-1,1534,HA,OGG,KOA,84,N
c-9,c-10,c-6,1729,OH,JFK,STL,892,N
c-11,c-16,c-3,1407,AA,LGA,BNA,764,N
c-7,c-18,c-2,1856,UA,DEN,RNO,804,Y
c-4,c-13,c-4,926,MQ,LGA,RDU,431,N
c-9,c-28,c-4,1748,CO,SFO,IAH,1635,N
c-6,c-17,c-5,1425,OH,DSM,CVG,505,N
c-4,c-17,c-7,2029,XE,CLE,BNA,448,N
c-3,c-10,c-5,802,OO,SLC,IDA,188,N
c-6,c-2,c-5,1804,EV,ATL,EVV,350,Y
c-5,c-15,c-7,726,CO,EWR,MCO,938,N
c-3,c-28,c-2,1656,UA,ORD,PIT,412,Y
c-6,c-2,c-4,1653,US,MCI,CLT,809,N
c-6,c-3,c-5,2017,DL,MOB,ATL,302,Y
c-2,c-2,c-4,710,WN,BWI,MCO,787,N
c-6,c-24,c-5,1002,FL,CAK,ATL,528,N
c-4,c-12,c-3,925,DL,ATL,SAT,874,N
c-3,c-6,c-7,1712,NW,MSP,LAS,1300,N
c-5,c-21,c-6,1604,MQ,SAN,SJC,417,N
c-8,c-6,c-7,1917,US,DCA,TPA,814,N
c-2,c-21,c-1,1259,DL,SNA,SLC,588,N
c-5,c-6,c-6,1901,US,RSW,CLT,600,N
c-4,c-6,c-3,621,NW,DCA,DTW,405,N
c-4,c-8,c-5,1046,MQ,LIT,DFW,304,N
c-1,c-17,c-1,645,EV,FAY,ATL,331,N
c-9,c-18,c-7,1641,EV,DSM,ATL,743,N
c-2,c-10,c-5,1453,OO,DEN,ELP,563,N
c-4,c-7,c-4,1525,MQ,LIT,DFW,304,N
c-6,c-29,c-4,1606,XE,SHV,IAH,192,Y
c-2,c-1,c-3,1123,WN,TUS,SAN,367,N
c-12,c-31,c-7,1503,WN,DEN,LAS,629,N
c-11,c-21,c-2,1311,NW,IND,DTW,231,N
c-5,c-31,c-2,959,UA,STL,ORD,258,N
c-12,c-15,c-4,1456,MQ,LAX,SAN,109,N
c-8,c-10,c-3,2255,EV,ATL,LEX,303,N
c-8,c-4,c-5,1445,AQ,HNL,ITO,216,N
c-11,c-15,c-2,705,DH,CAE,IAD,401,N
c-12,c-3,c-7,1507,OO,SLC,RNO,422,N
c-3,c-31,c-5,1311,XE,PHL,CLE,363,N
c-12,c-3,c-7,1220,OH,JFK,BUF,301,N
c-6,c-2,c-4,1710,WN,SLC,BOI,291,N
c-3,c-12,c-6,2022,OO,TUS,LAX,451,N
c-8,c-13,c-7,1808,AA,MCO,DFW,984,Y
c-7,c-2,c-6,1334,NW,MSP,MCO,1310,N
c-9,c-5,c-1,2233,OO,SFO,SBP,191,N
c-5,c-6,c-6,1401,WN,OAK,PDX,543,Y
c-9,c-23,c-6,1906,WN,PVD,TPA,1137,N
c-5,c-20,c-6,1209,AA,ONT,DFW,1189,N
c-2,c-27,c-7,1908,OH,DCA,BOS,399,N
c-12,c-26,c-1,758,AS,SEA,KTN,680,N
c-11,c-27,c-7,831,OO,ORD,SGF,438,N
c-10,c-29,c-7,1715,NW,ROC,DTW,296,N
c-4,c-7,c-5,630,XE,CHS,IAH,925,N
c-7,c-10,c-7,652,XE,CRP,IAH,201,N
c-8,c-22,c-1,638,OO,MFR,SLC,575,N
c-12,c-5,c-1,1640,WN,OAK,SAN,446,N
c-8,c-21,c-7,733,DL,IAD,ATL,533,N
c-6,c-29,c-4,2055,AA,DFW,BNA,631,N
c-7,c-19,c-2,1838,NW,MSP,RDU,981,N
c-8,c-15,c-2,1700,EV,VLD,ATL,208,Y
c-2,c-5,c-7,2040,US,PHL,SFO,2521,Y
c-12,c-25,c-1,809,WN,PHL,HOU,1335,Y
c-10,c-21,c-6,1313,EV,MDW,ATL,590,N
c-12,c-19,c-1,1455,OH,CVG,ALB,623,N
c-4,c-20,c-3,1725,NW,TPA,DTW,983,N
c-6,c-14,c-2,1442,DL,AUS,CVG,958,N
c-12,c-5,c-1,1229,UA,DEN,LGA,1619,N
c-3,c-21,c-2,2125,WN,DAL,TUL,237,N
c-8,c-29,c-1,1920,XE,CLE,ABE,339,N
c-6,c-16,c-4,1120,WN,OAK,SNA,371,Y
c-11,c-22,c-3,709,WN,ELP,AUS,528,N
c-9,c-21,c-4,1140,WN,SAT,DAL,248,N
c-12,c-11,c-1,2352,UA,ORD,SFO,1846,Y
c-4,c-27,c-3,920,OH,RIC,CVG,413,N
c-5,c-21,c-7,949,NW,DTW,PVD,614,N
c-12,c-29,c-5,1500,NW,DTW,TPA,983,Y
c-1,c-19,c-4,2053,MQ,BOS,JFK,187,N
c-8,c-10,c-4,2115,MQ,DFW,AMA,313,Y
c-10,c-4,c-3,1152,CO,IAH,MCO,853,N
c-9,c-10,c-6,730,WN,OAK,SNA,371,N
c-8,c-24,c-3,1649,HP,BWI,PHX,1999,N
c-5,c-22,c-7,1456,MQ,DFW,LIT,304,N
c-12,c-19,c-1,727,XE,OKC,EWR,1325,N
c-8,c-20,c-7,616,MQ,MKE,ORD,67,N
c-9,c-19,c-2,1228,US,TPA,PIT,873,N
c-10,c-6,c-5,754,AS,SEA,ANC,1449,N
c-2,c-24,c-5,1010,US,PHX,IND,1489,N
c-1,c-11,c-2,1055,OH,SGF,CVG,491,Y
c-8,c-30,c-2,1931,DL,ATL,DTW,594,N
c-12,c-19,c-2,1647,OO,TYS,ORD,475,N
c-2,c-10,c-5,1557,CO,BWI,IAH,1235,N
c-8,c-28,c-7,1142,US,PHL,RDU,336,N
c-8,c-31,c-3,1625,AA,ORD,SEA,1721,N
c-4,c-5,c-2,1459,OO,CLE,DEN,1201,N
c-12,c-27,c-3,1110,OH,CVG,ROA,282,N
c-1,c-19,c-4,1743,DL,ATL,LEX,303,N
c-9,c-19,c-1,1430,OH,TPA,LEX,704,N
c-9,c-30,c-5,1905,WN,MAF,AUS,294,N
c-8,c-14,c-1,1603,AS,LAX,SEA,954,N
c-10,c-27,c-5,2202,MQ,ORD,GSP,577,Y
c-1,c-20,c-5,1927,US,CLT,ROC,573,N
c-7,c-4,c-2,1714,WN,LAS,ELP,584,N
c-10,c-27,c-5,956,AA,SAN,DFW,1171,N
c-6,c-2,c-4,654,DL,STL,ATL,483,N
c-8,c-2,c-3,1034,AA,SAT,DFW,247,N
c-7,c-31,c-1,45,DL,LAX,ATL,1946,Y
c-7,c-17,c-7,1047,WN,SMF,LAX,373,N
c-10,c-12,c-3,1724,UA,DEN,SMF,910,Y
c-3,c-10,c-5,727,AA,ORF,DFW,1213,N
c-12,c-28,c-3,943,EV,ATL,SAV,215,Y
c-11,c-17,c-4,1900,EV,CVG,TOL,181,Y
c-2,c-22,c-3,600,WN,PDX,OAK,543,N
c-5,c-3,c-3,1150,OH,CHO,CVG,342,N
c-12,c-27,c-2,2224,WN,SJC,ONT,333,Y
c-12,c-22,c-4,1101,EV,SHV,ATL,552,N
c-4,c-3,c-7,1644,UA,SFO,OGG,2338,N
c-5,c-24,c-3,1208,UA,SJC,DEN,948,Y
c-11,c-7,c-2,1418,DL,ATL,SAT,874,N
c-11,c-25,c-5,2022,AS,ANC,SEA,1449,N
c-6,c-15,c-3,1500,AA,DFW,DTW,987,N
c-8,c-1,c-2,1413,DL,ATL,CHS,259,N
c-5,c-27,c-5,1102,DL,DAB,ATL,366,N
c-4,c-4,c-2,1450,WN,CLE,LAS,1825,N
c-3,c-14,c-1,810,UA,EGE,DEN,121,N
c-3,c-5,c-6,1149,OO,DEN,FAT,844,N
c-5,c-28,c-7,1514,XE,EWR,MCI,1092,N
c-12,c-29,c-4,1941,AA,RSW,ORD,1120,N
c-5,c-27,c-5,2045,XE,CLE,MSN,402,N
c-9,c-7,c-3,1608,AA,MCO,BOS,1121,N
c-8,c-27,c-6,2023,HP,SFO,LAS,414,N
c-9,c-11,c-1,558,AS,ANC,SEA,1449,N
c-2,c-20,c-1,1652,XE,CLE,DFW,1021,N
c-4,c-20,c-3,2111,US,CLT,DCA,331,N
c-9,c-1,c-4,1827,OO,SLC,FCA,532,N
c-1,c-17,c-1,1714,DL,RDU,ATL,356,N
c-10,c-5,c-3,659,AA,IAH,DFW,224,N
c-5,c-10,c-3,1003,UA,ORD,OAK,1835,N
c-2,c-24,c-5,943,OO,BOI,SLC,291,N
c-8,c-16,c-3,558,AS,SEA,SJC,697,N
c-7,c-23,c-7,938,NW,PHL,DTW,453,N
c-5,c-19,c-5,1451,OO,SAN,SLC,626,N
c-12,c-8,c-5,724,US,IAD,PHX,1956,Y
c-10,c-22,c-7,2326,B6,JFK,CMH,483,Y
c-4,c-15,c-5,1146,DL,SNA,ATL,1919,N
c-8,c-23,c-3,1015,MQ,GSP,DFW,862,N
c-9,c-16,c-6,1741,MQ,TYS,ORD,475,N
c-5,c-20,c-5,1156,NW,GRR,DTW,120,N
c-8,c-22,c-2,1114,XE,EWR,RDU,416,N
c-8,c-28,c-1,1640,AA,MFE,DFW,468,N
c-1,c-16,c-7,1953,US,PHL,PIT,267,N
c-7,c-14,c-4,643,HP,LAX,PHX,370,N
c-12,c-21,c-3,655,XE,MCI,EWR,1092,N
c-9,c-18,c-1,1738,AA,BOS,DFW,1562,N
c-6,c-29,c-4,657,US,ELP,PHX,347,Y
c-9,c-8,c-5,1916,XE,IAH,GRR,1042,N
c-11,c-11,c-6,1036,AA,DFW,BUR,1231,N
c-12,c-28,c-3,1907,DL,SLC,SEA,689,N
c-3,c-20,c-7,1239,UA,LAS,ORD,1515,N
c-9,c-21,c-4,1302,HA,HNL,SFO,2398,N
c-10,c-10,c-1,2205,DL,ATL,SAN,1891,Y
c-10,c-24,c-1,1305,OO,BIS,DEN,517,N
c-1,c-25,c-2,1803,XE,JAN,IAH,351,N
c-9,c-23,c-6,1533,OH,CVG,AVL,275,Y
c-5,c-10,c-3,1031,MQ,SAN,SJC,417,N
c-1,c-7,c-5,1333,NW,EWR,MSP,1008,N
c-10,c-15,c-7,1446,OO,ORD,MKE,67,N
c-4,c-5,c-2,919,EV,CAK,CVG,214,N
c-2,c-10,c-5,606,US,FLL,PHL,992,N
c-2,c-17,c-5,1637,US,JAX,DCA,634,N
c-7,c-19,c-3,701,UA,GSO,ORD,590,N
c-8,c-31,c-3,1905,WN,DAL,LIT,296,Y
c-5,c-23,c-1,2055,OH,DTW,CVG,229,Y
c-1,c-27,c-4,855,US,PIT,PBI,952,N
c-9,c-9,c-6,1115,OH,BUF,CVG,410,N
c-5,c-17,c-2,1702,B6,TPA,JFK,1005,Y
c-12,c-24,c-6,706,F9,DEN,DFW,641,N
c-11,c-18,c-6,1426,NW,MSO,MSP,1013,Y
c-3,c-16,c-4,2027,US,PIT,PHL,267,N
c-3,c-22,c-2,1131,AA,MSY,ORD,837,N
c-1,c-27,c-5,700,MQ,BGR,BOS,201,N
c-2,c-15,c-3,1145,NW,BNA,MEM,200,N
c-5,c-20,c-6,1035,UA,LAX,MCO,2217,N
c-8,c-16,c-2,809,OO,SLC,RNO,422,N
c-5,c-12,c-5,1030,EV,ATL,MLU,448,N
c-1,c-28,c-6,638,WN,OKC,PHX,833,N
c-8,c-19,c-6,1450,XE,IND,CLE,261,N
c-11,c-24,c-4,1427,NW,IND,DTW,231,N
c-8,c-15,c-2,1615,WN,PHL,BDL,196,N
c-11,c-2,c-3,1008,MQ,DFW,JAN,408,N
c-11,c-13,c-1,746,FL,JAX,ATL,270,Y
c-11,c-9,c-3,1807,AA,DFW,ELP,551,N
c-7,c-27,c-4,1435,EV,OKC,SLC,866,N
c-1,c-9,c-7,1119,OO,IDA,SLC,188,N
c-12,c-14,c-3,659,AA,LAX,FLL,2342,N
c-1,c-17,c-2,1246,US,SNA,PHX,338,N
c-1,c-25,c-2,626,MQ,OKC,ORD,693,N
c-2,c-8,c-3,547,OO,CEC,ACV,56,N
c-2,c-8,c-3,1052,US,ATL,PHX,1587,N
c-4,c-15,c-6,1342,DL,PHX,ATL,1587,N
c-2,c-27,c-7,745,FL,DEN,ATL,1199,N
c-10,c-2,c-1,1640,DL,DEN,ATL,1199,N
c-9,c-10,c-7,704,FL,ICT,ATL,781,N
c-1,c-29,c-7,1432,XE,IAH,ELP,667,N
c-4,c-22,c-5,1438,DL,ATL,HOU,696,N
c-3,c-16,c-4,1135,NW,MCO,MSP,1310,Y
c-8,c-15,c-1,855,OH,LGA,CLT,544,Y
c-2,c-1,c-2,930,DL,EWR,CVG,569,N
c-8,c-7,c-1,1431,CO,MYR,EWR,550,N
c-1,c-24,c-2,604,DL,DCA,ATL,547,N
c-5,c-9,c-1,715,WN,CLE,STL,487,N
c-2,c-17,c-4,538,DL,MDW,ATL,590,N
c-6,c-6,c-2,1748,OO,PHX,LAX,370,N
c-12,c-30,c-6,1704,US,JAX,CLT,329,N
c-3,c-22,c-2,1112,MQ,ORD,RIC,642,N
c-9,c-29,c-4,1220,EV,ATL,CAK,528,N
c-3,c-18,c-5,1803,US,PIT,SAN,2106,N
c-4,c-9,c-7,706,UA,OAK,IAD,2408,N
c-7,c-29,c-6,1820,YV,PHX,OMA,1037,N
c-5,c-8,c-1,1002,YV,DEN,COS,72,N
c-5,c-19,c-5,1855,AS,SEA,PHX,1107,N
c-3,c-19,c-6,2017,OO,DEN,FAT,844,N
c-1,c-6,c-5,601,AS,SEA,LAX,954,N
