wage;exper;union;goodhlth;black;female;married;service;educ;looks
6.75;21;0;0;0;0;1;1;17;3
10.22;26;0;1;0;1;0;1;17;3
4.76;8;1;1;0;0;1;1;16;3
1.76;24;0;1;0;1;0;1;17;3
12.73;15;1;1;0;0;1;1;17;4
5.85;26;1;1;0;0;1;0;12;3
3.17;6;0;0;0;0;1;0;16;3
5.99;19;0;1;0;0;1;0;12;2
4.62;4;0;1;0;0;1;0;12;3
1.8;23;0;1;0;0;1;1;13;4
5.95;25;0;1;0;0;1;1;13;4
7.46;18;0;1;0;0;1;0;12;3
8.7;27;0;1;0;0;1;0;13;2
3.75;16;0;1;0;0;1;0;10;3
7.69;20;0;1;0;0;1;1;12;3
5.24;12;0;0;0;0;1;0;14;3
10.1;35;0;1;0;0;1;0;12;4
3.75;36;0;1;0;0;0;0;12;1
5.79;35;0;1;0;0;1;0;13;3
5.06;5;0;1;0;0;1;1;17;3
7.96;15;1;1;0;0;1;0;13;4
12.82;44;1;1;0;0;1;0;12;3
8.46;28;0;1;0;0;1;0;13;3
3.76;2;1;1;0;1;0;1;13;4
2.86;43;0;1;0;0;1;1;12;3
11.81;30;1;1;0;0;1;0;10;3
7.69;26;0;1;0;0;1;0;12;3
7.21;40;1;0;0;0;1;0;12;3
2.88;7;0;1;1;1;0;1;13;4
5.73;10;1;1;0;1;0;0;12;3
4.49;37;0;1;0;0;1;1;12;2
9.57;27;1;1;0;0;1;1;17;4
3.61;5;0;1;0;0;1;1;17;3
7.77;14;0;1;0;0;1;0;13;2
9.23;16;0;1;0;0;0;0;16;2
5.58;4;0;1;0;0;1;0;17;3
5.34;39;0;1;0;0;1;1;16;3
5.17;32;1;1;0;0;1;1;12;3
6.41;16;0;1;0;0;1;1;17;4
7.4;10;0;1;0;1;0;1;17;4
6.75;15;0;1;0;0;1;0;17;4
8.46;10;0;1;0;0;1;1;17;4
4.61;10;0;1;0;1;0;0;13;3
8.61;12;0;0;0;1;1;0;12;3
5.24;4;0;1;0;0;0;0;16;4
15.38;12;0;1;0;0;0;0;17;3
2.37;15;0;1;0;1;1;0;12;4
6.72;37;0;1;0;1;0;0;12;4
9.4;23;0;1;0;0;1;0;14;4
7.84;15;0;1;0;0;1;0;16;3
15;10;0;1;0;0;0;0;17;4
4.7;14;0;1;0;1;1;0;12;4
11.28;17;0;1;0;0;0;0;13;3
11.97;24;0;1;0;0;1;0;16;3
13.99;13;0;1;0;0;1;0;17;4
3;5;0;1;0;1;1;0;13;3
3.41;20;0;1;0;1;1;0;12;3
9.62;29;0;1;0;0;1;0;14;4
6.73;10;0;1;0;0;0;0;16;4
9.62;36;0;1;0;0;1;1;13;3
5.19;15;0;1;0;1;1;1;13;3
4.62;26;0;1;0;1;1;1;12;3
5.03;13;0;1;0;1;1;1;14;4
9.84;26;0;1;0;0;1;0;14;3
5.29;9;1;1;0;0;1;0;12;3
10.99;40;0;1;0;0;1;0;12;1
7.08;28;1;0;0;0;1;0;16;3
8.17;12;0;1;0;0;0;0;16;2
5.88;25;0;1;0;1;1;1;13;4
7.92;18;0;1;0;1;1;0;13;4
4.44;9;0;1;0;0;0;0;17;3
6.64;9;1;1;0;0;1;0;13;3
15.8;30;0;0;0;0;1;0;17;4
9.23;40;0;1;0;1;0;0;14;3
12.82;36;0;1;0;0;1;0;17;3
14.18;30;0;1;0;0;1;0;16;4
11.54;27;1;1;0;0;1;1;12;3
9.4;22;1;1;0;0;1;1;12;3
10.39;40;1;1;0;0;1;0;13;3
5.54;40;0;1;1;0;1;1;12;3
7.86;21;0;1;0;0;1;0;14;3
8.17;36;1;0;0;0;1;0;13;3
4.05;16;0;1;0;1;1;1;12;4
7.81;36;1;0;0;0;1;0;10;3
2.56;18;0;1;0;0;1;0;13;3
12.98;11;0;1;0;0;0;0;16;4
41.67;16;0;0;0;0;1;0;13;4
4.81;12;0;1;0;1;1;0;13;4
1.32;2;1;1;0;0;1;0;10;3
3.71;4;0;1;0;0;0;0;16;3
4.81;21;1;1;0;0;1;1;16;3
4.68;4;0;1;0;0;0;0;12;3
8.21;32;1;1;0;1;0;1;17;2
4.03;7;0;1;0;1;0;0;16;3
4.81;5;0;0;0;0;0;0;13;3
15.63;23;0;1;0;0;1;0;16;3
7.69;23;1;1;0;0;1;0;5;3
7.17;14;0;1;0;0;1;0;13;3
8.08;13;0;1;0;0;1;0;16;4
9.03;28;0;1;0;0;1;0;13;3
6.75;35;0;1;0;0;1;0;14;4
8.44;16;0;1;0;0;1;0;13;4
6;12;0;1;0;0;1;1;17;4
6.15;7;0;1;0;0;1;1;17;3
4.1;25;0;1;0;0;1;1;12;3
14.17;22;1;1;0;0;1;0;13;3
6.41;22;0;1;0;0;1;1;17;3
31.09;32;0;0;0;0;1;0;13;3
10.29;35;0;1;0;0;1;1;13;4
5.06;28;0;1;0;0;1;0;12;3
6.37;18;0;1;0;0;1;0;13;3
2.98;11;0;1;0;1;0;0;17;3
13.28;40;0;1;0;0;1;0;13;3
4.2;10;0;1;0;0;1;0;13;2
8.92;40;0;1;0;0;1;1;12;3
2.63;7;0;1;0;1;1;0;16;3
26.24;24;0;1;0;0;1;0;12;3
7.54;36;0;1;0;0;0;0;12;4
8.65;34;0;1;0;0;1;1;13;3
20.99;44;0;1;0;0;1;0;16;3
10.26;44;0;1;0;0;1;1;13;3
8.55;30;0;1;0;0;1;0;16;3
2.08;23;0;1;0;0;1;0;12;4
3;5;0;0;0;0;0;0;13;3
6.01;25;0;1;0;0;1;1;16;4
10.05;14;0;1;0;0;0;0;13;4
5.73;5;0;1;0;0;1;0;12;3
5.93;20;0;1;0;0;1;0;12;3
4.49;1;0;1;0;0;0;0;10;2
5.66;13;0;1;0;0;0;0;16;4
10.19;15;0;1;0;0;1;0;12;4
20.99;35;0;1;0;0;1;0;12;3
9.05;20;0;1;0;0;1;0;12;4
3.92;12;0;1;0;0;1;1;12;5
4.28;7;0;1;0;1;0;1;16;4
2.75;7;0;1;0;1;0;0;16;3
2.88;32;0;1;0;0;1;0;12;4
6.41;13;0;1;0;0;1;0;13;3
7.69;15;0;1;0;0;1;1;13;3
3.75;33;0;0;0;1;0;1;10;3
6.41;48;0;1;0;0;1;0;8;3
11.54;38;0;1;0;0;1;0;16;4
11.4;28;0;1;0;0;1;1;16;3
2.2;18;0;1;0;1;1;0;13;4
1.65;24;0;1;0;1;0;1;13;1
6.59;27;0;1;0;0;0;1;12;3
11.06;24;0;1;0;0;1;0;5;3
1.63;16;0;1;0;0;1;1;10;3
3.58;44;0;1;0;1;1;0;12;3
12.31;14;0;1;0;0;1;0;16;4
6.66;16;0;1;0;0;1;0;12;3
10.53;18;0;1;0;1;1;1;16;3
1.92;18;0;1;0;1;1;1;13;2
19.23;15;0;1;0;0;1;0;13;4
7.21;41;0;1;0;0;1;0;12;4
25.64;28;0;1;0;0;1;0;16;3
3.85;24;0;1;0;0;1;0;12;3
10.99;13;0;1;0;0;1;0;12;3
10.02;22;0;1;0;0;1;0;13;3
5.31;18;0;1;0;0;1;0;13;4
7.19;40;0;1;0;0;1;0;13;3
3.82;17;0;1;0;0;1;0;13;4
9.62;17;0;1;0;0;1;0;12;3
9.62;20;0;1;0;0;1;0;16;4
3.85;30;0;1;0;0;1;1;12;4
7.5;30;0;1;0;0;1;0;12;3
6.92;22;0;1;0;0;1;1;12;4
7.69;7;0;1;0;0;1;0;12;4
9.23;23;0;1;0;0;0;0;14;3
1.27;8;0;1;0;1;1;0;13;3
4.82;31;0;1;0;0;1;0;10;4
6.75;30;0;1;0;0;1;0;12;3
8.55;26;0;1;0;0;0;0;13;2
6.41;24;1;1;0;0;1;0;12;4
7.44;12;1;1;0;0;1;0;13;3
1.32;37;0;1;0;1;1;0;12;3
4.81;16;0;1;0;1;0;0;14;4
14.35;23;0;1;0;0;1;1;16;3
2.4;9;0;1;0;0;1;0;10;2
3.08;14;0;1;0;0;1;1;14;2
10.66;8;0;1;0;0;0;0;13;5
7.69;41;0;1;0;0;1;0;16;2
2.54;5;0;1;0;0;0;0;13;4
6.38;30;0;1;0;0;1;0;12;3
4.81;12;0;1;0;0;1;1;17;4
3.82;24;0;1;0;1;0;0;12;3
7.4;19;0;1;0;0;1;0;13;3
7.69;20;0;1;0;0;1;0;12;4
8.24;23;0;1;0;1;1;1;14;2
2.63;3;0;1;0;0;0;0;8;3
5.31;20;0;1;0;0;1;0;13;4
3;45;0;1;0;0;1;0;5;2
5.7;31;0;1;0;0;1;0;12;3
17.49;23;0;1;0;0;1;0;13;4
3.89;7;0;1;0;0;0;1;13;3
16.14;23;1;1;0;0;1;0;10;3
18.32;25;0;1;0;0;1;0;13;3
10.42;28;1;0;0;0;1;0;8;3
24.73;36;0;1;0;0;1;0;12;3
7.61;14;0;1;0;0;1;0;13;3
10;41;0;1;0;0;1;0;17;4
1.68;15;0;1;0;0;1;0;10;3
5.1;34;0;0;1;0;1;1;17;4
7.72;20;0;1;0;0;1;0;16;3
13.46;20;0;1;0;0;1;0;16;4
17.48;35;0;1;0;0;1;0;17;4
1.92;25;0;1;1;0;1;0;10;3
5.09;38;0;1;0;0;1;0;13;4
6.37;16;0;1;0;1;0;0;17;3
5.45;6;0;1;0;0;0;0;16;2
3.82;14;0;1;0;0;1;0;13;3
20.86;34;0;1;0;0;1;0;8;4
6.2;8;0;1;0;0;0;1;17;4
26.22;17;0;1;0;0;1;1;17;3
2.5;27;0;1;0;0;1;1;12;3
8.1;13;0;1;0;0;0;0;13;3
6.21;42;0;1;0;0;1;0;12;3
5.24;11;0;1;0;0;1;0;16;4
5.57;12;0;1;0;0;1;0;12;4
7.6;43;0;1;0;0;1;0;12;4
17.49;18;0;1;0;0;1;0;16;3
10.1;17;0;1;0;0;0;0;16;3
4.33;4;0;1;0;0;0;0;13;2
5.38;40;0;1;0;0;1;0;12;4
5.7;14;0;1;0;0;1;0;16;4
15.73;32;0;1;0;0;1;0;12;3
3.16;13;0;1;0;1;1;1;12;3
7.63;34;1;0;0;0;0;0;13;3
7.69;10;0;1;0;0;0;0;16;3
3.57;25;0;1;0;0;0;0;10;3
5.92;11;0;1;0;0;1;0;13;4
13.12;40;0;1;0;0;1;0;13;3
38.86;29;0;1;0;0;1;0;13;3
1.92;30;0;0;0;1;0;0;13;3
10.12;20;1;1;0;0;1;0;16;3
12.82;12;0;1;0;0;1;0;16;4
5.49;20;0;1;0;1;0;0;13;4
14.79;29;0;1;0;0;1;0;17;3
10.19;15;0;1;0;0;1;0;17;2
2.11;37;1;1;0;1;0;0;10;3
9.28;11;0;1;0;0;0;0;13;3
5.33;19;0;1;0;0;1;0;13;4
9.13;13;0;1;0;0;1;0;13;3
9.89;41;0;1;0;0;1;0;10;3
6.37;11;0;1;0;0;1;0;10;3
4;26;0;1;0;1;0;0;12;3
5.09;7;0;1;0;0;1;0;13;4
5.13;21;0;1;0;0;1;0;12;4
2.47;1;0;1;0;1;0;0;16;4
3.29;26;0;1;0;1;1;0;10;3
3.95;1;0;1;0;1;0;0;12;3
3.04;12;0;1;0;1;1;0;12;3
2.27;3;0;1;0;1;1;0;12;2
3.34;5;0;1;0;1;1;0;12;3
4.9;5;1;1;0;0;0;0;13;2
7.21;6;0;1;0;0;1;0;14;3
3.44;1;0;1;0;0;0;0;12;4
2.4;6;0;1;0;1;1;0;12;4
8.26;38;0;1;0;0;1;0;12;3
10.68;38;0;1;0;0;1;0;12;3
4.62;37;0;1;0;0;1;0;13;3
7.55;26;0;1;0;0;1;0;13;4
6.75;42;0;0;0;0;1;0;13;3
7.69;42;0;1;0;0;1;0;12;3
7.25;10;0;1;0;0;1;0;14;3
8.74;16;0;1;0;0;1;0;12;4
4.62;34;0;1;0;0;1;0;13;2
3.33;17;0;1;0;0;0;0;12;2
4.81;12;0;1;0;1;0;0;12;3
4.58;24;0;1;0;0;1;0;12;3
4.09;3;0;1;0;1;1;0;13;3
1.83;3;0;0;0;1;0;0;13;4
3.33;14;0;1;0;0;1;0;10;3
4.72;3;0;0;0;1;0;0;12;3
3.06;32;0;1;0;0;1;0;12;4
4.95;9;0;1;0;0;1;0;13;4
11.54;34;0;1;0;0;1;0;13;3
5.63;5;0;1;0;0;1;0;14;3
4.05;10;0;1;0;1;1;0;12;2
1.16;2;0;1;0;1;0;0;13;4
4.1;34;0;1;0;1;1;0;8;3
2.46;17;0;1;0;1;1;0;12;3
4.11;10;0;1;0;1;0;1;12;4
6.11;44;0;1;0;1;1;0;13;3
4.47;11;0;1;0;1;1;0;12;4
4.62;3;0;1;0;1;0;0;12;4
1.28;2;0;1;0;1;1;1;13;3
4.4;25;0;1;0;1;0;0;12;4
1.27;12;0;1;0;1;1;1;12;3
3.95;10;0;1;0;1;0;0;12;4
3.64;8;0;0;0;0;0;0;12;3
3.75;5;0;1;0;1;0;0;14;4
3.21;12;0;1;0;1;0;0;13;4
2.63;6;0;1;0;1;1;1;13;3
5.64;9;0;1;0;0;1;0;16;3
3;2;0;1;0;1;0;0;12;4
1.98;7;0;1;0;1;1;0;12;4
4.81;26;0;1;0;1;0;0;12;3
2.63;13;0;1;0;1;1;1;13;4
3.16;27;0;1;0;1;1;0;12;3
6.27;3;1;1;0;0;0;1;13;3
4.05;8;0;1;0;1;0;0;13;3
1.98;8;0;1;0;1;1;0;16;3
2.18;2;0;1;0;1;1;0;12;4
2.63;4;0;1;0;1;1;0;12;4
2.43;1;0;1;0;1;0;0;10;4
1.98;4;0;1;0;1;0;0;12;4
4.09;5;0;1;0;1;1;0;12;4
2.5;12;0;1;0;1;0;1;12;3
2.51;4;0;1;0;1;0;0;12;5
3.85;7;1;1;0;1;0;0;10;4
5.13;5;0;1;0;0;0;0;12;4
4.81;5;0;1;0;1;0;0;12;3
4.81;3;0;1;0;0;0;1;13;4
7.07;8;1;1;1;1;0;0;13;3
2.31;3;0;1;0;1;0;1;13;4
3.89;4;0;1;1;1;0;0;16;4
1.98;25;0;1;0;1;0;0;12;2
3.75;31;0;0;0;1;0;0;12;4
1.25;5;0;1;0;1;1;0;12;4
7.63;11;0;1;0;0;0;1;16;4
6.54;8;0;1;1;1;0;0;13;3
13.13;24;0;1;0;0;1;0;16;3
4.4;3;0;1;0;1;0;0;13;5
7.69;16;0;1;1;1;1;0;13;3
3.85;7;0;1;0;0;1;0;10;3
7.69;25;0;1;0;0;1;0;12;3
5;19;0;1;0;0;0;0;13;3
8.94;31;1;1;0;0;1;0;10;3
5.09;7;0;1;0;1;0;0;17;5
3.16;1;0;1;1;1;0;1;12;3
10.58;21;0;1;0;0;1;0;13;3
6.87;5;0;0;1;1;1;0;12;3
2.14;4;0;1;1;1;0;0;13;4
5.13;15;0;1;0;1;0;0;16;4
1.95;10;1;1;0;1;1;1;13;2
1.92;8;0;1;0;1;1;1;12;4
2.65;18;0;1;0;1;1;1;13;3
2.62;10;1;1;0;1;1;1;17;3
7.91;6;1;1;0;1;0;0;13;4
8.55;30;1;1;0;0;1;0;12;4
8.44;19;1;1;0;1;0;0;13;4
7.96;30;1;1;0;0;1;0;12;3
7.21;38;0;0;1;0;0;0;12;4
4.67;4;0;1;0;0;0;0;10;3
4.28;7;0;1;0;1;0;1;13;4
3.61;4;0;1;0;1;0;0;13;3
1.92;2;0;1;0;1;0;0;14;3
1.68;5;0;1;0;1;1;0;13;3
4.46;21;0;1;0;1;1;0;12;3
2.11;12;0;1;0;1;0;0;13;4
3.81;4;0;1;0;0;1;0;12;5
6.25;11;0;1;0;1;1;0;12;4
3.08;5;0;1;1;1;0;0;13;3
5.39;45;0;0;0;0;1;0;10;3
7.33;31;1;0;0;0;1;0;13;4
4.92;38;1;0;1;1;0;0;12;3
9.89;35;1;1;1;0;0;0;10;3
2.98;12;0;1;0;1;1;0;12;3
2.92;12;0;1;0;1;0;1;12;4
4.17;34;0;1;0;1;1;1;12;4
3.34;20;0;1;1;1;0;0;13;2
2.26;3;0;1;0;1;0;0;14;4
10.12;18;0;1;0;1;0;1;13;3
6.35;20;0;1;0;1;1;0;12;3
7.8;6;0;1;1;1;0;1;13;3
3.75;9;0;1;0;1;0;0;12;4
3.59;3;0;1;0;1;1;0;12;4
4.52;7;0;1;0;1;0;0;13;3
4.47;12;0;1;0;1;1;0;12;3
5.29;12;0;1;0;1;0;1;12;4
5.29;10;0;1;0;1;0;1;13;4
4.81;9;0;1;0;1;0;0;13;4
1.98;3;0;1;0;1;1;1;14;2
3.17;2;0;1;0;1;0;0;13;3
2.88;40;0;1;0;1;1;1;12;4
3.47;5;0;1;0;1;1;1;13;3
3.92;15;0;1;0;1;1;0;12;2
3.46;13;0;1;0;1;1;1;17;4
4.95;10;0;1;1;1;0;0;14;5
2.18;2;0;1;0;1;0;0;12;3
4.1;23;0;1;0;1;0;0;12;4
2.62;15;0;1;0;1;0;1;12;3
6.59;30;0;1;0;1;0;0;13;3
3.96;15;0;1;0;1;1;0;12;2
4.81;11;0;1;0;1;0;0;13;3
3.75;27;0;1;0;1;0;1;12;3
7.34;9;1;1;0;1;0;0;12;3
2.93;1;0;1;0;1;0;1;12;4
3.47;15;0;1;0;1;0;1;12;3
5.64;16;0;1;0;1;1;1;12;3
3.75;3;0;1;0;1;0;1;13;3
5.45;19;0;1;0;1;0;1;17;4
4.09;18;0;0;0;1;0;0;13;4
3.75;4;0;1;0;1;1;0;12;3
6.73;14;0;1;0;1;1;0;12;4
3.28;8;1;1;0;1;1;1;13;3
3.57;10;0;1;0;1;0;0;12;4
6.01;33;0;1;0;0;1;0;12;3
4.62;9;0;1;0;0;1;0;10;3
6.84;26;0;1;0;0;1;0;12;4
6.41;15;0;1;0;1;1;0;10;3
3.44;31;0;1;0;0;1;0;12;2
3.85;22;1;1;0;0;1;0;10;3
7.15;30;1;1;0;1;0;0;12;4
4.05;3;0;1;1;1;0;0;12;3
2.91;4;0;1;0;0;0;0;14;4
1.92;4;0;0;0;1;0;0;12;3
4.42;9;0;1;0;0;0;0;12;3
8.49;7;1;1;0;0;0;0;14;3
4.28;3;1;1;1;0;0;0;13;3
3.33;5;0;1;0;0;1;1;12;4
8.46;48;0;1;0;0;1;0;13;3
8.65;3;0;1;0;1;0;0;12;3
1.16;5;0;1;0;1;1;1;10;3
1.98;5;0;1;1;1;1;1;13;3
2.57;3;0;1;0;1;1;1;12;3
2.58;6;0;1;1;1;0;1;12;4
2.51;10;0;1;0;1;1;1;12;4
77.72;9;1;1;1;1;1;1;13;4
4.33;26;1;1;0;1;1;0;12;4
4.09;33;1;1;0;0;1;0;8;3
5.73;12;1;1;0;1;0;0;12;3
4.81;11;1;1;0;1;0;0;12;3
7.69;10;0;1;0;1;0;0;12;4
5.73;9;1;1;0;1;0;0;12;3
5.88;17;1;1;0;1;0;0;12;3
4.27;37;0;1;0;0;1;0;13;3
9.62;28;0;1;0;0;0;0;16;4
9.36;16;0;1;0;0;0;0;12;3
3.95;2;0;1;0;1;0;0;12;5
5.73;34;1;1;0;1;1;0;12;3
2.6;7;0;1;0;1;0;0;12;3
3.75;4;0;1;0;1;0;0;12;4
5.61;12;0;1;0;1;1;1;14;4
5.73;20;0;1;0;1;1;0;13;3
3.85;17;0;1;0;1;1;0;12;3
2.88;0;0;1;0;1;0;1;12;2
2.75;7;0;1;0;1;0;0;12;4
11.57;13;0;1;0;0;0;0;13;4
4.33;4;0;1;1;1;0;1;13;3
2.75;3;0;1;0;1;1;0;12;3
5.34;5;0;1;0;1;0;0;10;3
6.56;19;0;1;0;0;1;0;12;3
4.68;12;0;1;0;0;1;0;13;3
1.98;10;0;1;0;1;1;0;12;2
7.96;18;1;1;0;0;1;0;12;3
4.87;18;0;1;0;1;1;0;13;2
3.16;44;1;1;0;1;1;0;10;3
6.25;5;0;1;0;0;0;0;12;3
3;18;0;1;0;1;1;0;13;4
3.75;12;1;1;0;1;0;0;12;4
